method,seed,round,block_id,work,eval_work,communication_round,time_sec,delta,M,lr_or_eta,eval_point,objective,train_loss,train_acc,test_loss,test_acc,stat_proxy,objective_ybar,stat_proxy_ybar,block_oracle_norm,objective_x,stat_proxy_x,test_acc_x
NOG,10000,8,1.0,2560,512,8,0.7001395225524902,0.01,8.0,0.05,y_bar,2.304696822166443,2.304696822166443,0.103125,2.301036529541016,0.112,0.08602561801671982,2.304696822166443,0.08602561801671982,0.05246710404753685,,,
NOG,10000,32,4.0,8704,1024,32,2.688692808151245,0.01,8.0,0.05,y_bar,2.307655191421509,2.307655191421509,0.090625,2.3007608795166017,0.112,0.07879571616649628,2.307655191421509,0.07879571616649628,0.05192836374044418,,,
NOG,10000,56,7.0,14848,1536,56,3.8874707221984863,0.01,8.0,0.05,y_bar,2.3057206869125366,2.3057206869125366,0.084375,2.3005395812988283,0.112,0.07098301500082016,2.3057206869125366,0.07098301500082016,0.060502856969833374,,,
NOG,10000,80,10.0,20992,2048,80,5.2880003452301025,0.01,8.0,0.05,y_bar,2.302660608291626,2.302660608291626,0.11171875,2.3002636108398438,0.112,0.08004776388406754,2.302660608291626,0.08004776388406754,0.055768635123968124,,,
NOG,10000,104,13.0,27136,2560,104,6.460159778594971,0.01,8.0,0.05,y_bar,2.302546000480652,2.302546000480652,0.09609375,2.300009735107422,0.112,0.08740946650505066,2.302546000480652,0.08740946650505066,0.05804891511797905,,,
NOG,10000,128,16.0,33280,3072,128,7.668533086776733,0.01,8.0,0.05,y_bar,2.303909111022949,2.303909111022949,0.08515625,2.2997454376220703,0.112,0.07466000318527222,2.303909111022949,0.07466000318527222,0.05668282508850098,,,
NOG,10000,152,19.0,39424,3584,152,8.808487176895142,0.01,8.0,0.05,y_bar,2.3040600776672364,2.3040600776672364,0.08671875,2.2994119415283203,0.113,0.0850214883685112,2.3040600776672364,0.0850214883685112,0.054270073771476746,,,
NOG,10000,176,22.0,45568,4096,176,10.04613208770752,0.01,8.0,0.05,y_bar,2.3040026903152464,2.3040026903152464,0.0921875,2.2991484985351565,0.113,0.08426588773727417,2.3040026903152464,0.08426588773727417,0.05643725395202637,,,
NOG,10000,200,25.0,51712,4608,200,11.245950937271118,0.01,8.0,0.05,y_bar,2.3011730909347534,2.3011730909347534,0.09921875,2.2987991485595702,0.113,0.07223598659038544,2.3011730909347534,0.07223598659038544,0.053191058337688446,,,
SmoothedSGD,20000,1,,256,512,1,0.5567288398742676,0.01,,0.01,theta,2.303762435913086,2.303762435913086,0.11015625,2.301031524658203,0.112,0.07594123482704163,,,,2.303762435913086,0.07594123482704163,0.112
SmoothedSGD,20000,20,,5120,1024,20,1.649512529373169,0.01,,0.01,theta,2.306853771209717,2.306853771209717,0.09453125,2.300760498046875,0.112,0.09499353170394897,,,,2.306853771209717,0.09499353170394897,0.112
SmoothedSGD,20000,40,,10240,1536,40,2.74006724357605,0.01,,0.01,theta,2.304846096038818,2.304846096038818,0.09765625,2.300465286254883,0.112,0.07237810641527176,,,,2.304846096038818,0.07237810641527176,0.112
SmoothedSGD,20000,60,,15360,2048,60,3.879323959350586,0.01,,0.01,theta,2.3049149036407472,2.3049149036407472,0.09296875,2.300149963378906,0.112,0.06010831147432327,,,,2.3049149036407472,0.06010831147432327,0.112
SmoothedSGD,20000,80,,20480,2560,80,4.948498725891113,0.01,,0.01,theta,2.305594635009766,2.305594635009766,0.090625,2.2998400115966797,0.112,0.06353563815355301,,,,2.305594635009766,0.06353563815355301,0.112
SmoothedSGD,20000,100,,25600,3072,100,6.0846216678619385,0.01,,0.01,theta,2.3026483058929443,2.3026483058929443,0.096875,2.2995611877441404,0.112,0.08096367120742798,,,,2.3026483058929443,0.08096367120742798,0.112
SmoothedSGD,20000,120,,30720,3584,120,7.1658616065979,0.01,,0.01,theta,2.3017107963562013,2.3017107963562013,0.09375,2.299183044433594,0.112,0.06232728064060211,,,,2.3017107963562013,0.06232728064060211,0.112
SmoothedSGD,20000,140,,35840,4096,140,8.250505685806274,0.01,,0.01,theta,2.301181507110596,2.301181507110596,0.09140625,2.2988567962646482,0.112,0.08059129863977432,,,,2.301181507110596,0.08059129863977432,0.112
SmoothedSGD,20000,160,,40960,4608,160,9.31943130493164,0.01,,0.01,theta,2.3006433486938476,2.3006433486938476,0.09765625,2.2984293212890625,0.116,0.09290917962789536,,,,2.3006433486938476,0.09290917962789536,0.116
SmoothedSGD,20000,180,,46080,5120,180,10.560593366622925,0.01,,0.01,theta,2.3008025169372557,2.3008025169372557,0.0984375,2.2980564270019532,0.117,0.10660327970981598,,,,2.3008025169372557,0.10660327970981598,0.117
SmoothedSGD,20000,200,,51200,5632,200,11.586690902709961,0.01,,0.01,theta,2.301702380180359,2.301702380180359,0.09140625,2.297725830078125,0.119,0.08391023427248001,,,,2.301702380180359,0.08391023427248001,0.119
