threshold,method,hit_rate,first_hit_round_mean,first_hit_round_std,first_hit_work_mean,first_hit_work_std,final_stat_proxy_mean,final_train_loss_mean,final_test_acc_mean
0.5,NOG,1.0,8.0,,2560.0,,0.07223598659038544,2.3011730909347534,0.113
0.5,SmoothedSGD,1.0,1.0,,256.0,,0.08391023427248001,2.301702380180359,0.119
0.7,NOG,1.0,8.0,,2560.0,,0.07223598659038544,2.3011730909347534,0.113
0.7,SmoothedSGD,1.0,1.0,,256.0,,0.08391023427248001,2.301702380180359,0.119
1.0,NOG,1.0,8.0,,2560.0,,0.07223598659038544,2.3011730909347534,0.113
1.0,SmoothedSGD,1.0,1.0,,256.0,,0.08391023427248001,2.301702380180359,0.119
1.5,NOG,1.0,8.0,,2560.0,,0.07223598659038544,2.3011730909347534,0.113
1.5,SmoothedSGD,1.0,1.0,,256.0,,0.08391023427248001,2.301702380180359,0.119
2.0,NOG,1.0,8.0,,2560.0,,0.07223598659038544,2.3011730909347534,0.113
2.0,SmoothedSGD,1.0,1.0,,256.0,,0.08391023427248001,2.301702380180359,0.119
