method,base_method,iteration,round,block_id,worker_count,eval_point,delta,M,lr_or_eta,block_oracle_norm,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,epoch_length,domain_radius,theory_multiplier,batch_size,small_batch,large_batch,restart_period,restart_mixing_rounds
NOG-FO,NOG,12,12,1.0,8,y_bar,0.1,12.0,0.3,0.010978233069181442,0.9116768836975098,103,100103,200103,2122314061,sfo,7168,7168,896,"[896, 896, 896, 896, 896, 896, 896, 896]",8192,14,14,0.7273168563842773,0.010649573989212513,,,,,,,,
NOG-FO,NOG,60,60,5.0,8,y_bar,0.1,12.0,0.3,0.00855462346225977,4.231585502624512,103,100103,200103,2122314061,sfo,31744,31744,3968,"[3968, 3968, 3968, 3968, 3968, 3968, 3968, 3968]",16384,62,62,0.7272586226463318,0.007624255493283272,,,,,,,,
NOG-FO,NOG,96,96,8.0,8,y_bar,0.1,12.0,0.3,0.00657013850286603,6.71524715423584,103,100103,200103,2122314061,sfo,50176,50176,6272,"[6272, 6272, 6272, 6272, 6272, 6272, 6272, 6272]",24576,98,98,0.7271254062652588,0.008584474213421345,,,,,,,,
NOG-ZO,NOG,12,12,1.0,8,y_bar,0.1,12.0,0.3,0.07401785254478455,0.47544026374816895,103,100103,200103,1026072796,szo,14336,14336,1792,"[1792, 1792, 1792, 1792, 1792, 1792, 1792, 1792]",8192,14,14,0.7273372411727905,0.011404256336390972,,,,,,,,
NOG-ZO,NOG,60,60,5.0,8,y_bar,0.1,12.0,0.3,0.06680478900671005,2.505345106124878,103,100103,200103,1026072796,szo,63488,63488,7936,"[7936, 7936, 7936, 7936, 7936, 7936, 7936, 7936]",16384,62,62,0.727454662322998,0.010190560482442379,,,,,,,,
NOG-ZO,NOG,96,96,8.0,8,y_bar,0.1,12.0,0.3,0.07388503849506378,4.066061019897461,103,100103,200103,1026072796,szo,100352,100352,12544,"[12544, 12544, 12544, 12544, 12544, 12544, 12544, 12544]",24576,98,98,0.7274866700172424,0.011360879987478256,,,,,,,,
ME-DOL-FO,ME-DOL,12,12,,8,epoch_w_bar,0.1,,0.00021262931794992866,,0.21445012092590332,103,100103,200103,1094527088,sfo,96,96,12,"[12, 12, 12, 12, 12, 12, 12, 12]",8192,12,12,0.7272706627845764,0.011334095150232315,12.0,0.000736569563735987,1.0,,,,,
ME-DOL-FO,ME-DOL,60,60,,8,epoch_w_bar,0.1,,0.00021262931794992866,,0.7870678901672363,103,100103,200103,1094527088,sfo,480,480,60,"[60, 60, 60, 60, 60, 60, 60, 60]",16384,60,60,0.7272783517837524,0.010226734913885593,12.0,0.000736569563735987,1.0,,,,,
ME-DOL-FO,ME-DOL,96,96,,8,epoch_w_bar,0.1,,0.00021262931794992866,,1.1803550720214844,103,100103,200103,1094527088,sfo,768,768,96,"[96, 96, 96, 96, 96, 96, 96, 96]",24576,96,96,0.7272800803184509,0.012036130763590336,12.0,0.000736569563735987,1.0,,,,,
ME-DOL-ZO,ME-DOL,12,12,,8,epoch_w_bar,0.1,,0.00021262931794992866,,0.12740087509155273,103,100103,200103,245110990,szo,192,192,24,"[24, 24, 24, 24, 24, 24, 24, 24]",8192,12,12,0.7272738814353943,0.01131734624505043,12.0,0.000736569563735987,1.0,,,,,
ME-DOL-ZO,ME-DOL,60,60,,8,epoch_w_bar,0.1,,0.00021262931794992866,,0.46123409271240234,103,100103,200103,245110990,szo,960,960,120,"[120, 120, 120, 120, 120, 120, 120, 120]",16384,60,60,0.727292001247406,0.010255653411149979,12.0,0.000736569563735987,1.0,,,,,
ME-DOL-ZO,ME-DOL,96,96,,8,epoch_w_bar,0.1,,0.00021262931794992866,,0.7195627689361572,103,100103,200103,245110990,szo,1536,1536,192,"[192, 192, 192, 192, 192, 192, 192, 192]",24576,96,96,0.7273038029670715,0.01196523942053318,12.0,0.000736569563735987,1.0,,,,,
DGFM,DGFM,1,1,,8,x_bar,0.1,,0.01,,0.07311248779296875,103,100103,200103,2028013707,szo,16,16,2,"[2, 2, 2, 2, 2, 2, 2, 2]",8192,2,2,0.7273974418640137,0.011409757658839226,,,,1.0,,,,
DGFM,DGFM,48,48,,8,x_bar,0.1,,0.01,,0.37079882621765137,103,100103,200103,2028013707,szo,768,768,96,"[96, 96, 96, 96, 96, 96, 96, 96]",16384,96,96,0.7281528115272522,0.012337408028542995,,,,1.0,,,,
DGFM,DGFM,96,96,,8,x_bar,0.1,,0.01,,0.6681883335113525,103,100103,200103,2028013707,szo,1536,1536,192,"[192, 192, 192, 192, 192, 192, 192, 192]",24576,192,192,0.7285005450248718,0.013095855712890625,,,,1.0,,,,
DGFM+,DGFM+,1,1,,8,x_bar,0.1,,0.003,,0.2806358337402344,103,100103,200103,154785392,szo,1024,1024,128,"[128, 128, 128, 128, 128, 128, 128, 128]",8192,2,2,0.7272730469703674,0.011772439815104008,,,,,8.0,64.0,48.0,1.0
DGFM+,DGFM+,48,48,,8,x_bar,0.1,,0.003,,3.1524569988250732,103,100103,200103,154785392,szo,13056,13056,1632,"[1632, 1632, 1632, 1632, 1632, 1632, 1632, 1632]",16384,96,96,0.7275315523147583,0.011166386306285858,,,,,8.0,64.0,48.0,1.0
DGFM+,DGFM+,96,96,,8,x_bar,0.1,,0.003,,6.054134368896484,103,100103,200103,154785392,szo,26112,26112,3264,"[3264, 3264, 3264, 3264, 3264, 3264, 3264, 3264]",24576,192,192,0.7276332378387451,0.012306947261095047,,,,,8.0,64.0,48.0,1.0
