method,oracle_type,worker_count,communication_round,total_work,num_seeds,stat_proxy_mean,stat_proxy_std,objective_mean,objective_std
DGFM,szo,8,2,16,5,0.01092391908168788,0.0011461400765115832,0.7273419380187989,0.005805830806942305
DGFM,szo,8,96,768,5,0.01095499582588668,0.00043444297514431913,0.7274312853813172,0.0058155528159386976
DGFM,szo,8,192,1536,5,0.01074140314012758,0.0008405101845585802,0.7274689078330994,0.005828407189257289
DGFM,szo,8,288,2304,5,0.01115791462361806,0.0008724540604344674,0.7274963974952697,0.005824350742458146
DGFM,szo,8,384,3072,5,0.010796437039971279,0.0013887691206418654,0.727518355846405,0.005825426000123241
DGFM,szo,8,480,3840,5,0.010694980435073321,0.0005715628571446973,0.7275386691093445,0.005822663388405404
DGFM,szo,8,576,4608,5,0.01106014773249622,0.0009204445236509105,0.7275753974914551,0.005810657914761644
DGFM,szo,8,672,5376,5,0.011551315896213,0.0006953425952097033,0.7275946378707886,0.005817966281096722
DGFM,szo,8,768,6144,5,0.011427838727831801,0.000919375179690651,0.7276026606559753,0.005816840535900007
DGFM,szo,8,864,6912,5,0.01092866938561198,0.0010270188385229188,0.7276194214820861,0.005840824666841
DGFM,szo,8,960,7680,5,0.011094889603555159,0.0008689685279199081,0.7276208400726318,0.005846218333706224
DGFM,szo,8,1056,8448,5,0.01117548793554302,0.001126185248671944,0.727638554573059,0.0058497431602544375
DGFM,szo,8,1152,9216,5,0.01091437600553032,0.00023774955113669007,0.727651858329773,0.0058632807510032876
DGFM,szo,8,1248,9984,5,0.011704003810882501,0.00039895928768555615,0.7276834607124328,0.005868116777599758
DGFM,szo,8,1344,10752,5,0.011041356250643699,0.00042343275020873244,0.7276919484138489,0.005878731799341264
DGFM,szo,8,1440,11520,5,0.01126649063080542,0.000541625263771923,0.7276912927627563,0.005884046801174462
DGFM,szo,8,1536,12288,5,0.011190955713391241,0.0008176988037737871,0.7277052283287049,0.0058774442921010455
DGFM,szo,8,1632,13056,5,0.01120148357003924,0.0002748513901236264,0.7277219533920288,0.005887324103982073
DGFM,szo,8,1728,13824,5,0.01133871674537652,0.0006735484942822838,0.727734649181366,0.005880142352286031
DGFM,szo,8,1824,14592,5,0.01151155326515434,0.00045850364338375954,0.7277353048324585,0.005886509439286076
DGFM,szo,8,1920,15360,5,0.0113247841596603,0.0005133187172603172,0.7277397751808167,0.005884653180031806
DGFM+,szo,8,2,1024,5,0.01093787942081684,0.0011653602005548996,0.727326500415802,0.005806930454546669
DGFM+,szo,8,96,13056,5,0.01088929828256364,0.0004903223142720982,0.7274165511131286,0.005810877513617551
DGFM+,szo,8,192,26112,5,0.01067549083381888,0.0010566196892004868,0.7274526476860046,0.00581350892363445
