method,base_method,iteration,round,block_id,worker_count,eval_point,delta,M,lr_or_eta,block_oracle_norm,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,epoch_length,domain_radius,theory_multiplier,batch_size,small_batch,large_batch,restart_period,restart_mixing_rounds
ME-DOL-FO,ME-DOL,960,960,,8,epoch_w_bar,0.1,,0.0006378879538497,,10.784749746322632,0,100000,200000,1570699740,sfo,7680,7680,960,"[960, 960, 960, 960, 960, 960, 960, 960]",172032,960,960,0.7295998334884644,0.009967690333724,12.0,0.0022097086912079,3.0,,,,,
ME-DOL-ZO,ME-DOL,960,960,,8,epoch_w_bar,0.1,,0.0002126293179499,,6.2870025634765625,0,100000,200000,729139937,szo,15360,15360,1920,"[1920, 1920, 1920, 1920, 1920, 1920, 1920, 1920]",172032,960,960,0.7297479510307312,0.0117380982264876,12.0,0.0007365695637359,1.0,,,,,
ME-DOL-FO,ME-DOL,960,960,,8,epoch_w_bar,0.1,,0.0006378879538497,,10.227836847305298,1,100001,200001,982006998,sfo,7680,7680,960,"[960, 960, 960, 960, 960, 960, 960, 960]",172032,960,960,0.7327062487602234,0.009334273636341,12.0,0.0022097086912079,3.0,,,,,
ME-DOL-ZO,ME-DOL,960,960,,8,epoch_w_bar,0.1,,0.0002126293179499,,6.4823386669158936,1,100001,200001,548805954,szo,15360,15360,1920,"[1920, 1920, 1920, 1920, 1920, 1920, 1920, 1920]",172032,960,960,0.732806384563446,0.0106629505753517,12.0,0.0007365695637359,1.0,,,,,
ME-DOL-FO,ME-DOL,960,960,,8,epoch_w_bar,0.1,,0.0006378879538497,,10.251797437667848,2,100002,200002,1352842306,sfo,7680,7680,960,"[960, 960, 960, 960, 960, 960, 960, 960]",172032,960,960,0.7174564599990845,0.0099814180284738,12.0,0.0022097086912079,3.0,,,,,
ME-DOL-ZO,ME-DOL,960,960,,8,epoch_w_bar,0.1,,0.0002126293179499,,6.386045932769775,2,100002,200002,1361389894,szo,15360,15360,1920,"[1920, 1920, 1920, 1920, 1920, 1920, 1920, 1920]",172032,960,960,0.7175887823104858,0.011490817181766,12.0,0.0007365695637359,1.0,,,,,
ME-DOL-FO,ME-DOL,960,960,,8,epoch_w_bar,0.1,,0.0006378879538497,,10.095842838287354,3,100003,200003,2118281078,sfo,7680,7680,960,"[960, 960, 960, 960, 960, 960, 960, 960]",172032,960,960,0.7295759916305542,0.0087248729541897,12.0,0.0022097086912079,3.0,,,,,
ME-DOL-ZO,ME-DOL,960,960,,8,epoch_w_bar,0.1,,0.0002126293179499,,6.380807876586914,3,100003,200003,1776905663,szo,15360,15360,1920,"[1920, 1920, 1920, 1920, 1920, 1920, 1920, 1920]",172032,960,960,0.7296528220176697,0.0097198886796832,12.0,0.0007365695637359,1.0,,,,,
ME-DOL-FO,ME-DOL,960,960,,8,epoch_w_bar,0.1,,0.0006378879538497,,10.268938302993774,4,100004,200004,643728399,sfo,7680,7680,960,"[960, 960, 960, 960, 960, 960, 960, 960]",172032,960,960,0.7274848818778992,0.0096175000071525,12.0,0.0022097086912079,3.0,,,,,
ME-DOL-ZO,ME-DOL,960,960,,8,epoch_w_bar,0.1,,0.0002126293179499,,6.425404071807861,4,100004,200004,1095070260,szo,15360,15360,1920,"[1920, 1920, 1920, 1920, 1920, 1920, 1920, 1920]",172032,960,960,0.7275807857513428,0.0105339959263801,12.0,0.0007365695637359,1.0,,,,,
NOG-FO,NOG,960,960,80.0,1,y_bar,0.1,12.0,0.3,0.008614751510322,9.875778913497925,0,100000,200000,1621981262,sfo,492544,492544,492544,[492544],172032,962,962,0.7273999452590942,0.0073287459090352,,,,,,,,
NOG-FO,NOG,960,960,80.0,2,y_bar,0.1,12.0,0.3,0.0084371678531169,17.447263479232788,0,100000,200000,310902531,sfo,492544,492544,246272,"[246272, 246272]",172032,962,962,0.7276249527931213,0.0071578714996576,,,,,,,,
NOG-FO,NOG,960,960,80.0,4,y_bar,0.1,12.0,0.3,0.0080552101135253,33.19728374481201,0,100000,200000,2137108057,sfo,492544,492544,123136,"[123136, 123136, 123136, 123136]",172032,962,962,0.7275747060775757,0.0072129592299461,,,,,,,,
NOG-FO,NOG,960,960,80.0,8,y_bar,0.1,12.0,0.3,0.0074370182119309,64.76460838317871,0,100000,200000,497076658,sfo,492544,492544,61568,"[61568, 61568, 61568, 61568, 61568, 61568, 61568, 61568]",172032,962,962,0.7276532053947449,0.0071975495666265,,,,,,,,
NOG-ZO,NOG,960,960,80.0,1,y_bar,0.1,12.0,0.3,0.0747248232364654,5.957494497299194,0,100000,200000,494194606,szo,985088,985088,985088,[985088],172032,962,962,0.729763388633728,0.0095866415649652,,,,,,,,
NOG-ZO,NOG,960,960,80.0,2,y_bar,0.1,12.0,0.3,0.0826158821582794,10.0303795337677,0,100000,200000,154970932,szo,985088,985088,492544,"[492544, 492544]",172032,962,962,0.7298141121864319,0.0096023390069603,,,,,,,,
NOG-ZO,NOG,960,960,80.0,4,y_bar,0.1,12.0,0.3,0.0748734250664711,18.136265516281128,0,100000,200000,1491708253,szo,985088,985088,246272,"[246272, 246272, 246272, 246272]",172032,962,962,0.7298365235328674,0.0099523598328232,,,,,,,,
NOG-ZO,NOG,960,960,80.0,8,y_bar,0.1,12.0,0.3,0.0843203663825988,34.23156404495239,0,100000,200000,952307147,szo,985088,985088,123136,"[123136, 123136, 123136, 123136, 123136, 123136, 123136, 123136]",172032,962,962,0.729766845703125,0.0096429400146007,,,,,,,,
NOG-FO,NOG,960,960,80.0,1,y_bar,0.1,12.0,0.3,0.0076858298853039,9.208330392837524,1,100001,200001,2056694152,sfo,492544,492544,492544,[492544],172032,962,962,0.731029748916626,0.007079585455358,,,,,,,,
NOG-FO,NOG,960,960,80.0,2,y_bar,0.1,12.0,0.3,0.0076938667334616,17.06723928451538,1,100001,200001,1958777996,sfo,492544,492544,246272,"[246272, 246272]",172032,962,962,0.7310545444488525,0.007132620550692,,,,,,,,
