method,base_method,oracle_type,worker_count,num_seeds,final_objective_mean,final_objective_std,final_stat_proxy_mean,final_stat_proxy_std,final_total_work_mean,final_per_worker_work_mean,final_depth_mean,final_time_sec_mean
DGFM,DGFM,szo,8,5,0.7277397751808167,0.005884653180031806,0.0113247841596603,0.0005133187172603172,15360.0,1920.0,1920.0,6.0099750518798825
DGFM+,DGFM+,szo,8,5,0.7276772260665894,0.005793575979614164,0.011023114807903741,0.0006781478872305325,261120.0,32640.0,1920.0,57.56342706680298
ME-DOL-FO,ME-DOL,sfo,8,5,0.7273646831512451,0.005843916476613864,0.0095251509919762,0.0005218783672587437,7680.0,960.0,960.0,10.32583303451538
ME-DOL-ZO,ME-DOL,szo,8,5,0.7274753451347351,0.0058326959188303214,0.01082915011793372,0.0008076492417101407,15360.0,1920.0,960.0,6.392319822311402
NOG-FO,NOG,sfo,1,5,0.7247779369354248,0.007007783423543857,0.0074042303487658005,0.0002547904729888575,492544.0,492544.0,962.0,9.435352230072022
NOG-FO,NOG,sfo,2,5,0.7248820543289185,0.0069866517423382065,0.007251662388443899,0.00035626424792456593,492544.0,246272.0,962.0,17.086555004119873
NOG-FO,NOG,sfo,4,5,0.724824595451355,0.007053350728177128,0.007390211150050121,0.0002770374281800313,492544.0,123136.0,962.0,32.75005946159363
NOG-FO,NOG,sfo,8,5,0.7248843908309937,0.007034937799142976,0.00731103159487244,0.00015319125803798657,492544.0,61568.0,962.0,63.38175110816955
NOG-ZO,NOG,szo,1,5,0.7275344848632812,0.005892881328704553,0.00920334905385966,0.00034285208708621524,985088.0,985088.0,962.0,5.771931123733521
NOG-ZO,NOG,szo,2,5,0.7275258064270019,0.005930638804251971,0.009380294196307601,0.0006389947297221319,985088.0,492544.0,962.0,9.922235441207885
NOG-ZO,NOG,szo,4,5,0.7275197267532348,0.005922252879831805,0.009326072782278,0.0003777917451832493,985088.0,246272.0,962.0,18.11374411582947
NOG-ZO,NOG,szo,8,5,0.7275109052658081,0.005950927201491312,0.0089755859225988,0.0006232305966256912,985088.0,123136.0,962.0,34.33548669815063
