method,base_method,iteration,round,worker_count,eval_point,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,delta,lr_or_eta,batch_size
DGFM,DGFM,1,1,8,x_bar,0.06627511978149414,1,100001,200001,1527951910,szo,16,16,2,"[2, 2, 2, 2, 2, 2, 2, 2]",8192,2,2,0.7326619625091553,0.010410464368760586,0.1,0.001,1
DGFM,DGFM,48,48,8,x_bar,0.36572980880737305,1,100001,200001,1527951910,szo,768,768,96,"[96, 96, 96, 96, 96, 96, 96, 96]",16384,96,96,0.7327602505683899,0.010339884087443352,0.1,0.001,1
DGFM,DGFM,96,96,8,x_bar,0.700258731842041,1,100001,200001,1527951910,szo,1536,1536,192,"[192, 192, 192, 192, 192, 192, 192, 192]",24576,192,192,0.7328241467475891,0.010293335653841496,0.1,0.001,1
DGFM,DGFM,144,144,8,x_bar,0.9949309825897217,1,100001,200001,1527951910,szo,2304,2304,288,"[288, 288, 288, 288, 288, 288, 288, 288]",32768,288,288,0.7328653335571289,0.011879341676831245,0.1,0.001,1
DGFM,DGFM,192,192,8,x_bar,1.2981696128845215,1,100001,200001,1527951910,szo,3072,3072,384,"[384, 384, 384, 384, 384, 384, 384, 384]",40960,384,384,0.7328931093215942,0.010888836346566677,0.1,0.001,1
DGFM,DGFM,240,240,8,x_bar,1.6057400703430176,1,100001,200001,1527951910,szo,3840,3840,480,"[480, 480, 480, 480, 480, 480, 480, 480]",49152,480,480,0.7329108119010925,0.010632102377712727,0.1,0.001,1
DGFM,DGFM,288,288,8,x_bar,1.9131009578704834,1,100001,200001,1527951910,szo,4608,4608,576,"[576, 576, 576, 576, 576, 576, 576, 576]",57344,576,576,0.7329316735267639,0.010952776297926903,0.1,0.001,1
DGFM,DGFM,336,336,8,x_bar,2.219489336013794,1,100001,200001,1527951910,szo,5376,5376,672,"[672, 672, 672, 672, 672, 672, 672, 672]",65536,672,672,0.7329388856887817,0.011387309990823269,0.1,0.001,1
DGFM,DGFM,384,384,8,x_bar,2.5011961460113525,1,100001,200001,1527951910,szo,6144,6144,768,"[768, 768, 768, 768, 768, 768, 768, 768]",73728,768,768,0.7329340577125549,0.011080457828938961,0.1,0.001,1
DGFM,DGFM,432,432,8,x_bar,2.787646770477295,1,100001,200001,1527951910,szo,6912,6912,864,"[864, 864, 864, 864, 864, 864, 864, 864]",81920,864,864,0.7329656481742859,0.011485333554446697,0.1,0.001,1
DGFM,DGFM,480,480,8,x_bar,3.0748727321624756,1,100001,200001,1527951910,szo,7680,7680,960,"[960, 960, 960, 960, 960, 960, 960, 960]",90112,960,960,0.7329946160316467,0.009797959588468075,0.1,0.001,1
DGFM,DGFM,528,528,8,x_bar,3.3665452003479004,1,100001,200001,1527951910,szo,8448,8448,1056,"[1056, 1056, 1056, 1056, 1056, 1056, 1056, 1056]",98304,1056,1056,0.7329791188240051,0.01027575321495533,0.1,0.001,1
DGFM,DGFM,576,576,8,x_bar,3.662503480911255,1,100001,200001,1527951910,szo,9216,9216,1152,"[1152, 1152, 1152, 1152, 1152, 1152, 1152, 1152]",106496,1152,1152,0.7330235242843628,0.01100010797381401,0.1,0.001,1
DGFM,DGFM,624,624,8,x_bar,3.951237678527832,1,100001,200001,1527951910,szo,9984,9984,1248,"[1248, 1248, 1248, 1248, 1248, 1248, 1248, 1248]",114688,1248,1248,0.7330569624900818,0.011640471406280994,0.1,0.001,1
DGFM,DGFM,672,672,8,x_bar,4.241093158721924,1,100001,200001,1527951910,szo,10752,10752,1344,"[1344, 1344, 1344, 1344, 1344, 1344, 1344, 1344]",122880,1344,1344,0.7330761551856995,0.010812660679221153,0.1,0.001,1
DGFM,DGFM,720,720,8,x_bar,4.532391309738159,1,100001,200001,1527951910,szo,11520,11520,1440,"[1440, 1440, 1440, 1440, 1440, 1440, 1440, 1440]",131072,1440,1440,0.7330702543258667,0.011131604202091694,0.1,0.001,1
DGFM,DGFM,768,768,8,x_bar,4.822652816772461,1,100001,200001,1527951910,szo,12288,12288,1536,"[1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536]",139264,1536,1536,0.7330681681632996,0.01016046479344368,0.1,0.001,1
DGFM,DGFM,816,816,8,x_bar,5.111523389816284,1,100001,200001,1527951910,szo,13056,13056,1632,"[1632, 1632, 1632, 1632, 1632, 1632, 1632, 1632]",147456,1632,1632,0.7330893278121948,0.011354101821780205,0.1,0.001,1
DGFM,DGFM,864,864,8,x_bar,5.415058612823486,1,100001,200001,1527951910,szo,13824,13824,1728,"[1728, 1728, 1728, 1728, 1728, 1728, 1728, 1728]",155648,1728,1728,0.7330994009971619,0.010918360203504562,0.1,0.001,1
DGFM,DGFM,912,912,8,x_bar,5.713802099227905,1,100001,200001,1527951910,szo,14592,14592,1824,"[1824, 1824, 1824, 1824, 1824, 1824, 1824, 1824]",163840,1824,1824,0.7331213355064392,0.011252125725150108,0.1,0.001,1
DGFM,DGFM,960,960,8,x_bar,6.003708124160767,1,100001,200001,1527951910,szo,15360,15360,1920,"[1920, 1920, 1920, 1920, 1920, 1920, 1920, 1920]",172032,1920,1920,0.7331225872039795,0.011591886170208454,0.1,0.001,1
