method,base_method,iteration,round,worker_count,eval_point,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,delta,lr_or_eta,small_batch,large_batch,restart_period,restart_mixing_rounds
DGFM+,DGFM+,1,1,8,x_bar,0.29416537284851074,4,100004,200004,323536455,szo,1024,1024,128,"[128, 128, 128, 128, 128, 128, 128, 128]",8192,2,2,0.7274302840232849,0.010115103796124458,0.1,0.001,8,64,48,1
DGFM+,DGFM+,48,48,8,x_bar,3.0677080154418945,4,100004,200004,323536455,szo,13056,13056,1632,"[1632, 1632, 1632, 1632, 1632, 1632, 1632, 1632]",16384,96,96,0.7275117039680481,0.011311397887766361,0.1,0.001,8,64,48,1
DGFM+,DGFM+,96,96,8,x_bar,5.969889402389526,4,100004,200004,323536455,szo,26112,26112,3264,"[3264, 3264, 3264, 3264, 3264, 3264, 3264, 3264]",24576,192,192,0.7275230884552002,0.01047937199473381,0.1,0.001,8,64,48,1
DGFM+,DGFM+,144,144,8,x_bar,8.845454454421997,4,100004,200004,323536455,szo,39168,39168,4896,"[4896, 4896, 4896, 4896, 4896, 4896, 4896, 4896]",32768,288,288,0.7275632619857788,0.010477044619619846,0.1,0.001,8,64,48,1
DGFM+,DGFM+,192,192,8,x_bar,11.736602783203125,4,100004,200004,323536455,szo,52224,52224,6528,"[6528, 6528, 6528, 6528, 6528, 6528, 6528, 6528]",40960,384,384,0.7275683283805847,0.009662844240665436,0.1,0.001,8,64,48,1
DGFM+,DGFM+,240,240,8,x_bar,14.588127851486206,4,100004,200004,323536455,szo,65280,65280,8160,"[8160, 8160, 8160, 8160, 8160, 8160, 8160, 8160]",49152,480,480,0.7275903820991516,0.00993822980672121,0.1,0.001,8,64,48,1
DGFM+,DGFM+,288,288,8,x_bar,17.506161212921143,4,100004,200004,323536455,szo,78336,78336,9792,"[9792, 9792, 9792, 9792, 9792, 9792, 9792, 9792]",57344,576,576,0.7276033163070679,0.010185298509895802,0.1,0.001,8,64,48,1
DGFM+,DGFM+,336,336,8,x_bar,20.39674472808838,4,100004,200004,323536455,szo,91392,91392,11424,"[11424, 11424, 11424, 11424, 11424, 11424, 11424, 11424]",65536,672,672,0.7276279926300049,0.011178871616721153,0.1,0.001,8,64,48,1
DGFM+,DGFM+,384,384,8,x_bar,23.237754344940186,4,100004,200004,323536455,szo,104448,104448,13056,"[13056, 13056, 13056, 13056, 13056, 13056, 13056, 13056]",73728,768,768,0.7276394963264465,0.011041635647416115,0.1,0.001,8,64,48,1
DGFM+,DGFM+,432,432,8,x_bar,26.151585817337036,4,100004,200004,323536455,szo,117504,117504,14688,"[14688, 14688, 14688, 14688, 14688, 14688, 14688, 14688]",81920,864,864,0.7276679277420044,0.010013784281909466,0.1,0.001,8,64,48,1
DGFM+,DGFM+,480,480,8,x_bar,29.023759603500366,4,100004,200004,323536455,szo,130560,130560,16320,"[16320, 16320, 16320, 16320, 16320, 16320, 16320, 16320]",90112,960,960,0.7276801466941833,0.010618392378091812,0.1,0.001,8,64,48,1
DGFM+,DGFM+,528,528,8,x_bar,31.897831678390503,4,100004,200004,323536455,szo,143616,143616,17952,"[17952, 17952, 17952, 17952, 17952, 17952, 17952, 17952]",98304,1056,1056,0.7276696562767029,0.010886861011385918,0.1,0.001,8,64,48,1
