method,base_method,iteration,round,worker_count,eval_point,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,delta,epoch_length,domain_radius,lr_or_eta,theory_multiplier
ME-DOL-FO,ME-DOL,12,12,8,epoch_w_bar,0.1869797706604004,0,100000,200000,1570699740,sfo,96,96,12,"[12, 12, 12, 12, 12, 12, 12, 12]",8192,12,12,0.7295529842376709,0.009871908463537693,0.1,12,0.002209708691207961,0.000637887953849786,3.0
ME-DOL-FO,ME-DOL,60,60,8,epoch_w_bar,0.6971611976623535,0,100000,200000,1570699740,sfo,480,480,60,"[60, 60, 60, 60, 60, 60, 60, 60]",16384,60,60,0.7295897006988525,0.01033961120992899,0.1,12,0.002209708691207961,0.000637887953849786,3.0
ME-DOL-FO,ME-DOL,108,108,8,epoch_w_bar,1.2336885929107666,0,100000,200000,1570699740,sfo,864,864,108,"[108, 108, 108, 108, 108, 108, 108, 108]",24576,108,108,0.7295941710472107,0.010922512039542198,0.1,12,0.002209708691207961,0.000637887953849786,3.0
ME-DOL-FO,ME-DOL,156,156,8,epoch_w_bar,1.7225918769836426,0,100000,200000,1570699740,sfo,1248,1248,156,"[156, 156, 156, 156, 156, 156, 156, 156]",32768,156,156,0.7295946478843689,0.009622075594961643,0.1,12,0.002209708691207961,0.000637887953849786,3.0
ME-DOL-FO,ME-DOL,204,204,8,epoch_w_bar,2.222029685974121,0,100000,200000,1570699740,sfo,1632,1632,204,"[204, 204, 204, 204, 204, 204, 204, 204]",40960,204,204,0.7295939922332764,0.010969363152980804,0.1,12,0.002209708691207961,0.000637887953849786,3.0
ME-DOL-FO,ME-DOL,252,252,8,epoch_w_bar,2.7278761863708496,0,100000,200000,1570699740,sfo,2016,2016,252,"[252, 252, 252, 252, 252, 252, 252, 252]",49152,252,252,0.7295986413955688,0.01012209802865982,0.1,12,0.002209708691207961,0.000637887953849786,3.0
ME-DOL-FO,ME-DOL,300,300,8,epoch_w_bar,3.2678937911987305,0,100000,200000,1570699740,sfo,2400,2400,300,"[300, 300, 300, 300, 300, 300, 300, 300]",57344,300,300,0.7296074032783508,0.010354720056056976,0.1,12,0.002209708691207961,0.000637887953849786,3.0
ME-DOL-FO,ME-DOL,348,348,8,epoch_w_bar,3.7828145027160645,0,100000,200000,1570699740,sfo,2784,2784,348,"[348, 348, 348, 348, 348, 348, 348, 348]",65536,348,348,0.7296055555343628,0.01013251580297947,0.1,12,0.002209708691207961,0.000637887953849786,3.0
ME-DOL-FO,ME-DOL,396,396,8,epoch_w_bar,4.324561834335327,0,100000,200000,1570699740,sfo,3168,3168,396,"[396, 396, 396, 396, 396, 396, 396, 396]",73728,396,396,0.7296064496040344,0.008888132870197296,0.1,12,0.002209708691207961,0.000637887953849786,3.0
ME-DOL-FO,ME-DOL,444,444,8,epoch_w_bar,4.826440334320068,0,100000,200000,1570699740,sfo,3552,3552,444,"[444, 444, 444, 444, 444, 444, 444, 444]",81920,444,444,0.7296068668365479,0.009311804547905922,0.1,12,0.002209708691207961,0.000637887953849786,3.0
