method,base_method,iteration,round,block_id,worker_count,eval_point,delta,M,lr_or_eta,block_oracle_norm,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy
NOG-FO,NOG,12,12,1,2,y_bar,0.1,12,0.3,0.010084434412419796,0.25115346908569336,1,100001,200001,1958777996,sfo,7168,7168,3584,"[3584, 3584]",8192,14,14,0.7327013611793518,0.009951218031346798
NOG-FO,NOG,60,60,5,2,y_bar,0.1,12,0.3,0.00865842029452324,1.0849132537841797,1,100001,200001,1958777996,sfo,31744,31744,15872,"[15872, 15872]",16384,62,62,0.7326703071594238,0.007738866843283176
NOG-FO,NOG,108,108,9,2,y_bar,0.1,12,0.3,0.007917001843452454,1.9039130210876465,1,100001,200001,1958777996,sfo,56320,56320,28160,"[28160, 28160]",24576,110,110,0.732584536075592,0.007435244973748922
NOG-FO,NOG,156,156,13,2,y_bar,0.1,12,0.3,0.007880871184170246,2.743539571762085,1,100001,200001,1958777996,sfo,80896,80896,40448,"[40448, 40448]",32768,158,158,0.7324987053871155,0.008081142790615559
NOG-FO,NOG,204,204,17,2,y_bar,0.1,12,0.3,0.007492545992136002,3.540142059326172,1,100001,200001,1958777996,sfo,105472,105472,52736,"[52736, 52736]",40960,206,206,0.7324209809303284,0.007397457491606474
NOG-FO,NOG,252,252,21,2,y_bar,0.1,12,0.3,0.007744207978248596,4.325097560882568,1,100001,200001,1958777996,sfo,130048,130048,65024,"[65024, 65024]",49152,254,254,0.7323536276817322,0.007385274861007929
NOG-FO,NOG,300,300,25,2,y_bar,0.1,12,0.3,0.007686533499509096,5.15437126159668,1,100001,200001,1958777996,sfo,154624,154624,77312,"[77312, 77312]",57344,302,302,0.7322248816490173,0.007781945634633303
NOG-FO,NOG,348,348,29,2,y_bar,0.1,12,0.3,0.0077704149298369884,5.969739675521851,1,100001,200001,1958777996,sfo,179200,179200,89600,"[89600, 89600]",65536,350,350,0.7321528792381287,0.006058379076421261
NOG-FO,NOG,396,396,33,2,y_bar,0.1,12,0.3,0.008237414993345737,6.807446002960205,1,100001,200001,1958777996,sfo,203776,203776,101888,"[101888, 101888]",73728,398,398,0.7320467233657837,0.0069964672438800335
NOG-FO,NOG,444,444,37,2,y_bar,0.1,12,0.3,0.007965058088302612,7.686721086502075,1,100001,200001,1958777996,sfo,228352,228352,114176,"[114176, 114176]",81920,446,446,0.7318950891494751,0.007571317721158266
NOG-FO,NOG,492,492,41,2,y_bar,0.1,12,0.3,0.00705544650554657,8.553325176239014,1,100001,200001,1958777996,sfo,252928,252928,126464,"[126464, 126464]",90112,494,494,0.731816291809082,0.006494466681033373
NOG-FO,NOG,540,540,45,2,y_bar,0.1,12,0.3,0.008106153458356857,9.423827886581421,1,100001,200001,1958777996,sfo,277504,277504,138752,"[138752, 138752]",98304,542,542,0.7317440509796143,0.006964655127376318
NOG-FO,NOG,588,588,49,2,y_bar,0.1,12,0.3,0.008484463207423687,10.301400184631348,1,100001,200001,1958777996,sfo,302080,302080,151040,"[151040, 151040]",106496,590,590,0.7316564321517944,0.007330040447413921
NOG-FO,NOG,636,636,53,2,y_bar,0.1,12,0.3,0.008186870254576206,11.172561883926392,1,100001,200001,1958777996,sfo,326656,326656,163328,"[163328, 163328]",114688,638,638,0.7315886616706848,0.007827977649867535
NOG-FO,NOG,684,684,57,2,y_bar,0.1,12,0.3,0.008211248554289341,12.054439783096313,1,100001,200001,1958777996,sfo,351232,351232,175616,"[175616, 175616]",122880,686,686,0.7315083742141724,0.006527729332447052
NOG-FO,NOG,732,732,61,2,y_bar,0.1,12,0.3,0.007459556218236685,12.91703486442566,1,100001,200001,1958777996,sfo,375808,375808,187904,"[187904, 187904]",131072,734,734,0.7313617467880249,0.00776068726554513
NOG-FO,NOG,780,780,65,2,y_bar,0.1,12,0.3,0.007004358805716038,13.783143997192383,1,100001,200001,1958777996,sfo,400384,400384,200192,"[200192, 200192]",139264,782,782,0.7313287258148193,0.006698357407003641
NOG-FO,NOG,828,828,69,2,y_bar,0.1,12,0.3,0.007921692915260792,14.656649351119995,1,100001,200001,1958777996,sfo,424960,424960,212480,"[212480, 212480]",147456,830,830,0.7312749624252319,0.007180963642895222
NOG-FO,NOG,876,876,73,2,y_bar,0.1,12,0.3,0.007867424748837948,15.555980682373047,1,100001,200001,1958777996,sfo,449536,449536,224768,"[224768, 224768]",155648,878,878,0.7311975359916687,0.007351388689130545
NOG-FO,NOG,924,924,77,2,y_bar,0.1,12,0.3,0.007440273184329271,16.41475248336792,1,100001,200001,1958777996,sfo,474112,474112,237056,"[237056, 237056]",163840,926,926,0.731112539768219,0.0068031488917768
NOG-FO,NOG,960,960,80,2,y_bar,0.1,12,0.3,0.007693866733461618,17.06723928451538,1,100001,200001,1958777996,sfo,492544,492544,246272,"[246272, 246272]",172032,962,962,0.7310545444488525,0.0071326205506920815
