method,base_method,iteration,round,block_id,worker_count,eval_point,delta,M,lr_or_eta,block_oracle_norm,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy
NOG-ZO,NOG,12,12,1,1,y_bar,0.1,12,0.3,0.07406435906887054,0.1128242015838623,2,100002,200002,606279217,szo,14336,14336,14336,[14336],8192,14,14,0.7175601124763489,0.012217620387673378
NOG-ZO,NOG,60,60,5,1,y_bar,0.1,12,0.3,0.07727845013141632,0.3983042240142822,2,100002,200002,606279217,szo,63488,63488,63488,[63488],16384,62,62,0.7176039218902588,0.011999297887086868
NOG-ZO,NOG,108,108,9,1,y_bar,0.1,12,0.3,0.07297725230455399,0.6811811923980713,2,100002,200002,606279217,szo,112640,112640,112640,[112640],24576,110,110,0.7176324725151062,0.011246035806834698
NOG-ZO,NOG,156,156,13,1,y_bar,0.1,12,0.3,0.08817747980356216,0.9715216159820557,2,100002,200002,606279217,szo,161792,161792,161792,[161792],32768,158,158,0.717660129070282,0.011494318023324013
NOG-ZO,NOG,204,204,17,1,y_bar,0.1,12,0.3,0.08158846199512482,1.2650132179260254,2,100002,200002,606279217,szo,210944,210944,210944,[210944],40960,206,206,0.7176323533058167,0.01171104982495308
NOG-ZO,NOG,252,252,21,1,y_bar,0.1,12,0.3,0.06511808186769485,1.5513901710510254,2,100002,200002,606279217,szo,260096,260096,260096,[260096],49152,254,254,0.7176445126533508,0.010560634545981884
NOG-ZO,NOG,300,300,25,1,y_bar,0.1,12,0.3,0.08420698344707489,1.8477113246917725,2,100002,200002,606279217,szo,309248,309248,309248,[309248],57344,302,302,0.717657744884491,0.011970284394919872
NOG-ZO,NOG,348,348,29,1,y_bar,0.1,12,0.3,0.08157366514205933,2.1374919414520264,2,100002,200002,606279217,szo,358400,358400,358400,[358400],65536,350,350,0.7176474332809448,0.010911370627582073
NOG-ZO,NOG,396,396,33,1,y_bar,0.1,12,0.3,0.06689640879631042,2.429654598236084,2,100002,200002,606279217,szo,407552,407552,407552,[407552],73728,398,398,0.7176474332809448,0.010792307555675507
NOG-ZO,NOG,444,444,37,1,y_bar,0.1,12,0.3,0.0762040764093399,2.727250099182129,2,100002,200002,606279217,szo,456704,456704,456704,[456704],81920,446,446,0.7176048755645752,0.010332566685974598
NOG-ZO,NOG,492,492,41,1,y_bar,0.1,12,0.3,0.07100481539964676,3.0084211826324463,2,100002,200002,606279217,szo,505856,505856,505856,[505856],90112,494,494,0.7176311612129211,0.0107789421454072
NOG-ZO,NOG,540,540,45,1,y_bar,0.1,12,0.3,0.08058010041713715,3.287153959274292,2,100002,200002,606279217,szo,555008,555008,555008,[555008],98304,542,542,0.7176713347434998,0.011903222650289536
NOG-ZO,NOG,588,588,49,1,y_bar,0.1,12,0.3,0.06706422567367554,3.566688060760498,2,100002,200002,606279217,szo,604160,604160,604160,[604160],106496,590,590,0.7176591157913208,0.010692925192415714
NOG-ZO,NOG,636,636,53,1,y_bar,0.1,12,0.3,0.08534377813339233,3.8497416973114014,2,100002,200002,606279217,szo,653312,653312,653312,[653312],114688,638,638,0.717703104019165,0.01125716045498848
NOG-ZO,NOG,684,684,57,1,y_bar,0.1,12,0.3,0.06688985228538513,4.13017463684082,2,100002,200002,606279217,szo,702464,702464,702464,[702464],122880,686,686,0.717685878276825,0.011645851656794548
NOG-ZO,NOG,732,732,61,1,y_bar,0.1,12,0.3,0.07989652454853058,4.411021709442139,2,100002,200002,606279217,szo,751616,751616,751616,[751616],131072,734,734,0.7176920175552368,0.01067716721445322
NOG-ZO,NOG,780,780,65,1,y_bar,0.1,12,0.3,0.06023438274860382,4.699911594390869,2,100002,200002,606279217,szo,800768,800768,800768,[800768],139264,782,782,0.7176476716995239,0.010193617083132267
NOG-ZO,NOG,828,828,69,1,y_bar,0.1,12,0.3,0.06813724339008331,4.977057456970215,2,100002,200002,606279217,szo,849920,849920,849920,[849920],147456,830,830,0.7176380157470703,0.011703968048095703
NOG-ZO,NOG,876,876,73,1,y_bar,0.1,12,0.3,0.0776357501745224,5.254668235778809,2,100002,200002,606279217,szo,899072,899072,899072,[899072],155648,878,878,0.7176289558410645,0.011837711557745934
NOG-ZO,NOG,924,924,77,1,y_bar,0.1,12,0.3,0.07831566035747528,5.5390613079071045,2,100002,200002,606279217,szo,948224,948224,948224,[948224],163840,926,926,0.7175675630569458,0.009896524250507355
NOG-ZO,NOG,960,960,80,1,y_bar,0.1,12,0.3,0.061739321798086166,5.769993543624878,2,100002,200002,606279217,szo,985088,985088,985088,[985088],172032,962,962,0.717544436454773,0.009537607431411743
