method,base_method,iteration,round,block_id,worker_count,eval_point,delta,M,lr_or_eta,block_oracle_norm,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,epoch_length,domain_radius,theory_multiplier,batch_size,small_batch,large_batch,restart_period,restart_mixing_rounds
NOG-FO,NOG,12,12,1.0,1,y_bar,0.1,12.0,0.3,0.009952874854207039,0.184950590133667,0,100000,200000,1621981262,sfo,7168,7168,7168,[7168],8192,14,14,0.729598343372345,0.009123164229094982,,,,,,,,
NOG-FO,NOG,60,60,5.0,1,y_bar,0.1,12.0,0.3,0.008862224407494068,0.6511557102203369,0,100000,200000,1621981262,sfo,31744,31744,31744,[31744],16384,62,62,0.7295395731925964,0.007788199000060558,,,,,,,,
NOG-FO,NOG,108,108,9.0,1,y_bar,0.1,12.0,0.3,0.00742293568328023,1.1180763244628906,0,100000,200000,1621981262,sfo,56320,56320,56320,[56320],24576,110,110,0.7294303178787231,0.0076805660501122475,,,,,,,,
NOG-FO,NOG,156,156,13.0,1,y_bar,0.1,12.0,0.3,0.007494733203202486,1.5963466167449951,0,100000,200000,1621981262,sfo,80896,80896,80896,[80896],32768,158,158,0.7293410301208496,0.007331824395805597,,,,,,,,
NOG-FO,NOG,204,204,17.0,1,y_bar,0.1,12.0,0.3,0.00701939407736063,2.092167615890503,0,100000,200000,1621981262,sfo,105472,105472,105472,[105472],40960,206,206,0.7292081117630005,0.007710583973675966,,,,,,,,
NOG-FO,NOG,252,252,21.0,1,y_bar,0.1,12.0,0.3,0.007548515219241381,2.5911970138549805,0,100000,200000,1621981262,sfo,130048,130048,130048,[130048],49152,254,254,0.7291085124015808,0.007383562624454498,,,,,,,,
NOG-FO,NOG,300,300,25.0,1,y_bar,0.1,12.0,0.3,0.006417831871658564,3.091672897338867,0,100000,200000,1621981262,sfo,154624,154624,154624,[154624],57344,302,302,0.7290652394294739,0.007496550213545561,,,,,,,,
NOG-FO,NOG,348,348,29.0,1,y_bar,0.1,12.0,0.3,0.008669821545481682,3.6113526821136475,0,100000,200000,1621981262,sfo,179200,179200,179200,[179200],65536,350,350,0.7288925051689148,0.007037242408841848,,,,,,,,
NOG-FO,NOG,396,396,33.0,1,y_bar,0.1,12.0,0.3,0.007415504660457373,4.082794189453125,0,100000,200000,1621981262,sfo,203776,203776,203776,[203776],73728,398,398,0.7288182377815247,0.007721487898379564,,,,,,,,
NOG-FO,NOG,444,444,37.0,1,y_bar,0.1,12.0,0.3,0.007862539030611515,4.594925165176392,0,100000,200000,1621981262,sfo,228352,228352,228352,[228352],81920,446,446,0.7287378311157227,0.0070165907964110374,,,,,,,,
