method,base_method,oracle_type,worker_count,threshold,num_seeds,hit_rate,first_hit_depth_mean,first_hit_depth_std,first_hit_total_work_mean,first_hit_total_work_std,first_hit_per_worker_work_mean,final_stat_proxy_mean,final_stat_proxy_std
DGFM,DGFM,szo,8,0.0075,5,0.0,,,,,,0.0113247841596603,0.0005133187172603172
DGFM,DGFM,szo,8,0.008,5,0.0,,,,,,0.0113247841596603,0.0005133187172603172
DGFM,DGFM,szo,8,0.009,5,0.0,,,,,,0.0113247841596603,0.0005133187172603172
DGFM,DGFM,szo,8,0.01,5,0.6,512.0,399.6798718974975,4096.0,3197.43897517998,512.0,0.0113247841596603,0.0005133187172603172
DGFM+,DGFM+,szo,8,0.0075,5,0.0,,,,,,0.011023114807903741,0.0006781478872305325
DGFM+,DGFM+,szo,8,0.008,5,0.0,,,,,,0.011023114807903741,0.0006781478872305325
DGFM+,DGFM+,szo,8,0.009,5,0.0,,,,,,0.011023114807903741,0.0006781478872305325
DGFM+,DGFM+,szo,8,0.01,5,0.6,512.0,399.6798718974975,69632.0,54356.46257805966,8704.0,0.011023114807903741,0.0006781478872305325
ME-DOL-FO,ME-DOL,sfo,8,0.0075,5,0.0,,,,,,0.0095251509919762,0.0005218783672587437
ME-DOL-FO,ME-DOL,sfo,8,0.008,5,0.0,,,,,,0.0095251509919762,0.0005218783672587437
ME-DOL-FO,ME-DOL,sfo,8,0.009,5,0.6,604.0,281.25433329995116,4832.0,2250.0346663996093,604.0,0.0095251509919762,0.0005218783672587437
ME-DOL-FO,ME-DOL,sfo,8,0.01,5,1.0,307.2,379.43536999072717,2457.6,3035.4829599258173,307.2,0.0095251509919762,0.0005218783672587437
ME-DOL-ZO,ME-DOL,szo,8,0.0075,5,0.0,,,,,,0.01082915011793372,0.0008076492417101407
ME-DOL-ZO,ME-DOL,szo,8,0.008,5,0.0,,,,,,0.01082915011793372,0.0008076492417101407
ME-DOL-ZO,ME-DOL,szo,8,0.009,5,0.0,,,,,,0.01082915011793372,0.0008076492417101407
ME-DOL-ZO,ME-DOL,szo,8,0.01,5,0.6,172.0,168.5704600456438,2752.0,2697.127360730301,344.0,0.01082915011793372,0.0008076492417101407
NOG-FO,NOG,sfo,1,0.0075,5,1.0,244.4,196.1550407203445,125132.8,100431.38084881638,125132.8,0.0074042303487658005,0.0002547904729888575
NOG-FO,NOG,sfo,1,0.008,5,1.0,81.2,26.290682760247975,41574.4,13460.829573246963,41574.4,0.0074042303487658005,0.0002547904729888575
NOG-FO,NOG,sfo,1,0.009,5,1.0,62.0,0.0,31744.0,0.0,31744.0,0.0074042303487658005,0.0002547904729888575
NOG-FO,NOG,sfo,1,0.01,5,1.0,42.8,26.290682760247975,21913.6,13460.829573246963,21913.6,0.0074042303487658005,0.0002547904729888575
NOG-FO,NOG,sfo,2,0.0075,5,1.0,196.4,141.5796595560252,100556.8,72488.7856926849,50278.4,0.007251662388443899,0.00035626424792456593
NOG-FO,NOG,sfo,2,0.008,5,1.0,110.0,83.13843876330611,56320.0,42566.88064681273,28160.0,0.007251662388443899,0.00035626424792456593
NOG-FO,NOG,sfo,2,0.009,5,1.0,62.0,0.0,31744.0,0.0,15872.0,0.007251662388443899,0.00035626424792456593
NOG-FO,NOG,sfo,2,0.01,5,1.0,33.2,26.290682760247975,16998.4,13460.829573246963,8499.2,0.007251662388443899,0.00035626424792456593
NOG-FO,NOG,sfo,4,0.0075,5,1.0,254.0,206.45580640902304,130048.0,105705.3728814198,32512.0,0.007390211150050121,0.0002770374281800313
NOG-FO,NOG,sfo,4,0.008,5,1.0,100.4,40.15968127363563,51404.8,20561.75681210144,12851.2,0.007390211150050121,0.0002770374281800313
NOG-FO,NOG,sfo,4,0.009,5,1.0,52.4,21.46625258399798,26828.8,10990.721323006966,6707.2,0.007390211150050121,0.0002770374281800313
NOG-FO,NOG,sfo,4,0.01,5,1.0,33.2,26.290682760247975,16998.4,13460.829573246963,4249.6,0.007390211150050121,0.0002770374281800313
NOG-FO,NOG,sfo,8,0.0075,5,1.0,225.2,205.3367965075914,115302.4,105132.4398118868,14412.8,0.00731103159487244,0.00015319125803798657
NOG-FO,NOG,sfo,8,0.008,5,1.0,81.2,26.290682760247975,41574.4,13460.829573246963,5196.8,0.00731103159487244,0.00015319125803798657
NOG-FO,NOG,sfo,8,0.009,5,1.0,62.0,0.0,31744.0,0.0,3968.0,0.00731103159487244,0.00015319125803798657
NOG-FO,NOG,sfo,8,0.01,5,1.0,33.2,26.290682760247975,16998.4,13460.829573246963,2124.8,0.00731103159487244,0.00015319125803798657
NOG-ZO,NOG,szo,1,0.0075,5,0.0,,,,,,0.00920334905385966,0.00034285208708621524
NOG-ZO,NOG,szo,1,0.008,5,0.0,,,,,,0.00920334905385966,0.00034285208708621524
NOG-ZO,NOG,szo,1,0.009,5,0.8,422.0,261.44215421389106,432128.0,267716.76591502444,432128.0,0.00920334905385966,0.00034285208708621524
NOG-ZO,NOG,szo,1,0.01,5,1.0,302.0,363.9780213144744,309248.0,372713.4938260218,309248.0,0.00920334905385966,0.00034285208708621524
NOG-ZO,NOG,szo,2,0.0075,5,0.0,,,,,,0.009380294196307601,0.0006389947297221319
NOG-ZO,NOG,szo,2,0.008,5,0.2,926.0,,948224.0,,474112.0,0.009380294196307601,0.0006389947297221319
NOG-ZO,NOG,szo,2,0.009,5,0.8,578.0,205.05608988762074,591872.0,209977.43604492364,295936.0,0.009380294196307601,0.0006389947297221319
NOG-ZO,NOG,szo,2,0.01,5,1.0,273.2,302.8187576752801,279756.8,310086.4078594868,139878.4,0.009380294196307601,0.0006389947297221319
NOG-ZO,NOG,szo,4,0.0075,5,0.2,830.0,,849920.0,,212480.0,0.009326072782278,0.0003777917451832493
NOG-ZO,NOG,szo,4,0.008,5,0.2,494.0,,505856.0,,126464.0,0.009326072782278,0.0003777917451832493
NOG-ZO,NOG,szo,4,0.009,5,0.8,638.0,141.30817386124556,653312.0,144699.57003391546,163328.0,0.009326072782278,0.0003777917451832493
NOG-ZO,NOG,szo,4,0.01,5,1.0,206.0,169.7056274847714,210944.0,173778.56254440593,52736.0,0.009326072782278,0.0003777917451832493
NOG-ZO,NOG,szo,8,0.0075,5,0.0,,,,,,0.0089755859225988,0.0006232305966256912
NOG-ZO,NOG,szo,8,0.008,5,0.0,,,,,,0.0089755859225988,0.0006232305966256912
NOG-ZO,NOG,szo,8,0.009,5,1.0,628.4,174.39266039601551,643481.6,178578.0842455199,80435.2,0.0089755859225988,0.0006232305966256912
NOG-ZO,NOG,szo,8,0.01,5,1.0,263.6,243.33680362822227,269926.4,249176.8869152996,33740.8,0.0089755859225988,0.0006232305966256912
