method,worker_count,formal_seed,total_work_monotone,depth_monotone,eval_work_monotone,total_equals_sum_workers,finite_metrics,all_checks_pass
DGFM,8,0,True,True,True,True,True,True
DGFM,8,1,True,True,True,True,True,True
DGFM,8,2,True,True,True,True,True,True
DGFM,8,3,True,True,True,True,True,True
DGFM,8,4,True,True,True,True,True,True
DGFM+,8,0,True,True,True,True,True,True
DGFM+,8,1,True,True,True,True,True,True
DGFM+,8,2,True,True,True,True,True,True
DGFM+,8,3,True,True,True,True,True,True
DGFM+,8,4,True,True,True,True,True,True
ME-DOL-FO,8,0,True,True,True,True,True,True
ME-DOL-FO,8,1,True,True,True,True,True,True
ME-DOL-FO,8,2,True,True,True,True,True,True
ME-DOL-FO,8,3,True,True,True,True,True,True
ME-DOL-FO,8,4,True,True,True,True,True,True
ME-DOL-ZO,8,0,True,True,True,True,True,True
ME-DOL-ZO,8,1,True,True,True,True,True,True
ME-DOL-ZO,8,2,True,True,True,True,True,True
ME-DOL-ZO,8,3,True,True,True,True,True,True
ME-DOL-ZO,8,4,True,True,True,True,True,True
NOG-FO,1,0,True,True,True,True,True,True
NOG-FO,1,1,True,True,True,True,True,True
NOG-FO,1,2,True,True,True,True,True,True
NOG-FO,1,3,True,True,True,True,True,True
NOG-FO,1,4,True,True,True,True,True,True
NOG-FO,2,0,True,True,True,True,True,True
NOG-FO,2,1,True,True,True,True,True,True
NOG-FO,2,2,True,True,True,True,True,True
NOG-FO,2,3,True,True,True,True,True,True
NOG-FO,2,4,True,True,True,True,True,True
NOG-FO,4,0,True,True,True,True,True,True
NOG-FO,4,1,True,True,True,True,True,True
NOG-FO,4,2,True,True,True,True,True,True
NOG-FO,4,3,True,True,True,True,True,True
NOG-FO,4,4,True,True,True,True,True,True
NOG-FO,8,0,True,True,True,True,True,True
NOG-FO,8,1,True,True,True,True,True,True
NOG-FO,8,2,True,True,True,True,True,True
NOG-FO,8,3,True,True,True,True,True,True
NOG-FO,8,4,True,True,True,True,True,True
NOG-ZO,1,0,True,True,True,True,True,True
NOG-ZO,1,1,True,True,True,True,True,True
NOG-ZO,1,2,True,True,True,True,True,True
NOG-ZO,1,3,True,True,True,True,True,True
NOG-ZO,1,4,True,True,True,True,True,True
NOG-ZO,2,0,True,True,True,True,True,True
NOG-ZO,2,1,True,True,True,True,True,True
NOG-ZO,2,2,True,True,True,True,True,True
NOG-ZO,2,3,True,True,True,True,True,True
NOG-ZO,2,4,True,True,True,True,True,True
NOG-ZO,4,0,True,True,True,True,True,True
NOG-ZO,4,1,True,True,True,True,True,True
NOG-ZO,4,2,True,True,True,True,True,True
NOG-ZO,4,3,True,True,True,True,True,True
NOG-ZO,4,4,True,True,True,True,True,True
NOG-ZO,8,0,True,True,True,True,True,True
NOG-ZO,8,1,True,True,True,True,True,True
NOG-ZO,8,2,True,True,True,True,True,True
NOG-ZO,8,3,True,True,True,True,True,True
NOG-ZO,8,4,True,True,True,True,True,True
