candidate_id,method,candidate_parameters,score_stat_proxy_mean,score_stat_proxy_std,score_objective_mean,scored_work_mean,scored_depth_mean,num_seeds,common_work_budget
DGFM__eta-0p001,DGFM,"{""eta"": 0.001}",0.010593441780656548,0.0006087065181630564,0.7294226288795471,7680.0,960.0,2,7680
DGFM__eta-0p003,DGFM,"{""eta"": 0.003}",0.01199892582371825,0.0005984081991472491,0.7300813794136047,7680.0,960.0,2,7680
DGFM__eta-0p01,DGFM,"{""eta"": 0.01}",0.01378251938149325,0.00022698646246698304,0.7324124872684479,7680.0,960.0,2,7680
DGFM__eta-0p03,DGFM,"{""eta"": 0.03}",0.014278121758252299,0.0007365089337382652,0.738443911075592,7680.0,960.0,2,7680
DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-24__small_batch-16,DGFM+,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 16}",0.0112235615961253,0.00048177864969453025,0.7291563153266907,110592.0,384.0,2,130560
DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-24__small_batch-8,DGFM+,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 8}",0.010822351556271249,0.00019074017274763933,0.7291791141033173,126976.0,768.0,2,130560
DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-48__small_batch-16,DGFM+,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 48, ""small_batch"": 16}",0.0105331568047404,5.38821116431191e-05,0.7291993498802185,130560.0,480.0,2,130560
DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-48__small_batch-8,DGFM+,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 48, ""small_batch"": 8}",0.01077041868120425,0.0008073400053833502,0.7292106449604034,126720.0,864.0,2,130560
DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-3__restart_period-24__small_batch-16,DGFM+,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 3, ""restart_period"": 24, ""small_batch"": 16}",0.0112235615961253,0.00048177864969453025,0.7291563153266907,110592.0,400.0,2,130560
DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-3__restart_period-24__small_batch-8,DGFM+,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 3, ""restart_period"": 24, ""small_batch"": 8}",0.010822351556271249,0.00019074017274763933,0.7291791141033173,126976.0,800.0,2,130560
DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-3__restart_period-48__small_batch-16,DGFM+,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 3, ""restart_period"": 48, ""small_batch"": 16}",0.0105331568047404,5.38821116431191e-05,0.7291993498802185,130560.0,490.0,2,130560
DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-3__restart_period-48__small_batch-8,DGFM+,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 3, ""restart_period"": 48, ""small_batch"": 8}",0.01077041868120425,0.0008073400053833491,0.7292106449604034,126720.0,882.0,2,130560
DGFMplus__eta-0p001__large_batch-64__restart_mixing_rounds-1__restart_period-24__small_batch-16,DGFM+,"{""eta"": 0.001, ""large_batch"": 64, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 16}",0.010663011111319,0.00013764765596954858,0.7292186319828033,128000.0,480.0,2,130560
DGFMplus__eta-0p001__large_batch-64__restart_mixing_rounds-1__restart_period-24__small_batch-8,DGFM+,"{""eta"": 0.001, ""large_batch"": 64, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 8}",0.0108836637809872,0.0008343614036349518,0.7292631566524506,124416.0,864.0,2,130560
DGFMplus__eta-0p001__large_batch-64__restart_mixing_rounds-1__restart_period-48__small_batch-16,DGFM+,"{""eta"": 0.001, ""large_batch"": 64, ""restart_mixing_rounds"": 1, ""restart_period"": 48, ""small_batch"": 16}",0.0106558469124138,0.0002396265657531549,0.7292775511741638,125440.0,480.0,2,130560
DGFMplus__eta-0p001__large_batch-64__restart_mixing_rounds-1__restart_period-48__small_batch-8,DGFM+,"{""eta"": 0.001, ""large_batch"": 64, ""restart_mixing_rounds"": 1, ""restart_period"": 48, ""small_batch"": 8}",0.010517232120037051,0.00017127162145811676,0.7293306887149811,130560.0,960.0,2,130560
DGFMplus__eta-0p001__large_batch-64__restart_mixing_rounds-3__restart_period-24__small_batch-16,DGFM+,"{""eta"": 0.001, ""large_batch"": 64, ""restart_mixing_rounds"": 3, ""restart_period"": 24, ""small_batch"": 16}",0.010663011111319,0.00013764765596954734,0.7292186319828033,128000.0,500.0,2,130560
DGFMplus__eta-0p001__large_batch-64__restart_mixing_rounds-3__restart_period-24__small_batch-8,DGFM+,"{""eta"": 0.001, ""large_batch"": 64, ""restart_mixing_rounds"": 3, ""restart_period"": 24, ""small_batch"": 8}",0.0108836637809872,0.0008343614036349518,0.7292631566524506,124416.0,900.0,2,130560
DGFMplus__eta-0p001__large_batch-64__restart_mixing_rounds-3__restart_period-48__small_batch-16,DGFM+,"{""eta"": 0.001, ""large_batch"": 64, ""restart_mixing_rounds"": 3, ""restart_period"": 48, ""small_batch"": 16}",0.0106558469124138,0.0002396265657531549,0.7292775511741638,125440.0,490.0,2,130560
DGFMplus__eta-0p001__large_batch-64__restart_mixing_rounds-3__restart_period-48__small_batch-8,DGFM+,"{""eta"": 0.001, ""large_batch"": 64, ""restart_mixing_rounds"": 3, ""restart_period"": 48, ""small_batch"": 8}",0.010517232120037051,0.00017127162145811676,0.7293306887149811,130560.0,980.0,2,130560
DGFMplus__eta-0p003__large_batch-64__restart_mixing_rounds-1__restart_period-48__small_batch-8,DGFM+,"{""eta"": 0.003, ""large_batch"": 64, ""restart_mixing_rounds"": 1, ""restart_period"": 48, ""small_batch"": 8}",0.01157910143956535,0.00029054654419945235,0.7298053503036499,130560.0,960.0,2,130560
DGFMplus__eta-0p01__large_batch-64__restart_mixing_rounds-1__restart_period-48__small_batch-8,DGFM+,"{""eta"": 0.01, ""large_batch"": 64, ""restart_mixing_rounds"": 1, ""restart_period"": 48, ""small_batch"": 8}",0.0132920653559267,0.0004974967900109735,0.731493204832077,130560.0,960.0,2,130560
ME-DOL-FO__theory_multiplier-0p3,ME-DOL-FO,"{""theory_multiplier"": 0.3}",0.010156436823308398,0.0004512017696443644,0.7290863692760468,3840.0,480.0,2,3840
ME-DOL-FO__theory_multiplier-1p0,ME-DOL-FO,"{""theory_multiplier"": 1.0}",0.00997213320806615,0.00041388271092148,0.7291035652160645,3840.0,480.0,2,3840
ME-DOL-FO__theory_multiplier-3p0,ME-DOL-FO,"{""theory_multiplier"": 3.0}",0.009579598437994701,0.000172373366419951,0.729150265455246,3840.0,480.0,2,3840
ME-DOL-ZO__theory_multiplier-0p3,ME-DOL-ZO,"{""theory_multiplier"": 0.3}",0.0102415084838867,0.0004317602186796967,0.7291069030761719,7680.0,480.0,2,7680
ME-DOL-ZO__theory_multiplier-1p0,ME-DOL-ZO,"{""theory_multiplier"": 1.0}",0.01018448825925585,0.00047282046875243643,0.7291717827320099,7680.0,480.0,2,7680
ME-DOL-ZO__theory_multiplier-3p0,ME-DOL-ZO,"{""theory_multiplier"": 3.0}",0.01036408869549625,0.0005447025774322717,0.7293517887592316,7680.0,480.0,2,7680
