method,base_method,iteration,round,worker_count,eval_point,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,delta,lr_or_eta,batch_size,candidate_id,candidate_parameters
DGFM,DGFM,1,1,8,x_bar,0.0762789249420166,100,100100,200100,1955363566,szo,16,16,2,"[2, 2, 2, 2, 2, 2, 2, 2]",8192,2,2,0.7315863370895386,0.009886637330055237,0.1,0.01,1,DGFM__eta-0p01,"{""eta"": 0.01}"
DGFM,DGFM,48,48,8,x_bar,0.36632513999938965,100,100100,200100,1955363566,szo,768,768,96,"[96, 96, 96, 96, 96, 96, 96, 96]",16384,96,96,0.7325311303138733,0.012956196442246437,0.1,0.01,1,DGFM__eta-0p01,"{""eta"": 0.01}"
DGFM,DGFM,96,96,8,x_bar,0.6648457050323486,100,100100,200100,1955363566,szo,1536,1536,192,"[192, 192, 192, 192, 192, 192, 192, 192]",24576,192,192,0.7329034805297852,0.01305450964719057,0.1,0.01,1,DGFM__eta-0p01,"{""eta"": 0.01}"
DGFM,DGFM,144,144,8,x_bar,0.9650313854217529,100,100100,200100,1955363566,szo,2304,2304,288,"[288, 288, 288, 288, 288, 288, 288, 288]",32768,288,288,0.7332853674888611,0.01308923214673996,0.1,0.01,1,DGFM__eta-0p01,"{""eta"": 0.01}"
DGFM,DGFM,192,192,8,x_bar,1.2631971836090088,100,100100,200100,1955363566,szo,3072,3072,384,"[384, 384, 384, 384, 384, 384, 384, 384]",40960,384,384,0.7340213060379028,0.014073863625526428,0.1,0.01,1,DGFM__eta-0p01,"{""eta"": 0.01}"
DGFM,DGFM,240,240,8,x_bar,1.566025972366333,100,100100,200100,1955363566,szo,3840,3840,480,"[480, 480, 480, 480, 480, 480, 480, 480]",49152,480,480,0.7341921925544739,0.013737034983932972,0.1,0.01,1,DGFM__eta-0p01,"{""eta"": 0.01}"
DGFM,DGFM,288,288,8,x_bar,1.8614776134490967,100,100100,200100,1955363566,szo,4608,4608,576,"[576, 576, 576, 576, 576, 576, 576, 576]",57344,576,576,0.7344750761985779,0.014097187668085098,0.1,0.01,1,DGFM__eta-0p01,"{""eta"": 0.01}"
DGFM,DGFM,336,336,8,x_bar,2.1595335006713867,100,100100,200100,1955363566,szo,5376,5376,672,"[672, 672, 672, 672, 672, 672, 672, 672]",65536,672,672,0.7347074747085571,0.014235525391995907,0.1,0.01,1,DGFM__eta-0p01,"{""eta"": 0.01}"
DGFM,DGFM,384,384,8,x_bar,2.4607815742492676,100,100100,200100,1955363566,szo,6144,6144,768,"[768, 768, 768, 768, 768, 768, 768, 768]",73728,768,768,0.7349482178688049,0.014056192710995674,0.1,0.01,1,DGFM__eta-0p01,"{""eta"": 0.01}"
DGFM,DGFM,432,432,8,x_bar,2.7768452167510986,100,100100,200100,1955363566,szo,6912,6912,864,"[864, 864, 864, 864, 864, 864, 864, 864]",81920,864,864,0.7351564168930054,0.01369459182024002,0.1,0.01,1,DGFM__eta-0p01,"{""eta"": 0.01}"
DGFM,DGFM,480,480,8,x_bar,3.0905137062072754,100,100100,200100,1955363566,szo,7680,7680,960,"[960, 960, 960, 960, 960, 960, 960, 960]",90112,960,960,0.7351129055023193,0.013622015714645386,0.1,0.01,1,DGFM__eta-0p01,"{""eta"": 0.01}"
DGFM,DGFM,1,1,8,x_bar,0.0679471492767334,101,100101,200101,1563543781,szo,16,16,2,"[2, 2, 2, 2, 2, 2, 2, 2]",8192,2,2,0.7267933487892151,0.010410081595182419,0.1,0.01,1,DGFM__eta-0p01,"{""eta"": 0.01}"
DGFM,DGFM,48,48,8,x_bar,0.39561891555786133,101,100101,200101,1563543781,szo,768,768,96,"[96, 96, 96, 96, 96, 96, 96, 96]",16384,96,96,0.7277190685272217,0.012200878001749516,0.1,0.01,1,DGFM__eta-0p01,"{""eta"": 0.01}"
DGFM,DGFM,96,96,8,x_bar,0.7084329128265381,101,100101,200101,1563543781,szo,1536,1536,192,"[192, 192, 192, 192, 192, 192, 192, 192]",24576,192,192,0.7282917499542236,0.013607452623546124,0.1,0.01,1,DGFM__eta-0p01,"{""eta"": 0.01}"
DGFM,DGFM,144,144,8,x_bar,0.9988903999328613,101,100101,200101,1563543781,szo,2304,2304,288,"[288, 288, 288, 288, 288, 288, 288, 288]",32768,288,288,0.728592574596405,0.014081703498959541,0.1,0.01,1,DGFM__eta-0p01,"{""eta"": 0.01}"
DGFM,DGFM,192,192,8,x_bar,1.2890567779541016,101,100101,200101,1563543781,szo,3072,3072,384,"[384, 384, 384, 384, 384, 384, 384, 384]",40960,384,384,0.7288578152656555,0.014369456097483635,0.1,0.01,1,DGFM__eta-0p01,"{""eta"": 0.01}"
DGFM,DGFM,240,240,8,x_bar,1.5829598903656006,101,100101,200101,1563543781,szo,3840,3840,480,"[480, 480, 480, 480, 480, 480, 480, 480]",49152,480,480,0.7292208075523376,0.014217364601790905,0.1,0.01,1,DGFM__eta-0p01,"{""eta"": 0.01}"
