method,base_method,iteration,round,worker_count,eval_point,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,delta,lr_or_eta,small_batch,large_batch,restart_period,restart_mixing_rounds,candidate_id,candidate_parameters
DGFM+,DGFM+,1,1,8,x_bar,0.5014636516571045,100,100100,200100,1225827990,szo,2048,2048,256,"[256, 256, 256, 256, 256, 256, 256, 256]",8192,2,2,0.7314548492431641,0.009837067686021328,0.1,0.001,16,128,24,1,DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-24__small_batch-16,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 16}"
DGFM+,DGFM+,48,48,8,x_bar,5.967440366744995,100,100100,200100,1225827990,szo,27648,27648,3456,"[3456, 3456, 3456, 3456, 3456, 3456, 3456, 3456]",16384,96,96,0.7314916253089905,0.011325945146381855,0.1,0.001,16,128,24,1,DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-24__small_batch-16,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 16}"
DGFM+,DGFM+,96,96,8,x_bar,11.845603466033936,100,100100,200100,1225827990,szo,55296,55296,6912,"[6912, 6912, 6912, 6912, 6912, 6912, 6912, 6912]",24576,192,192,0.7315105199813843,0.010904989205300808,0.1,0.001,16,128,24,1,DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-24__small_batch-16,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 16}"
DGFM+,DGFM+,144,144,8,x_bar,17.73318600654602,100,100100,200100,1225827990,szo,82944,82944,10368,"[10368, 10368, 10368, 10368, 10368, 10368, 10368, 10368]",32768,288,288,0.7315223813056946,0.010124512016773224,0.1,0.001,16,128,24,1,DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-24__small_batch-16,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 16}"
DGFM+,DGFM+,192,192,8,x_bar,23.66880440711975,100,100100,200100,1225827990,szo,110592,110592,13824,"[13824, 13824, 13824, 13824, 13824, 13824, 13824, 13824]",40960,384,384,0.7315377593040466,0.010882892645895481,0.1,0.001,16,128,24,1,DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-24__small_batch-16,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 16}"
DGFM+,DGFM+,240,240,8,x_bar,29.58799910545349,100,100100,200100,1225827990,szo,138240,138240,17280,"[17280, 17280, 17280, 17280, 17280, 17280, 17280, 17280]",49152,480,480,0.731549859046936,0.010541734285652637,0.1,0.001,16,128,24,1,DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-24__small_batch-16,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 16}"
DGFM+,DGFM+,288,288,8,x_bar,35.47982931137085,100,100100,200100,1225827990,szo,165888,165888,20736,"[20736, 20736, 20736, 20736, 20736, 20736, 20736, 20736]",57344,576,576,0.7315536141395569,0.010109865106642246,0.1,0.001,16,128,24,1,DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-24__small_batch-16,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 16}"
DGFM+,DGFM+,336,336,8,x_bar,41.41270112991333,100,100100,200100,1225827990,szo,193536,193536,24192,"[24192, 24192, 24192, 24192, 24192, 24192, 24192, 24192]",65536,672,672,0.7315661311149597,0.010944441892206669,0.1,0.001,16,128,24,1,DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-24__small_batch-16,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 16}"
DGFM+,DGFM+,384,384,8,x_bar,47.34455752372742,100,100100,200100,1225827990,szo,221184,221184,27648,"[27648, 27648, 27648, 27648, 27648, 27648, 27648, 27648]",73728,768,768,0.7315745949745178,0.01068626344203949,0.1,0.001,16,128,24,1,DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-24__small_batch-16,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 16}"
DGFM+,DGFM+,432,432,8,x_bar,53.40812706947327,100,100100,200100,1225827990,szo,248832,248832,31104,"[31104, 31104, 31104, 31104, 31104, 31104, 31104, 31104]",81920,864,864,0.731575071811676,0.010256430134177208,0.1,0.001,16,128,24,1,DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-24__small_batch-16,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 16}"
