method,base_method,seed,round,communication_round,block_id,worker_count,local_data_B,split_mode,work,total_work,per_worker_work,eval_work,total_sfo_per_oracle,per_worker_sfo_per_oracle,time_sec,d,delta,M,lr_or_eta,eval_point,objective,stat_proxy,block_oracle_norm
NOG-m1,DistributedNOG,11000,12,12,1,1,64,total_batch_fixed,7168,7168,7168,8192,512,512,0.17727327346801758,100,0.1,12,0.3,y_bar,0.7262445092201233,0.011558553203940392,0.010312693193554878
NOG-m1,DistributedNOG,11000,60,60,5,1,64,total_batch_fixed,31744,31744,31744,16384,512,512,0.6866366863250732,100,0.1,12,0.3,y_bar,0.7260077595710754,0.008423220366239548,0.007969518192112446
NOG-m1,DistributedNOG,11000,108,108,9,1,64,total_batch_fixed,56320,56320,56320,24576,512,512,1.171140193939209,100,0.1,12,0.3,y_bar,0.7258036136627197,0.008153778500854969,0.008021566085517406
NOG-m1,DistributedNOG,11000,156,156,13,1,64,total_batch_fixed,80896,80896,80896,32768,512,512,1.684847354888916,100,0.1,12,0.3,y_bar,0.7255647778511047,0.008631415665149689,0.008499041199684143
NOG-m1,DistributedNOG,11000,204,204,17,1,64,total_batch_fixed,105472,105472,105472,40960,512,512,2.1848700046539307,100,0.1,12,0.3,y_bar,0.7253219485282898,0.008173858746886253,0.008009091019630432
NOG-m1,DistributedNOG,11000,240,240,20,1,64,total_batch_fixed,123904,123904,123904,49152,512,512,2.5704097747802734,100,0.1,12,0.3,y_bar,0.7251500487327576,0.00795999076217413,0.007221502717584372
NOG-m2,DistributedNOG,12000,12,12,1,2,32,total_batch_fixed,7168,7168,3584,8192,512,256,0.26997995376586914,100,0.1,12,0.3,y_bar,0.7262245416641235,0.011147690005600452,0.012140977196395397
NOG-m2,DistributedNOG,12000,60,60,5,2,32,total_batch_fixed,31744,31744,15872,16384,512,256,1.1602730751037598,100,0.1,12,0.3,y_bar,0.7259952425956726,0.008879443630576134,0.009286420419812202
NOG-m2,DistributedNOG,12000,108,108,9,2,32,total_batch_fixed,56320,56320,28160,24576,512,256,2.0668785572052,100,0.1,12,0.3,y_bar,0.725784420967102,0.007650507148355246,0.009378553368151188
NOG-m2,DistributedNOG,12000,156,156,13,2,32,total_batch_fixed,80896,80896,40448,32768,512,256,2.9426145553588867,100,0.1,12,0.3,y_bar,0.7255266904830933,0.007402829825878143,0.009373233653604984
NOG-m2,DistributedNOG,12000,204,204,17,2,32,total_batch_fixed,105472,105472,52736,40960,512,256,3.848381757736206,100,0.1,12,0.3,y_bar,0.7252928018569946,0.008358045481145382,0.007125934585928917
NOG-m2,DistributedNOG,12000,240,240,20,2,32,total_batch_fixed,123904,123904,61952,49152,512,256,4.5167155265808105,100,0.1,12,0.3,y_bar,0.7251166701316833,0.0077391876839101315,0.009560910053551197
NOG-m4,DistributedNOG,14000,12,12,1,4,16,total_batch_fixed,7168,7168,1792,8192,512,128,0.46547460556030273,100,0.1,12,0.3,y_bar,0.7262263298034668,0.011364173144102097,0.011934836395084858
NOG-m4,DistributedNOG,14000,60,60,5,4,16,total_batch_fixed,31744,31744,7936,16384,512,128,2.1270864009857178,100,0.1,12,0.3,y_bar,0.726015567779541,0.008257459849119186,0.008646016009151936
NOG-m4,DistributedNOG,14000,108,108,9,4,16,total_batch_fixed,56320,56320,14080,24576,512,128,3.7871527671813965,100,0.1,12,0.3,y_bar,0.7257903218269348,0.00818618480116129,0.009070580825209618
NOG-m4,DistributedNOG,14000,156,156,13,4,16,total_batch_fixed,80896,80896,20224,32768,512,128,5.53133749961853,100,0.1,12,0.3,y_bar,0.725548505783081,0.008478373289108276,0.008207566104829311
NOG-m4,DistributedNOG,14000,204,204,17,4,16,total_batch_fixed,105472,105472,26368,40960,512,128,7.207639694213867,100,0.1,12,0.3,y_bar,0.7252796292304993,0.008246992714703083,0.009741293266415596
NOG-m4,DistributedNOG,14000,240,240,20,4,16,total_batch_fixed,123904,123904,30976,49152,512,128,8.492140531539917,100,0.1,12,0.3,y_bar,0.7251381278038025,0.0077060223557055,0.008166498504579067
NOG-m8,DistributedNOG,18000,12,12,1,8,8,total_batch_fixed,7168,7168,896,8192,512,64,0.8242042064666748,100,0.1,12,0.3,y_bar,0.7262271642684937,0.011144859716296196,0.011352184228599072
NOG-m8,DistributedNOG,18000,60,60,5,8,8,total_batch_fixed,31744,31744,3968,16384,512,64,4.142564535140991,100,0.1,12,0.3,y_bar,0.7260061502456665,0.007694374769926071,0.009505441412329674
NOG-m8,DistributedNOG,18000,108,108,9,8,8,total_batch_fixed,56320,56320,7040,24576,512,64,7.44098162651062,100,0.1,12,0.3,y_bar,0.7257742881774902,0.007838803343474865,0.0076514738611876965
NOG-m8,DistributedNOG,18000,156,156,13,8,8,total_batch_fixed,80896,80896,10112,32768,512,64,10.751128435134888,100,0.1,12,0.3,y_bar,0.7255678772926331,0.0077307517640292645,0.006919732317328453
NOG-m8,DistributedNOG,18000,204,204,17,8,8,total_batch_fixed,105472,105472,13184,40960,512,64,14.233123779296875,100,0.1,12,0.3,y_bar,0.7253472208976746,0.007538409437984228,0.007820090278983116
NOG-m8,DistributedNOG,18000,240,240,20,8,8,total_batch_fixed,123904,123904,15488,49152,512,64,16.930902004241943,100,0.1,12,0.3,y_bar,0.7251812219619751,0.008119840174913406,0.008553262799978256
