threshold,worker_count,method,hit_rate,first_hit_round_mean,first_hit_round_std,first_hit_total_work_mean,first_hit_total_work_std,first_hit_per_worker_work_mean,first_hit_per_worker_work_std,first_hit_time_sec_mean,first_hit_time_sec_std,final_stat_proxy_mean,final_objective_mean
0.0075,1,NOG-m1,0.0,,,,,,,,,0.00795999076217413,0.7251500487327576
0.0075,2,NOG-m2,1.0,156.0,,80896.0,,40448.0,,2.9426145553588867,,0.0077391876839101315,0.7251166701316833
0.0075,4,NOG-m4,0.0,,,,,,,,,0.0077060223557055,0.7251381278038025
0.0075,8,NOG-m8,0.0,,,,,,,,,0.008119840174913406,0.7251812219619751
0.008,1,NOG-m1,1.0,240.0,,123904.0,,123904.0,,2.5704097747802734,,0.00795999076217413,0.7251500487327576
0.008,2,NOG-m2,1.0,108.0,,56320.0,,28160.0,,2.0668785572052,,0.0077391876839101315,0.7251166701316833
0.008,4,NOG-m4,1.0,240.0,,123904.0,,30976.0,,8.492140531539917,,0.0077060223557055,0.7251381278038025
0.008,8,NOG-m8,1.0,60.0,,31744.0,,3968.0,,4.142564535140991,,0.008119840174913406,0.7251812219619751
0.009,1,NOG-m1,1.0,60.0,,31744.0,,31744.0,,0.6866366863250732,,0.00795999076217413,0.7251500487327576
0.009,2,NOG-m2,1.0,60.0,,31744.0,,15872.0,,1.1602730751037598,,0.0077391876839101315,0.7251166701316833
0.009,4,NOG-m4,1.0,60.0,,31744.0,,7936.0,,2.1270864009857178,,0.0077060223557055,0.7251381278038025
0.009,8,NOG-m8,1.0,60.0,,31744.0,,3968.0,,4.142564535140991,,0.008119840174913406,0.7251812219619751
0.01,1,NOG-m1,1.0,60.0,,31744.0,,31744.0,,0.6866366863250732,,0.00795999076217413,0.7251500487327576
0.01,2,NOG-m2,1.0,60.0,,31744.0,,15872.0,,1.1602730751037598,,0.0077391876839101315,0.7251166701316833
0.01,4,NOG-m4,1.0,60.0,,31744.0,,7936.0,,2.1270864009857178,,0.0077060223557055,0.7251381278038025
0.01,8,NOG-m8,1.0,60.0,,31744.0,,3968.0,,4.142564535140991,,0.008119840174913406,0.7251812219619751
