threshold,worker_count,hit_rate,first_hit_round_mean,round_ratio_m_over_1,first_hit_total_work_mean,total_work_ratio_m_over_1,first_hit_per_worker_work_mean,per_worker_work_ratio_m_over_1,ideal_per_worker_ratio
0.0075,1,0.0,,,,,,,1.0
0.0075,2,1.0,156.0,,80896.0,,40448.0,,0.5
0.0075,4,0.0,,,,,,,0.25
0.0075,8,0.0,,,,,,,0.125
0.008,1,1.0,240.0,1.0,123904.0,1.0,123904.0,1.0,1.0
0.008,2,1.0,108.0,0.45,56320.0,0.45454545454545453,28160.0,0.22727272727272727,0.5
0.008,4,1.0,240.0,1.0,123904.0,1.0,30976.0,0.25,0.25
0.008,8,1.0,60.0,0.25,31744.0,0.256198347107438,3968.0,0.03202479338842975,0.125
0.009,1,1.0,60.0,1.0,31744.0,1.0,31744.0,1.0,1.0
0.009,2,1.0,60.0,1.0,31744.0,1.0,15872.0,0.5,0.5
0.009,4,1.0,60.0,1.0,31744.0,1.0,7936.0,0.25,0.25
0.009,8,1.0,60.0,1.0,31744.0,1.0,3968.0,0.125,0.125
0.01,1,1.0,60.0,1.0,31744.0,1.0,31744.0,1.0,1.0
0.01,2,1.0,60.0,1.0,31744.0,1.0,15872.0,0.5,0.5
0.01,4,1.0,60.0,1.0,31744.0,1.0,7936.0,0.25,0.25
0.01,8,1.0,60.0,1.0,31744.0,1.0,3968.0,0.125,0.125
