formal_config_id,method,formal_seed,worker_count,parameters,iteration,depth,total_work,per_worker_work,eval_work,training_time,communication_time,evaluation_time,objective,stat_proxy
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",12,12,96,12,8192,0.6828680634498596,0.06086428463459015,0.04410497844219208,0.7177975177764893,0.00999381672590971
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",60,60,480,60,16384,2.2928764671087265,0.19019237160682678,0.08702638745307922,0.7179024815559387,0.009746510535478592
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",108,108,864,108,24576,3.8209128975868225,0.3169856667518616,0.1327475756406784,0.7179032564163208,0.009539911523461342
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",156,156,1248,156,32768,5.516657426953316,0.452767476439476,0.17907634377479553,0.7179468870162964,0.00981402862817049
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",204,204,1632,204,40960,7.151569083333015,0.5900085866451263,0.22698773443698883,0.7179694175720215,0.009595075622200966
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",252,252,2016,252,49152,8.737371370196342,0.732864186167717,0.2709542214870453,0.7179861068725586,0.009383548982441425
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",300,300,2400,300,57344,10.301014348864555,0.8873618096113205,0.31245653331279755,0.7179687023162842,0.009128779172897339
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",348,348,2784,348,65536,11.978327348828316,1.055781826376915,0.35856014490127563,0.7179822325706482,0.009092013351619244
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",396,396,3168,396,73728,13.60294882953167,1.2175906151533127,0.42168475687503815,0.717958390712738,0.008716229349374771
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",444,444,3552,444,81920,15.125171467661858,1.370831549167633,0.46106335520744324,0.7179722785949707,0.008526365272700787
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",492,492,3936,492,90112,16.749104157090187,1.51631098985672,0.5071770399808884,0.7179826498031616,0.008516773581504822
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",540,540,4320,540,98304,18.3250869512558,1.6470071375370026,0.5543358772993088,0.7179677486419678,0.008511016145348549
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",588,588,4704,588,106496,19.957983419299126,1.764692798256874,0.5978182554244995,0.7179679870605469,0.008534974418580532
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",636,636,5088,636,114688,21.566879719495773,1.9019702821969986,0.6490145325660706,0.7179629802703857,0.008647169917821884
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",684,684,5472,684,122880,23.1293928027153,2.0475580245256424,0.6932462304830551,0.7179433107376099,0.00846095010638237
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",732,732,5856,732,131072,24.696662813425064,2.1874232590198517,0.738667368888855,0.7179320454597473,0.008494877256453037
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",780,780,6240,780,139264,26.323716685175896,2.335100993514061,0.7830240726470947,0.7179471254348755,0.0083992388099432
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",828,828,6624,828,147456,27.84836509823799,2.48680579662323,0.8276340365409851,0.7179344892501831,0.008307479321956635
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",876,876,7008,876,155648,29.513341411948204,2.6437130719423294,0.8725069910287857,0.7179315090179443,0.008285622112452984
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",924,924,7392,924,163840,31.090027078986168,2.785885587334633,0.9205659180879593,0.7179494500160217,0.008295695297420025
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",972,972,7776,972,172032,32.71790038049221,2.9231882989406586,0.9650504142045975,0.7179729342460632,0.008327075280249119
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1020,1020,8160,1020,180224,34.360930904746056,3.0617052614688873,1.0073317736387253,0.7179442048072815,0.008322429843246937
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1068,1068,8544,1068,188416,35.87081724405289,3.1990113258361816,1.0526352524757385,0.7179147005081177,0.008267763070762157
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1116,1116,8928,1116,196608,37.69140303134918,3.3438075482845306,1.0954792946577072,0.7178899049758911,0.00805552490055561
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1164,1164,9312,1164,204800,39.54752993583679,3.4968684911727905,1.1369632333517075,0.7178931832313538,0.007911672815680504
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1212,1212,9696,1212,212992,41.27679668366909,3.6292762607336044,1.1829257905483246,0.7178817987442017,0.007695490960031748
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1260,1260,10080,1260,221184,43.04624393582344,3.773797109723091,1.2257884293794632,0.7179027199745178,0.007914741523563862
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1308,1308,10464,1308,229376,44.62366144359112,3.891757979989052,1.2730496227741241,0.717903196811676,0.007940426468849182
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1356,1356,10848,1356,237568,46.270768120884895,4.022946536540985,1.3165568113327026,0.7178866863250732,0.007839130237698555
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1404,1404,11232,1404,245760,47.93191076815128,4.163080707192421,1.3553270101547241,0.717863917350769,0.0078099751845002174
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1452,1452,11616,1452,253952,49.57105594873428,4.309787288308144,1.3992122560739517,0.717860996723175,0.007781436666846275
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1500,1500,12000,1500,262144,51.23405358195305,4.444113716483116,1.4447968900203705,0.7178546190261841,0.007727894466370344
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1548,1548,12384,1548,270336,52.694146394729614,4.599536299705505,1.4907515943050385,0.7178543210029602,0.007676921784877777
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1596,1596,12768,1596,278528,54.27096854150295,4.737677916884422,1.5400015711784363,0.7178682088851929,0.00782154593616724
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1644,1644,13152,1644,286720,55.85239174962044,4.878624647855759,1.592274695634842,0.717883288860321,0.008025680668652058
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1692,1692,13536,1692,294912,57.4450593739748,5.019710451364517,1.6373552531003952,0.717856228351593,0.007968218065798283
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1740,1740,13920,1740,303104,59.05691619217396,5.172261148691177,1.6820093989372253,0.717851996421814,0.007884332910180092
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1788,1788,14304,1788,311296,60.577542558312416,5.29434697329998,1.7246258109807968,0.717848002910614,0.008025440387427807
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1836,1836,14688,1836,319488,62.21619236469269,5.431225746870041,1.7681287080049515,0.7178632020950317,0.007884365506470203
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1884,1884,15072,1884,327680,63.788284972310066,5.572791084647179,1.8201776444911957,0.7178804278373718,0.007996753789484501
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1920,1920,15360,1920,335872,64.87512184679508,5.6783343106508255,1.864163339138031,0.7178918123245239,0.008007253520190716
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,1,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",12,12,96,12,8192,0.5987773388624191,0.05600850284099579,0.04524475336074829,0.7328140735626221,0.010932527482509613
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,1,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",60,60,480,60,16384,2.138621687889099,0.1911393702030182,0.095827117562294,0.7329196929931641,0.010645586997270584
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,1,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",108,108,864,108,24576,3.7586977779865265,0.33147290349006653,0.16541999578475952,0.73293536901474,0.010549845173954964
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,1,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",156,156,1248,156,32768,5.436173766851425,0.4765675216913223,0.2121688723564148,0.7329556941986084,0.010502258315682411
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,1,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",204,204,1632,204,40960,6.913207367062569,0.6091597527265549,0.26082269847393036,0.7329277992248535,0.01022607646882534
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,1,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",252,252,2016,252,49152,8.442956179380417,0.7390973418951035,0.3041541278362274,0.7329399585723877,0.009982858784496784
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,1,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",300,300,2400,300,57344,9.960488304495811,0.8695232272148132,0.3543814867734909,0.7329164147377014,0.009645928628742695
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,1,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",348,348,2784,348,65536,11.480233758687973,1.008715659379959,0.4006233513355255,0.7329260110855103,0.009297442622482777
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,1,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",396,396,3168,396,73728,13.04683244228363,1.145516574382782,0.4467121958732605,0.7329464554786682,0.009232744574546814
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,1,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",444,444,3552,444,81920,14.453680410981178,1.2696931958198547,0.49008600413799286,0.7329438328742981,0.009180493652820587
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,1,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",492,492,3936,492,90112,15.873878806829453,1.402195230126381,0.5417444854974747,0.7329390048980713,0.009109866805374622
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,1,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",540,540,4320,540,98304,17.304658442735672,1.5280168503522873,0.5907360911369324,0.7329175472259521,0.008877301588654518
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,1,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",588,588,4704,588,106496,18.77056959271431,1.6730983406305313,0.6337095499038696,0.7329129576683044,0.008955848403275013
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,1,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",636,636,5088,636,114688,20.245780795812607,1.8073961436748505,0.676782950758934,0.7329137325286865,0.009205375798046589
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,1,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",684,684,5472,684,122880,21.713148564100266,1.9684622883796692,0.724797323346138,0.7328857779502869,0.009005017578601837
