formal_config_id,method,epsilon,delta,formal_seed,worker_count,parameters,pilot_selection_status,confirmed_consecutive,hit,censored,first_hit_iteration,first_hit_depth,first_hit_total_work,first_hit_per_worker_work,first_hit_training_time,first_hit_stat_proxy,final_iteration,final_depth,final_total_work,final_per_worker_work,final_stat_proxy,end_to_end_time
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0.01,0.1,0,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",full-hit,2,True,False,12,12,96,12,0.6828680634498596,0.00999381672590971,1920,1920,15360,1920,0.008007253520190716,71.45611056685448
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0.009,0.1,0,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",full-hit,2,True,False,396,396,3168,396,13.60294882953167,0.008716229349374771,1920,1920,15360,1920,0.008007253520190716,71.45611056685448
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0.008,0.1,0,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",full-hit,2,True,False,1164,1164,9312,1164,39.54752993583679,0.007911672815680504,1920,1920,15360,1920,0.008007253520190716,71.45611056685448
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0.01,0.1,1,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",full-hit,2,True,False,252,252,2016,252,8.442956179380417,0.009982858784496784,1920,1920,15360,1920,0.008190380409359932,68.45276176929474
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0.009,0.1,1,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",full-hit,2,True,False,540,540,4320,540,17.304658442735672,0.008877301588654518,1920,1920,15360,1920,0.008190380409359932,68.45276176929474
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0.008,0.1,1,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",full-hit,2,False,True,,,,,,,1920,1920,15360,1920,0.008190380409359932,68.45276176929474
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0.01,0.1,2,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",full-hit,2,True,False,60,60,480,60,2.057800054550171,0.009990239515900612,1920,1920,15360,1920,0.00823715515434742,69.31804466247559
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0.009,0.1,2,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",full-hit,2,True,False,636,636,5088,636,20.426010355353355,0.008728708140552044,1920,1920,15360,1920,0.00823715515434742,69.31804466247559
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0.008,0.1,2,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",full-hit,2,False,True,,,,,,,1920,1920,15360,1920,0.00823715515434742,69.31804466247559
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0.01,0.1,3,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",full-hit,2,True,False,156,156,1248,156,5.440572157502174,0.009896690957248211,1920,1920,15360,1920,0.007863235659897327,72.02378329634666
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0.009,0.1,3,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",full-hit,2,True,False,396,396,3168,396,13.914621710777283,0.008939679712057114,1920,1920,15360,1920,0.007863235659897327,72.02378329634666
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0.008,0.1,3,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",full-hit,2,False,True,,,,,,,1920,1920,15360,1920,0.007863235659897327,72.02378329634666
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0.01,0.1,4,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",full-hit,2,True,False,588,588,4704,588,21.25102111697197,0.009986276738345623,1920,1920,15360,1920,0.009007055312395096,75.8701540529728
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0.009,0.1,4,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",full-hit,2,True,False,924,924,7392,924,34.31688591837883,0.008953411132097244,1920,1920,15360,1920,0.009007055312395096,75.8701540529728
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0.008,0.1,4,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",full-hit,2,False,True,,,,,,,1920,1920,15360,1920,0.009007055312395096,75.8701540529728
