formal_config_id,method,formal_seed,worker_count,rounds,checkpoint_count,partial_sha256,config_sha256,expected_config_sha256,final_depth,final_total_work,final_per_worker_work,final_eval_work,passed,errors
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,0,8,1920,41,73692baec2c8df7138329a16ee8c0b400fd6286ea4629b1d694719ff9e1b0671,3f150e4d1a3fb0e626a608b605d72a92b77297b471efbdd1312865e90014c955,3f150e4d1a3fb0e626a608b605d72a92b77297b471efbdd1312865e90014c955,1920,15360,1920,335872,True,
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,1,8,1920,41,9872d3e312d1a13a4108ab1db286222b46ed73edf950c7ee5a6382768cdd74d6,3f150e4d1a3fb0e626a608b605d72a92b77297b471efbdd1312865e90014c955,3f150e4d1a3fb0e626a608b605d72a92b77297b471efbdd1312865e90014c955,1920,15360,1920,335872,True,
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,2,8,1920,41,00c587f1a746629ef6e14016ca9f6f79594bd0da87c3636b67acf0a98a228362,3f150e4d1a3fb0e626a608b605d72a92b77297b471efbdd1312865e90014c955,3f150e4d1a3fb0e626a608b605d72a92b77297b471efbdd1312865e90014c955,1920,15360,1920,335872,True,
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,3,8,1920,41,9e3f4be5743cdc5866350fe40fec486b23fb9070286ade5eaf4294a92aae69dc,3f150e4d1a3fb0e626a608b605d72a92b77297b471efbdd1312865e90014c955,3f150e4d1a3fb0e626a608b605d72a92b77297b471efbdd1312865e90014c955,1920,15360,1920,335872,True,
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,4,8,1920,41,4a6df2d2590991cab62b29cc41be29b7a2e9e0db85ee3c3fa9ffb935d2246b54,3f150e4d1a3fb0e626a608b605d72a92b77297b471efbdd1312865e90014c955,3f150e4d1a3fb0e626a608b605d72a92b77297b471efbdd1312865e90014c955,1920,15360,1920,335872,True,
ME-DOL-FO__epoch_length-24__theory_multiplier-10p0__rounds-3840__frozen-4192f5a77b5c,ME-DOL-FO,0,8,3840,81,1a56f6309716d4e29e8dce6e928d1ea914fb7d2d6f11fbaee25d68bf7ec622bc,00cbf9e03d3f74835ec3725d42fed2ff0a04de2b98354d3114add902f2f181e3,00cbf9e03d3f74835ec3725d42fed2ff0a04de2b98354d3114add902f2f181e3,3840,30720,3840,663552,True,
ME-DOL-FO__epoch_length-24__theory_multiplier-10p0__rounds-3840__frozen-4192f5a77b5c,ME-DOL-FO,1,8,3840,81,9fd8deed3ee6e8159d3ee57bd6d4b55dc8775fb559f8cdd8c76eadb3f21ce5d6,00cbf9e03d3f74835ec3725d42fed2ff0a04de2b98354d3114add902f2f181e3,00cbf9e03d3f74835ec3725d42fed2ff0a04de2b98354d3114add902f2f181e3,3840,30720,3840,663552,True,
ME-DOL-FO__epoch_length-24__theory_multiplier-10p0__rounds-3840__frozen-4192f5a77b5c,ME-DOL-FO,2,8,3840,81,ade4eeae1a86bf2cd28fffa6b518f38187e9f9a1b5622ccacd86753841946d35,00cbf9e03d3f74835ec3725d42fed2ff0a04de2b98354d3114add902f2f181e3,00cbf9e03d3f74835ec3725d42fed2ff0a04de2b98354d3114add902f2f181e3,3840,30720,3840,663552,True,
ME-DOL-FO__epoch_length-24__theory_multiplier-10p0__rounds-3840__frozen-4192f5a77b5c,ME-DOL-FO,3,8,3840,81,402387d5aa791697ef8053f112be901ba0d63e8ee14435bb34fa89285d48f883,00cbf9e03d3f74835ec3725d42fed2ff0a04de2b98354d3114add902f2f181e3,00cbf9e03d3f74835ec3725d42fed2ff0a04de2b98354d3114add902f2f181e3,3840,30720,3840,663552,True,
ME-DOL-FO__epoch_length-24__theory_multiplier-10p0__rounds-3840__frozen-4192f5a77b5c,ME-DOL-FO,4,8,3840,81,2905b881332435b85123c26061a364f525b3e2dc942035b774109514527e57c2,00cbf9e03d3f74835ec3725d42fed2ff0a04de2b98354d3114add902f2f181e3,00cbf9e03d3f74835ec3725d42fed2ff0a04de2b98354d3114add902f2f181e3,3840,30720,3840,663552,True,
ME-DOL-FO__epoch_length-6__theory_multiplier-10p0__rounds-1920__frozen-753f0e310e01,ME-DOL-FO,0,8,1920,41,5b198223c7bff7d43ffd8875532d8bd4e679503fe0ede4a95de06ff35f186c3c,f59bf38a9ea3bcb189cf5c5a54edc350e7b02dacba6aafffd0f9725941f5913d,f59bf38a9ea3bcb189cf5c5a54edc350e7b02dacba6aafffd0f9725941f5913d,1920,15360,1920,335872,True,
ME-DOL-FO__epoch_length-6__theory_multiplier-10p0__rounds-1920__frozen-753f0e310e01,ME-DOL-FO,1,8,1920,41,ce3baa955c5dfa707e9a53d3b34d5460454fb69803bf9dc20ba2a0e4d5ceb091,f59bf38a9ea3bcb189cf5c5a54edc350e7b02dacba6aafffd0f9725941f5913d,f59bf38a9ea3bcb189cf5c5a54edc350e7b02dacba6aafffd0f9725941f5913d,1920,15360,1920,335872,True,
ME-DOL-FO__epoch_length-6__theory_multiplier-10p0__rounds-1920__frozen-753f0e310e01,ME-DOL-FO,2,8,1920,41,3d91db49fd1a2d56007f22c0d91704f89dbac6b4487963924eeefafdb8e2f9fd,f59bf38a9ea3bcb189cf5c5a54edc350e7b02dacba6aafffd0f9725941f5913d,f59bf38a9ea3bcb189cf5c5a54edc350e7b02dacba6aafffd0f9725941f5913d,1920,15360,1920,335872,True,
ME-DOL-FO__epoch_length-6__theory_multiplier-10p0__rounds-1920__frozen-753f0e310e01,ME-DOL-FO,3,8,1920,41,0e62cab0d18a394a58e0ee35c02b7a591d8888cc92a24edf673afc0ea291870f,f59bf38a9ea3bcb189cf5c5a54edc350e7b02dacba6aafffd0f9725941f5913d,f59bf38a9ea3bcb189cf5c5a54edc350e7b02dacba6aafffd0f9725941f5913d,1920,15360,1920,335872,True,
ME-DOL-FO__epoch_length-6__theory_multiplier-10p0__rounds-1920__frozen-753f0e310e01,ME-DOL-FO,4,8,1920,41,a7f49c9a2cfca36760ed92bf3de0b12e19bd94225a74ee73258c4aa1fc19b5e5,f59bf38a9ea3bcb189cf5c5a54edc350e7b02dacba6aafffd0f9725941f5913d,f59bf38a9ea3bcb189cf5c5a54edc350e7b02dacba6aafffd0f9725941f5913d,1920,15360,1920,335872,True,
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__frozen-be6f4a373a71,NOG-FO,0,8,960,21,191760164837075dcb84e899953e116fea551e4e18e614efb132f92c5e6f1778,7e5a6080ae2ca5c72120ddfa8e0ef6a686414de0eafb56f6a2bd505843f9db8d,7e5a6080ae2ca5c72120ddfa8e0ef6a686414de0eafb56f6a2bd505843f9db8d,962,246272,30784,172032,True,
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__frozen-be6f4a373a71,NOG-FO,1,8,960,21,c00f67d858ba3c9c680e455b16139b640724ee292206fdcb299e8b2dadc19559,7e5a6080ae2ca5c72120ddfa8e0ef6a686414de0eafb56f6a2bd505843f9db8d,7e5a6080ae2ca5c72120ddfa8e0ef6a686414de0eafb56f6a2bd505843f9db8d,962,246272,30784,172032,True,
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__frozen-be6f4a373a71,NOG-FO,2,8,960,21,5dabd59706899a2890b8bb8c8ca82b47d07a5258b29a8ddbf914cbcbc9145c12,7e5a6080ae2ca5c72120ddfa8e0ef6a686414de0eafb56f6a2bd505843f9db8d,7e5a6080ae2ca5c72120ddfa8e0ef6a686414de0eafb56f6a2bd505843f9db8d,962,246272,30784,172032,True,
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__frozen-be6f4a373a71,NOG-FO,3,8,960,21,7430144abe7d618dc91a7939851e08a67f6a6126a3e4aa5b36c417979cdc7751,7e5a6080ae2ca5c72120ddfa8e0ef6a686414de0eafb56f6a2bd505843f9db8d,7e5a6080ae2ca5c72120ddfa8e0ef6a686414de0eafb56f6a2bd505843f9db8d,962,246272,30784,172032,True,
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__frozen-be6f4a373a71,NOG-FO,4,8,960,21,37b38cb22245fda435cffbcc914feccc5d72b7dc50668a87d58c3fcfb2123013,7e5a6080ae2ca5c72120ddfa8e0ef6a686414de0eafb56f6a2bd505843f9db8d,7e5a6080ae2ca5c72120ddfa8e0ef6a686414de0eafb56f6a2bd505843f9db8d,962,246272,30784,172032,True,
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__frozen-bf7a41c99cdf,NOG-FO,0,8,960,21,8f670c5027bf4de54f0a176eaf4ffc905db12258beee404ab8fcc504c2cc0dac,1572a15c22bd671e5b0f93df341e99a4312f5132a0b6314e073af131362f2bd7,1572a15c22bd671e5b0f93df341e99a4312f5132a0b6314e073af131362f2bd7,962,492544,61568,172032,True,
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__frozen-bf7a41c99cdf,NOG-FO,1,8,960,21,2754365ef6794a230be1e909571d44457319c36b14af11f35dc9d0019cf0bbdb,1572a15c22bd671e5b0f93df341e99a4312f5132a0b6314e073af131362f2bd7,1572a15c22bd671e5b0f93df341e99a4312f5132a0b6314e073af131362f2bd7,962,492544,61568,172032,True,
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__frozen-bf7a41c99cdf,NOG-FO,2,8,960,21,0bac16d4664b1fe9b5c1f6c68287738836a614f149ed76fc195a8c928331a826,1572a15c22bd671e5b0f93df341e99a4312f5132a0b6314e073af131362f2bd7,1572a15c22bd671e5b0f93df341e99a4312f5132a0b6314e073af131362f2bd7,962,492544,61568,172032,True,
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__frozen-bf7a41c99cdf,NOG-FO,3,8,960,21,b7ea89e15183ffa937673b4165f4bd450713910140b57d071d03882f572ff038,1572a15c22bd671e5b0f93df341e99a4312f5132a0b6314e073af131362f2bd7,1572a15c22bd671e5b0f93df341e99a4312f5132a0b6314e073af131362f2bd7,962,492544,61568,172032,True,
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__frozen-bf7a41c99cdf,NOG-FO,4,8,960,21,512788dc864d3f8803b70edf00b49a749d88e30e55412e134657abcbce5203cc,1572a15c22bd671e5b0f93df341e99a4312f5132a0b6314e073af131362f2bd7,1572a15c22bd671e5b0f93df341e99a4312f5132a0b6314e073af131362f2bd7,962,492544,61568,172032,True,
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__frozen-cbb2f9ab5aca,NOG-FO,0,8,960,21,9c7249977da62101db8379b0a841cb64b724bfedb7044b0ad3476f1ad1d0e742,682a22c70e5648fe4245b7819e7d8709565e00eee7115b95c00084a44d582d26,682a22c70e5648fe4245b7819e7d8709565e00eee7115b95c00084a44d582d26,962,492544,61568,172032,True,
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__frozen-cbb2f9ab5aca,NOG-FO,1,8,960,21,e3977adb9d1a9d9c0d60db1220e96ae9672e879098cffb103ac971ae862a9b74,682a22c70e5648fe4245b7819e7d8709565e00eee7115b95c00084a44d582d26,682a22c70e5648fe4245b7819e7d8709565e00eee7115b95c00084a44d582d26,962,492544,61568,172032,True,
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__frozen-cbb2f9ab5aca,NOG-FO,2,8,960,21,cb70f78de84611e958e636bdcd048248c742178739f8bb76ee2f653745e317e9,682a22c70e5648fe4245b7819e7d8709565e00eee7115b95c00084a44d582d26,682a22c70e5648fe4245b7819e7d8709565e00eee7115b95c00084a44d582d26,962,492544,61568,172032,True,
