candidate_id,method,epsilon,num_seeds,hit_count,hit_rate,full_hit,median_final_stat_proxy,parameters,median_depth,median_total_work,median_per_worker_work,median_training_time,pareto_frontier,selected,selection_status
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-1,NOG-FO,0.011,3,3,1.0,True,0.008607367984950542,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 1}",6,384,48,0.4120190888643265,True,False,full-hit
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-1,NOG-FO,0.01,3,3,1.0,True,0.008607367984950542,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 1}",54,3456,432,1.9766825586557388,False,False,full-hit
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-1,NOG-FO,0.009,3,3,1.0,True,0.008607367984950542,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 1}",198,12672,1584,6.542888253927231,False,False,full-hit
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-1,NOG-FO,0.008,3,2,0.6666666666666666,False,0.008607367984950542,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 1}",270.0,17280.0,2160.0,8.809023566544056,False,False,full-hit
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-1,NOG-FO,0.0075,3,1,0.3333333333333333,False,0.008607367984950542,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 1}",486,31104,3888,15.784252852201462,False,False,full-hit
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,0.011,3,3,1.0,True,0.008035599254071712,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 2}",6,768,96,0.508096918463707,False,False,full-hit
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,0.01,3,3,1.0,True,0.008035599254071712,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 2}",54,6912,864,3.778502970933914,False,False,full-hit
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,0.009,3,3,1.0,True,0.008035599254071712,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 2}",54,6912,864,3.778502970933914,True,False,full-hit
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,0.008,3,3,1.0,True,0.008035599254071712,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 2}",198,25344,3168,10.002032786607742,False,False,full-hit
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,0.0075,3,1,0.3333333333333333,False,0.008035599254071712,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 2}",390,49920,6240,18.34467911720276,False,False,full-hit
