candidate_id,method,epsilon,formal_seed,hit,censored,first_hit_iteration,first_hit_depth,first_hit_total_work,first_hit_per_worker_work,first_hit_training_time,first_hit_stat_proxy,final_iteration,final_depth,final_total_work,final_stat_proxy,parameters
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-1,NOG-FO,0.011,100,True,False,4,6,384,48,0.4120190888643265,0.010293135419487953,960,962,61568,0.007626395206898451,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 1}"
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-1,NOG-FO,0.011,101,True,False,4,6,384,48,0.413458913564682,0.010716184973716736,960,962,61568,0.009273281320929527,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 1}"
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-1,NOG-FO,0.011,102,True,False,4,6,384,48,0.40133148431777954,0.010152802802622318,960,962,61568,0.008607367984950542,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 1}"
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-1,NOG-FO,0.01,100,True,False,52,54,3456,432,1.8857802003622055,0.009307543747127056,960,962,61568,0.007626395206898451,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 1}"
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-1,NOG-FO,0.01,101,True,False,52,54,3456,432,1.9766825586557388,0.009090318344533443,960,962,61568,0.009273281320929527,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 1}"
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-1,NOG-FO,0.01,102,True,False,52,54,3456,432,1.9834153652191162,0.009128840640187263,960,962,61568,0.008607367984950542,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 1}"
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-1,NOG-FO,0.009,100,True,False,196,198,12672,1584,6.542888253927231,0.007810691371560097,960,962,61568,0.007626395206898451,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 1}"
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-1,NOG-FO,0.009,101,True,False,244,246,15744,1968,7.911612585186958,0.008854711428284645,960,962,61568,0.009273281320929527,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 1}"
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-1,NOG-FO,0.009,102,True,False,100,102,6528,816,3.4067753553390503,0.008409657515585423,960,962,61568,0.008607367984950542,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 1}"
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-1,NOG-FO,0.008,100,True,False,196,198,12672,1584,6.542888253927231,0.007810691371560097,960,962,61568,0.007626395206898451,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 1}"
