candidate_id,method,epsilon,num_seeds,hit_count,hit_rate,full_hit,median_final_stat_proxy,parameters,median_depth,median_total_work,median_per_worker_work,median_training_time,pareto_frontier,selected,selection_status
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,0.0075,3,3,1.0,True,0.0075655714608728886,"{""M"": 8, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 2}",202,25856,3232,33.30201707780361,True,False,full-hit
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-4,NOG-FO,0.0075,3,3,1.0,True,0.007483971770852804,"{""M"": 8, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 4}",106,27136,3392,6.539225772023201,True,False,full-hit
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8,NOG-FO,0.0075,3,3,1.0,True,0.007522081024944782,"{""M"": 8, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 8}",58,29696,3712,2.344397246837616,True,True,full-hit
NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-2,NOG-FO,0.0075,3,3,1.0,True,0.007644681725651026,"{""M"": 16, ""data_B_total"": 64, ""eta"": 0.1, ""smooth_B"": 2}",210,26880,3360,12.422230795025826,True,False,full-hit
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-1,NOG-FO,0.008,3,3,1.0,True,0.008122613653540611,"{""M"": 8, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 1}",202,12928,1616,14.332512393593788,True,False,full-hit
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,0.008,3,3,1.0,True,0.0075655714608728886,"{""M"": 8, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 2}",106,13568,1696,18.55462971329689,True,False,full-hit
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-4,NOG-FO,0.008,3,3,1.0,True,0.007483971770852804,"{""M"": 8, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 4}",58,14848,1856,3.826217070221901,True,False,full-hit
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8,NOG-FO,0.008,3,3,1.0,True,0.007522081024944782,"{""M"": 8, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 8}",58,29696,3712,2.344397246837616,True,True,full-hit
NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-2,NOG-FO,0.008,3,3,1.0,True,0.007644681725651026,"{""M"": 16, ""data_B_total"": 64, ""eta"": 0.1, ""smooth_B"": 2}",114,14592,1824,7.852985754609108,True,False,full-hit
NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-4,NOG-FO,0.008,3,3,1.0,True,0.007879897952079773,"{""M"": 16, ""data_B_total"": 64, ""eta"": 0.1, ""smooth_B"": 4}",66,16896,2112,2.4073725789785385,True,False,full-hit
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,0.009,3,3,1.0,True,0.008035599254071712,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 2}",54,6912,864,3.778502970933914,True,False,full-hit
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4,NOG-FO,0.009,3,3,1.0,True,0.008044366724789143,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 4}",54,13824,1728,2.0302404165267944,True,True,full-hit
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-1,NOG-FO,0.009,3,3,1.0,True,0.008122613653540611,"{""M"": 8, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 1}",58,3712,464,4.217231050133705,True,False,full-hit
NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-1,NOG-FO,0.009,3,3,1.0,True,0.008062263950705528,"{""M"": 16, ""data_B_total"": 64, ""eta"": 0.1, ""smooth_B"": 1}",114,7296,912,3.523502290248871,True,False,full-hit
NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-2,NOG-FO,0.009,3,3,1.0,True,0.007644681725651026,"{""M"": 16, ""data_B_total"": 64, ""eta"": 0.1, ""smooth_B"": 2}",66,8448,1056,3.4474454075098038,True,False,full-hit
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8,NOG-FO,0.01,3,3,1.0,True,0.007974649779498577,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 8}",6,3072,384,0.44742272794246674,True,True,full-hit
NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-1,NOG-FO,0.01,3,3,1.0,True,0.008062263950705528,"{""M"": 16, ""data_B_total"": 64, ""eta"": 0.1, ""smooth_B"": 1}",18,1152,144,0.7252599447965622,True,False,full-hit
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-1,NOG-FO,0.011,3,3,1.0,True,0.008607367984950542,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 1}",6,384,48,0.4120190888643265,True,False,full-hit
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4,NOG-FO,0.011,3,3,1.0,True,0.008044366724789143,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 4}",6,1536,192,0.39929643273353577,True,True,full-hit
