candidate_id,formal_seed,smooth_B,rounds,expected_final_total_work,observed_final_total_work,passed
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-1,100,1,960,61568,61568,True
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-1,101,1,960,61568,61568,True
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-1,102,1,960,61568,61568,True
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-2,100,2,960,123136,123136,True
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-2,101,2,960,123136,123136,True
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-2,102,2,960,123136,123136,True
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4,100,4,960,246272,246272,True
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4,101,4,960,246272,246272,True
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4,102,4,960,246272,246272,True
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8,100,8,960,492544,492544,True
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8,101,8,960,492544,492544,True
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8,102,8,960,492544,492544,True
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-1,100,1,960,61568,61568,True
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-1,101,1,960,61568,61568,True
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-1,102,1,960,61568,61568,True
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-2,100,2,960,123136,123136,True
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-2,101,2,960,123136,123136,True
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-2,102,2,960,123136,123136,True
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-4,100,4,960,246272,246272,True
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-4,101,4,960,246272,246272,True
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-4,102,4,960,246272,246272,True
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8,100,8,960,492544,492544,True
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8,101,8,960,492544,492544,True
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8,102,8,960,492544,492544,True
NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-1,100,1,960,61568,61568,True
NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-1,101,1,960,61568,61568,True
NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-1,102,1,960,61568,61568,True
NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-2,100,2,960,123136,123136,True
NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-2,101,2,960,123136,123136,True
NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-2,102,2,960,123136,123136,True
NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-4,100,4,960,246272,246272,True
NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-4,101,4,960,246272,246272,True
NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-4,102,4,960,246272,246272,True
NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-8,100,8,960,492544,492544,True
NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-8,101,8,960,492544,492544,True
NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-8,102,8,960,492544,492544,True
