candidate_id,status,completed_tasks,failed_tasks,output_root
NOG-FO__M-4__data_B_total-64__eta-0p03__smooth_B-2,complete,3,0,coarse/NOG-FO__M-4__data_B_total-64__eta-0p03__smooth_B-2/rounds_960
NOG-FO__M-4__data_B_total-64__eta-0p1__smooth_B-2,complete,3,0,coarse/NOG-FO__M-4__data_B_total-64__eta-0p1__smooth_B-2/rounds_960
NOG-FO__M-4__data_B_total-64__eta-0p3__smooth_B-2,complete,3,0,coarse/NOG-FO__M-4__data_B_total-64__eta-0p3__smooth_B-2/rounds_960
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-2,complete,3,0,coarse/NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-2/rounds_960
NOG-FO__M-8__data_B_total-64__eta-0p03__smooth_B-2,complete,3,0,coarse/NOG-FO__M-8__data_B_total-64__eta-0p03__smooth_B-2/rounds_960
NOG-FO__M-8__data_B_total-64__eta-0p1__smooth_B-2,complete,3,0,coarse/NOG-FO__M-8__data_B_total-64__eta-0p1__smooth_B-2/rounds_960
NOG-FO__M-8__data_B_total-64__eta-0p3__smooth_B-2,complete,3,0,coarse/NOG-FO__M-8__data_B_total-64__eta-0p3__smooth_B-2/rounds_960
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-2,complete,3,0,coarse/NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-2/rounds_960
NOG-FO__M-12__data_B_total-64__eta-0p03__smooth_B-2,complete,3,0,coarse/NOG-FO__M-12__data_B_total-64__eta-0p03__smooth_B-2/rounds_960
NOG-FO__M-12__data_B_total-64__eta-0p1__smooth_B-2,complete,3,0,coarse/NOG-FO__M-12__data_B_total-64__eta-0p1__smooth_B-2/rounds_960
NOG-FO__M-12__data_B_total-64__eta-0p3__smooth_B-2,complete,3,0,coarse/NOG-FO__M-12__data_B_total-64__eta-0p3__smooth_B-2/rounds_960
NOG-FO__M-12__data_B_total-64__eta-1p0__smooth_B-2,complete,3,0,coarse/NOG-FO__M-12__data_B_total-64__eta-1p0__smooth_B-2/rounds_960
NOG-FO__M-16__data_B_total-64__eta-0p03__smooth_B-2,complete,3,0,coarse/NOG-FO__M-16__data_B_total-64__eta-0p03__smooth_B-2/rounds_960
NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-2,complete,3,0,coarse/NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-2/rounds_960
NOG-FO__M-16__data_B_total-64__eta-0p3__smooth_B-2,complete,3,0,coarse/NOG-FO__M-16__data_B_total-64__eta-0p3__smooth_B-2/rounds_960
NOG-FO__M-16__data_B_total-64__eta-1p0__smooth_B-2,complete,3,0,coarse/NOG-FO__M-16__data_B_total-64__eta-1p0__smooth_B-2/rounds_960
NOG-FO__M-24__data_B_total-64__eta-0p03__smooth_B-2,complete,3,0,coarse/NOG-FO__M-24__data_B_total-64__eta-0p03__smooth_B-2/rounds_960
NOG-FO__M-24__data_B_total-64__eta-0p1__smooth_B-2,complete,3,0,coarse/NOG-FO__M-24__data_B_total-64__eta-0p1__smooth_B-2/rounds_960
NOG-FO__M-24__data_B_total-64__eta-0p3__smooth_B-2,complete,3,0,coarse/NOG-FO__M-24__data_B_total-64__eta-0p3__smooth_B-2/rounds_960
NOG-FO__M-24__data_B_total-64__eta-1p0__smooth_B-2,complete,3,0,coarse/NOG-FO__M-24__data_B_total-64__eta-1p0__smooth_B-2/rounds_960
ME-DOL-FO__epoch_length-6__theory_multiplier-0p3,complete,3,0,coarse/ME-DOL-FO__epoch_length-6__theory_multiplier-0p3/rounds_960
ME-DOL-FO__epoch_length-6__theory_multiplier-1p0,complete,3,0,coarse/ME-DOL-FO__epoch_length-6__theory_multiplier-1p0/rounds_960
ME-DOL-FO__epoch_length-6__theory_multiplier-3p0,complete,3,0,coarse/ME-DOL-FO__epoch_length-6__theory_multiplier-3p0/rounds_960
ME-DOL-FO__epoch_length-6__theory_multiplier-10p0,complete,3,0,coarse/ME-DOL-FO__epoch_length-6__theory_multiplier-10p0/rounds_960
ME-DOL-FO__epoch_length-12__theory_multiplier-0p3,complete,3,0,coarse/ME-DOL-FO__epoch_length-12__theory_multiplier-0p3/rounds_960
ME-DOL-FO__epoch_length-12__theory_multiplier-1p0,complete,3,0,coarse/ME-DOL-FO__epoch_length-12__theory_multiplier-1p0/rounds_960
ME-DOL-FO__epoch_length-12__theory_multiplier-3p0,complete,3,0,coarse/ME-DOL-FO__epoch_length-12__theory_multiplier-3p0/rounds_960
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0,complete,3,0,coarse/ME-DOL-FO__epoch_length-12__theory_multiplier-10p0/rounds_960
ME-DOL-FO__epoch_length-24__theory_multiplier-0p3,complete,3,0,coarse/ME-DOL-FO__epoch_length-24__theory_multiplier-0p3/rounds_960
ME-DOL-FO__epoch_length-24__theory_multiplier-1p0,complete,3,0,coarse/ME-DOL-FO__epoch_length-24__theory_multiplier-1p0/rounds_960
ME-DOL-FO__epoch_length-24__theory_multiplier-3p0,complete,3,0,coarse/ME-DOL-FO__epoch_length-24__theory_multiplier-3p0/rounds_960
ME-DOL-FO__epoch_length-24__theory_multiplier-10p0,complete,3,0,coarse/ME-DOL-FO__epoch_length-24__theory_multiplier-10p0/rounds_960
