candidate_id,method,status,completed_tasks,failed_tasks,output_root
NOG-FO__M-4__data_B_total-64__eta-0p03__smooth_B-2,NOG-FO,complete,3,0,extension/rounds_1920/NOG-FO__M-4__data_B_total-64__eta-0p03__smooth_B-2
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,complete,3,0,extension/rounds_1920/NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-2
NOG-FO__M-8__data_B_total-64__eta-0p3__smooth_B-2,NOG-FO,complete,3,0,extension/rounds_1920/NOG-FO__M-8__data_B_total-64__eta-0p3__smooth_B-2
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,complete,3,0,extension/rounds_1920/NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-2
NOG-FO__M-12__data_B_total-64__eta-0p3__smooth_B-2,NOG-FO,complete,3,0,extension/rounds_1920/NOG-FO__M-12__data_B_total-64__eta-0p3__smooth_B-2
NOG-FO__M-16__data_B_total-64__eta-0p03__smooth_B-2,NOG-FO,complete,3,0,extension/rounds_1920/NOG-FO__M-16__data_B_total-64__eta-0p03__smooth_B-2
NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-2,NOG-FO,complete,3,0,extension/rounds_1920/NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-2
NOG-FO__M-16__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,complete,3,0,extension/rounds_1920/NOG-FO__M-16__data_B_total-64__eta-1p0__smooth_B-2
ME-DOL-FO__epoch_length-6__theory_multiplier-10p0,ME-DOL-FO,complete,3,0,extension/rounds_1920/ME-DOL-FO__epoch_length-6__theory_multiplier-10p0
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0,ME-DOL-FO,complete,3,0,extension/rounds_1920/ME-DOL-FO__epoch_length-12__theory_multiplier-10p0
ME-DOL-FO__epoch_length-24__theory_multiplier-10p0,ME-DOL-FO,complete,3,0,extension/rounds_1920/ME-DOL-FO__epoch_length-24__theory_multiplier-10p0
