candidate_id,method,epsilon,num_seeds,hit_count,hit_rate,full_hit,median_final_stat_proxy,parameters,median_depth,median_total_work,median_per_worker_work,median_training_time,pareto_frontier,selected,selection_status
ME-DOL-FO__epoch_length-6__theory_multiplier-10p0,ME-DOL-FO,0.009,3,3,1.0,True,0.008329245261847973,"{""epoch_length"": 6, ""theory_multiplier"": 10.0}",486,3888,486,15.678211882710457,True,True,full-hit
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0,ME-DOL-FO,0.009,3,3,1.0,True,0.008219794370234013,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",444,3552,444,19.92496831715107,True,False,full-hit
ME-DOL-FO__epoch_length-6__theory_multiplier-10p0,ME-DOL-FO,0.01,3,3,1.0,True,0.008329245261847973,"{""epoch_length"": 6, ""theory_multiplier"": 10.0}",150,1200,150,4.790197253227234,True,True,full-hit
ME-DOL-FO__epoch_length-6__theory_multiplier-10p0,ME-DOL-FO,0.011,3,3,1.0,True,0.008329245261847973,"{""epoch_length"": 6, ""theory_multiplier"": 10.0}",6,48,6,0.42397241294384,True,True,full-hit
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,0.0075,3,3,1.0,True,0.0075655714608728886,"{""M"": 8, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 2}",202,25856,3232,33.30201707780361,True,False,full-hit
NOG-FO__M-12__data_B_total-64__eta-0p3__smooth_B-2,NOG-FO,0.0075,3,3,1.0,True,0.007706190459430218,"{""M"": 12, ""data_B_total"": 64, ""eta"": 0.3, ""smooth_B"": 2}",206,26368,3296,18.754676952958107,True,False,full-hit
NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-2,NOG-FO,0.0075,3,3,1.0,True,0.007644681725651026,"{""M"": 16, ""data_B_total"": 64, ""eta"": 0.1, ""smooth_B"": 2}",210,26880,3360,12.422230795025826,True,True,full-hit
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,0.008,3,3,1.0,True,0.0075655714608728886,"{""M"": 8, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 2}",106,13568,1696,18.55462971329689,True,False,full-hit
NOG-FO__M-12__data_B_total-64__eta-0p3__smooth_B-2,NOG-FO,0.008,3,3,1.0,True,0.007706190459430218,"{""M"": 12, ""data_B_total"": 64, ""eta"": 0.3, ""smooth_B"": 2}",110,14080,1760,10.76615659892559,True,False,full-hit
NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-2,NOG-FO,0.008,3,3,1.0,True,0.007644681725651026,"{""M"": 16, ""data_B_total"": 64, ""eta"": 0.1, ""smooth_B"": 2}",114,14592,1824,7.852985754609108,True,False,full-hit
NOG-FO__M-16__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,0.008,3,3,1.0,True,0.007423568516969681,"{""M"": 16, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 2}",162,20736,2592,7.119800612330437,True,True,full-hit
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,0.009,3,3,1.0,True,0.008035599254071712,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 2}",54,6912,864,3.778502970933914,True,False,full-hit
NOG-FO__M-8__data_B_total-64__eta-0p3__smooth_B-2,NOG-FO,0.009,3,3,1.0,True,0.007719893474131823,"{""M"": 8, ""data_B_total"": 64, ""eta"": 0.3, ""smooth_B"": 2}",58,7424,928,2.531896010041237,True,True,full-hit
NOG-FO__M-16__data_B_total-64__eta-0p03__smooth_B-2,NOG-FO,0.01,3,3,1.0,True,0.008558463305234909,"{""M"": 16, ""data_B_total"": 64, ""eta"": 0.03, ""smooth_B"": 2}",18,2304,288,0.9485544860363007,True,True,full-hit
NOG-FO__M-4__data_B_total-64__eta-0p03__smooth_B-2,NOG-FO,0.011,3,3,1.0,True,0.012080134823918343,"{""M"": 4, ""data_B_total"": 64, ""eta"": 0.03, ""smooth_B"": 2}",6,768,96,0.45380716025829315,True,True,full-hit
