candidate_id,method,epsilon,formal_seed,hit,censored,first_hit_iteration,first_hit_depth,first_hit_total_work,first_hit_per_worker_work,first_hit_training_time,first_hit_stat_proxy,final_iteration,final_depth,final_total_work,final_stat_proxy,parameters
NOG-FO__M-4__data_B_total-64__eta-0p03__smooth_B-2,NOG-FO,0.011,100,True,False,4,6,768,96,0.4496806263923645,0.010067380964756012,960,962,123136,0.012080134823918343,"{""M"": 4, ""data_B_total"": 64, ""eta"": 0.03, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-0p03__smooth_B-2,NOG-FO,0.011,101,True,False,4,6,768,96,0.4732659310102463,0.010467168875038624,960,962,123136,0.01203903928399086,"{""M"": 4, ""data_B_total"": 64, ""eta"": 0.03, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-0p03__smooth_B-2,NOG-FO,0.011,102,True,False,4,6,768,96,0.45380716025829315,0.010237559676170349,960,962,123136,0.01289992593228817,"{""M"": 4, ""data_B_total"": 64, ""eta"": 0.03, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-0p03__smooth_B-2,NOG-FO,0.01,100,False,True,,,,,,,960,962,123136,0.012080134823918343,"{""M"": 4, ""data_B_total"": 64, ""eta"": 0.03, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-0p03__smooth_B-2,NOG-FO,0.01,101,True,False,52,54,6912,864,2.3532131612300873,0.009736396372318268,960,962,123136,0.01203903928399086,"{""M"": 4, ""data_B_total"": 64, ""eta"": 0.03, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-0p03__smooth_B-2,NOG-FO,0.01,102,True,False,52,54,6912,864,2.926126778125763,0.00853658840060234,960,962,123136,0.01289992593228817,"{""M"": 4, ""data_B_total"": 64, ""eta"": 0.03, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-0p03__smooth_B-2,NOG-FO,0.009,100,False,True,,,,,,,960,962,123136,0.012080134823918343,"{""M"": 4, ""data_B_total"": 64, ""eta"": 0.03, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-0p03__smooth_B-2,NOG-FO,0.009,101,False,True,,,,,,,960,962,123136,0.01203903928399086,"{""M"": 4, ""data_B_total"": 64, ""eta"": 0.03, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-0p03__smooth_B-2,NOG-FO,0.009,102,False,True,,,,,,,960,962,123136,0.01289992593228817,"{""M"": 4, ""data_B_total"": 64, ""eta"": 0.03, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-0p03__smooth_B-2,NOG-FO,0.008,100,False,True,,,,,,,960,962,123136,0.012080134823918343,"{""M"": 4, ""data_B_total"": 64, ""eta"": 0.03, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-0p03__smooth_B-2,NOG-FO,0.008,101,False,True,,,,,,,960,962,123136,0.01203903928399086,"{""M"": 4, ""data_B_total"": 64, ""eta"": 0.03, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-0p03__smooth_B-2,NOG-FO,0.008,102,False,True,,,,,,,960,962,123136,0.01289992593228817,"{""M"": 4, ""data_B_total"": 64, ""eta"": 0.03, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-0p03__smooth_B-2,NOG-FO,0.0075,100,False,True,,,,,,,960,962,123136,0.012080134823918343,"{""M"": 4, ""data_B_total"": 64, ""eta"": 0.03, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-0p03__smooth_B-2,NOG-FO,0.0075,101,False,True,,,,,,,960,962,123136,0.01203903928399086,"{""M"": 4, ""data_B_total"": 64, ""eta"": 0.03, ""smooth_B"": 2}"
