candidate_id,method,formal_seed,prefix_rounds,coarse_checkpoint_count,extension_prefix_checkpoint_count,shared_checkpoint_count,coarse_only_iterations,expected_boundary_difference,passed,max_abs_difference,errors
NOG-FO__M-4__data_B_total-64__eta-0p03__smooth_B-2,NOG-FO,100,960,21,20,20,[960],True,True,0.0,
NOG-FO__M-4__data_B_total-64__eta-0p03__smooth_B-2,NOG-FO,101,960,21,20,20,[960],True,True,0.0,
NOG-FO__M-4__data_B_total-64__eta-0p03__smooth_B-2,NOG-FO,102,960,21,20,20,[960],True,True,0.0,
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,100,960,21,20,20,[960],True,True,0.0,
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,101,960,21,20,20,[960],True,True,0.0,
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,102,960,21,20,20,[960],True,True,0.0,
NOG-FO__M-8__data_B_total-64__eta-0p3__smooth_B-2,NOG-FO,100,960,21,20,20,[960],True,True,0.0,
NOG-FO__M-8__data_B_total-64__eta-0p3__smooth_B-2,NOG-FO,101,960,21,20,20,[960],True,True,0.0,
NOG-FO__M-8__data_B_total-64__eta-0p3__smooth_B-2,NOG-FO,102,960,21,20,20,[960],True,True,0.0,
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,100,960,21,20,20,[960],True,True,0.0,
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,101,960,21,20,20,[960],True,True,0.0,
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,102,960,21,20,20,[960],True,True,0.0,
NOG-FO__M-12__data_B_total-64__eta-0p3__smooth_B-2,NOG-FO,100,960,21,20,20,[960],True,True,0.0,
NOG-FO__M-12__data_B_total-64__eta-0p3__smooth_B-2,NOG-FO,101,960,21,20,20,[960],True,True,0.0,
NOG-FO__M-12__data_B_total-64__eta-0p3__smooth_B-2,NOG-FO,102,960,21,20,20,[960],True,True,0.0,
NOG-FO__M-16__data_B_total-64__eta-0p03__smooth_B-2,NOG-FO,100,960,21,20,20,[960],True,True,0.0,
NOG-FO__M-16__data_B_total-64__eta-0p03__smooth_B-2,NOG-FO,101,960,21,20,20,[960],True,True,0.0,
NOG-FO__M-16__data_B_total-64__eta-0p03__smooth_B-2,NOG-FO,102,960,21,20,20,[960],True,True,0.0,
NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-2,NOG-FO,100,960,21,20,20,[960],True,True,0.0,
NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-2,NOG-FO,101,960,21,20,20,[960],True,True,0.0,
NOG-FO__M-16__data_B_total-64__eta-0p1__smooth_B-2,NOG-FO,102,960,21,20,20,[960],True,True,0.0,
NOG-FO__M-16__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,100,960,21,20,20,[960],True,True,0.0,
NOG-FO__M-16__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,101,960,21,20,20,[960],True,True,0.0,
NOG-FO__M-16__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,102,960,21,20,20,[960],True,True,0.0,
ME-DOL-FO__epoch_length-6__theory_multiplier-10p0,ME-DOL-FO,100,960,21,20,20,[960],True,True,0.0,
ME-DOL-FO__epoch_length-6__theory_multiplier-10p0,ME-DOL-FO,101,960,21,20,20,[960],True,True,0.0,
ME-DOL-FO__epoch_length-6__theory_multiplier-10p0,ME-DOL-FO,102,960,21,20,20,[960],True,True,0.0,
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0,ME-DOL-FO,100,960,21,20,20,[960],True,True,0.0,
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0,ME-DOL-FO,101,960,21,20,20,[960],True,True,0.0,
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0,ME-DOL-FO,102,960,21,20,20,[960],True,True,0.0,
ME-DOL-FO__epoch_length-24__theory_multiplier-10p0,ME-DOL-FO,100,960,21,20,20,[960],True,True,0.0,
ME-DOL-FO__epoch_length-24__theory_multiplier-10p0,ME-DOL-FO,101,960,21,20,20,[960],True,True,0.0,
ME-DOL-FO__epoch_length-24__theory_multiplier-10p0,ME-DOL-FO,102,960,21,20,20,[960],True,True,0.0,
