method,formal_seed,rounds,worker_count,checkpoint_count,depth,total_work,per_worker_work,training_time,communication_time,evaluation_time,end_to_end_time,non_training_overhead,training_seconds_per_round,total_work_per_second,estimated_960_checkpoints,estimated_960_end_to_end,unique_child_pids,timing_invariants,training_speedup_vs_m1,training_efficiency_vs_m1,end_to_end_speedup_vs_m1
NOG-FO,0,12,1,1,14,1792,1792,0.510315865278244,0.0026744604110717773,0.0549168735742569,4.140614449977875,3.575381711125374,0.04252632210652033,3511.550633494281,21,45.55390527844429,1,True,1.0,1.0,1.0
NOG-FO,0,12,2,1,14,1792,896,0.5352393090724945,0.013563677668571472,0.04643814265727997,4.5163234770298,3.934646025300026,0.04460327575604121,3348.035111818153,21,47.728991746902466,2,True,0.9534349526057049,0.47671747630285244,0.9168108686273699
NOG-FO,0,12,4,1,14,1792,448,0.954295739531517,0.05155658721923828,0.04127863049507141,4.901932418346405,3.9063580483198166,0.07952464496095975,1877.8245838965277,21,81.11686845123768,4,True,0.5347565163905775,0.13368912909764438,0.8446902357284335
NOG-FO,0,12,8,1,14,1792,224,1.3402074873447418,0.08629989624023438,0.04136967658996582,7.077880144119263,5.696302980184555,0.11168395727872849,1337.1063935408708,21,113.78166517615318,8,True,0.3807737757750456,0.0475967219718807,0.5850077093235538
NOG-FO,0,12,16,1,14,1792,112,4.940641835331917,0.16074058413505554,0.054999157786369324,11.926635071635246,6.93099407851696,0.4117201529443264,362.7059114435102,21,403.33732321858406,16,True,0.10328938674097604,0.006455586671311003,0.3471737355178555
NOG-FO,0,12,32,1,14,1792,56,6.500420957803726,0.3553786277770996,0.05130520462989807,17.22787457704544,10.676148414611816,0.5417017464836439,275.67445425956794,21,531.7872343361378,32,True,0.07850504891773387,0.0024532827786791834,0.2403438933491461
NOG-FO,0,12,64,1,14,1792,28,6.562992617487907,0.7003785967826843,0.06786537170410156,24.164709702134132,17.533851712942123,0.5469160514573256,273.046170313371,21,543.9984339177608,64,True,0.07775658072788992,0.00121494657387328,0.17134964586858628
ME-DOL-FO,0,12,1,1,12,12,12,0.4263765215873718,0.0019174367189407349,0.05192174017429352,3.809074282646179,3.330776020884514,0.035531376798947654,28.144138789173443,21,38.531254291534424,1,True,1.0,1.0,1.0
ME-DOL-FO,0,12,2,1,12,24,12,0.4396038353443146,0.017358779907226562,0.04830949008464813,3.755214586853981,3.2673012614250183,0.03663365294535955,54.59461012482359,21,39.450107380747795,2,True,0.9699108317683748,0.4849554158841874,1.0143426412915915
ME-DOL-FO,0,12,4,1,12,48,12,0.6565491706132889,0.03520470857620239,0.040291815996170044,5.119340598583221,4.4224996119737625,0.05471243088444074,73.1095280421461,21,57.792561396956444,4,True,0.6494205471146806,0.16235513677867014,0.7440556472644819
ME-DOL-FO,0,12,8,1,12,96,12,2.009063497185707,0.06229618191719055,0.07146380841732025,8.220742389559746,6.1402150839567184,0.16742195809880892,47.7834573842373,21,168.366034835577,8,True,0.21222650363447415,0.02652831295430927,0.4633491845558453
ME-DOL-FO,0,12,16,1,12,192,12,2.8955643326044083,0.1646888107061386,0.0569901317358017,12.180112197995186,9.227557733654976,0.241297027717034,66.30831780805438,21,242.06949710845947,16,True,0.14725161405889695,0.009203225878681059,0.3127289979539879
ME-DOL-FO,0,12,32,1,12,384,12,3.4638546258211136,0.23117053508758545,0.06529289484024048,11.185699194669724,7.6565516740083694,0.28865455215175945,110.8591559061091,21,286.1360725313425,32,True,0.12309307625353891,0.003846658632923091,0.3405307273470488
ME-DOL-FO,0,12,64,1,12,768,12,5.92360158264637,0.5769564807415009,0.06651957333087921,19.929392650723457,13.939271494746208,0.4936334652205308,129.65085333387594,21,489.22430914640427,64,True,0.07197927065798508,0.0011246761040310169,0.19112846785664117
NOG-FO,0,48,1,2,50,6400,6400,1.6147653460502625,0.007978945970535278,0.09283527731895447,5.019918382167816,3.3123177587985992,0.03364094470938047,3963.424169124316,21,36.58239509165287,1,True,1.0,1.0,1.0
NOG-FO,0,48,2,2,50,6400,3200,1.9383673965930939,0.056170910596847534,0.11269544064998627,5.52497099339962,3.47390815615654,0.04038265409568945,3301.7476517861082,21,43.42455821484327,2,True,0.8330543264854745,0.41652716324273725,0.908587282750414
NOG-FO,0,48,4,2,50,6400,1600,2.6982526183128357,0.13361304998397827,0.1186467856168747,6.495505720376968,3.678606316447258,0.056213596214850746,2371.905416328955,21,58.889449931681156,4,True,0.5984485422495183,0.14961213556237957,0.772829491385081
NOG-FO,0,48,8,2,50,6400,800,22.252104952931404,0.4136091470718384,0.16866335272789001,27.463281631469727,5.042513325810432,0.4635855198527376,287.6132398951718,21,451.85557758808136,8,True,0.07256685825749441,0.009070857282186802,0.1827865456696032
NOG-FO,0,48,16,2,50,6400,400,8.353787213563919,0.373884454369545,0.10700598359107971,14.72193755209446,6.261144354939461,0.17403723361591497,766.1195858099445,21,174.46045145392418,16,True,0.19329739970254356,0.012081087481408972,0.34098218148287435
NOG-FO,0,48,32,2,50,6400,200,14.683929547667503,0.7963242828845978,0.10497008264064789,21.896620705723763,7.107721075415611,0.30591519890973967,435.8506337982683,21,301.8884978964925,32,True,0.10996820304866982,0.003436506345270932,0.2292553928586621
NOG-FO,0,48,64,2,50,6400,100,46.59405489265919,2.186214432120323,0.13685919344425201,61.17075477540493,14.43984068930149,0.9707094769303998,137.35657939073917,21,947.7579600736499,64,True,0.034656038195651134,0.000541500596807049,0.08206402553963886
ME-DOL-FO,0,48,1,2,48,48,48,1.5605403780937195,0.007447481155395508,0.07846619188785553,4.602276146411896,2.9632695764303207,0.03251125787695249,30.758576114918906,21,34.99797215312719,1,True,1.0,1.0,1.0
ME-DOL-FO,0,48,2,2,48,96,48,3.6257622689008713,0.060744509100914,0.11465759575366974,7.406902253627777,3.666482388973236,0.07553671393543482,26.477190968480635,21,77.3856325224042,2,True,0.43040339171679565,0.21520169585839782,0.6213496531775855
ME-DOL-FO,0,48,4,2,48,192,48,12.071062907576561,0.390022411942482,0.22699794173240662,19.69661045074463,7.398549601435661,0.25148047724117834,15.905807257411333,21,251.20328614115712,4,True,0.12927945037170055,0.03231986259292514,0.2336582813535771
ME-DOL-FO,0,48,8,2,48,384,48,8.327308058738708,0.2602193355560303,0.11681917309761047,14.989392265677452,6.545265033841133,0.17348558455705643,46.11334146537655,21,174.3180275261402,8,True,0.1874003419936029,0.02342504274920036,0.3070355398564182
ME-DOL-FO,0,48,16,2,48,768,48,10.08613458275795,0.5360191166400909,0.10108813643455505,15.777627363801003,5.590404644608498,0.2101278038074573,76.14413566450729,21,208.37452173233032,16,True,0.15472135190040323,0.009670084493775202,0.29169633939834394
ME-DOL-FO,0,48,32,2,48,1536,48,17.308922216296196,0.8517474085092545,0.12319876253604889,25.32290342450142,7.890782445669174,0.36060254617283743,88.74036065364426,21,355.3628137782216,32,True,0.0901581484157624,0.002817442137992575,0.18174362036064629
ME-DOL-FO,0,48,64,2,48,3072,48,63.30714674293995,1.7425143718719482,0.49936673045158386,79.78478682041168,15.97827334702015,1.3188988904779155,48.52532704520586,21,1287.3645588755608,64,True,0.02465030345515851,0.0003851609914868517,0.05768363029873354
NOG-FO,0,96,1,3,98,12544,12544,2.1512974947690964,0.01297934353351593,0.14353136718273163,6.932458609342575,4.637629747390747,0.022409348903844755,5830.899738646503,21,27.155324265360832,1,True,1.0,1.0,1.0
NOG-FO,0,96,2,3,98,12544,6272,2.3419855386018753,0.09820698201656342,0.1192421168088913,5.628357708454132,3.1671300530433655,0.024395682693769533,5356.138965524335,21,27.421680256724358,2,True,0.9185784708360683,0.4592892354180341,1.231701851310837
NOG-FO,0,96,4,3,98,12544,3136,4.369510620832443,0.22673624753952026,0.13827797770500183,8.892196372151375,4.38440777361393,0.045515735633671284,2870.8020390645534,21,49.047459825873375,4,True,0.4923428917903051,0.12308572294757628,0.7796115064500468
NOG-FO,0,96,8,3,98,12544,1568,21.288124084472656,0.48695753514766693,0.1882432997226715,31.797154873609543,10.320787489414215,0.22175129254659018,589.2487262017355,21,224.51973143219948,8,True,0.10105622675969984,0.01263202834496248,0.21802134929676548
NOG-FO,0,96,16,3,98,12544,784,24.121005564928055,0.7926543951034546,0.18356792628765106,31.399575248360634,7.095001757144928,0.2512604746346672,520.0446542841886,21,249.590032890439,16,True,0.08918772017933958,0.005574232511208724,0.22078192314733677
NOG-FO,0,96,32,3,98,12544,392,71.80259539186954,1.7869435995817184,0.18687915802001953,80.73969678580761,8.750222235918045,0.7479437019986411,174.70120587619317,21,728.0843302607536,32,True,0.02996127762552571,0.0009362899257976784,0.08586183606477402
