epsilon,worker_count,nog_training_time_median,me_dol_training_time_median,training_time_ratio_nog_over_me,nog_end_to_end_time_median,me_dol_end_to_end_time_median,end_to_end_time_ratio_nog_over_me,depth_ratio_nog_over_me,work_ratio_nog_over_me,comparison_scope
0.01,1,12.60102592408657,17.225471153855324,0.7315344707576413,16.331035688519478,21.76975344121456,0.7501709072001483,0.5010416666666667,256.53333333333336,full-frozen-budget-not-first-hit
0.01,2,17.874343007802963,27.602379336953163,0.6475652982521466,22.656256571412086,32.30230502784252,0.7013820392038228,0.5010416666666667,128.26666666666668,full-frozen-budget-not-first-hit
0.01,4,26.74533674120903,36.77763286232948,0.72721745962622,31.723803341388702,42.69058778882027,0.7431100152173701,0.5010416666666667,64.13333333333334,full-frozen-budget-not-first-hit
0.01,8,37.96453009545803,54.09659779071808,0.701791455394853,43.36690606176853,59.6000185161829,0.7276324259864673,0.5010416666666667,32.06666666666667,full-frozen-budget-not-first-hit
0.01,16,53.08787702023983,93.4490001052618,0.5680946501347384,58.71836172044277,99.77454125881195,0.5885104654916852,0.5010416666666667,16.033333333333335,full-frozen-budget-not-first-hit
0.01,32,90.58371821045876,164.86241944134235,0.5494503751516774,98.044432669878,174.00975342094898,0.5634421677082525,0.5010416666666667,8.016666666666667,full-frozen-budget-not-first-hit
0.009,1,10.45216603577137,17.225471153855324,0.6067854947138567,14.279414549469948,21.76975344121456,0.6559290893224412,0.5010416666666667,128.26666666666668,full-frozen-budget-not-first-hit
0.009,2,15.730183064937592,27.602379336953163,0.5698850404493404,20.523642256855965,32.30230502784252,0.635361539653777,0.5010416666666667,64.13333333333334,full-frozen-budget-not-first-hit
0.009,4,22.671324715018272,36.77763286232948,0.6164432822494134,26.958874553442,42.69058778882027,0.6314945740920893,0.5010416666666667,32.06666666666667,full-frozen-budget-not-first-hit
0.009,8,37.93226459622383,54.09659779071808,0.7011950130943774,43.29652318358421,59.6000185161829,0.7264515055784441,0.5010416666666667,16.033333333333335,full-frozen-budget-not-first-hit
0.009,16,69.9765061289072,93.4490001052618,0.7488202768364031,75.69147709012032,99.77454125881195,0.7586251576319359,0.5010416666666667,8.016666666666667,full-frozen-budget-not-first-hit
0.009,32,88.87142676115036,164.86241944134235,0.5390641909921176,96.16346469521523,174.00975342094898,0.5526326128546661,0.5010416666666667,4.008333333333334,full-frozen-budget-not-first-hit
0.008,1,12.753330916166306,17.225471153855324,0.7403763184330615,16.430874675512314,21.76975344121456,0.7547570403073713,0.5010416666666667,256.53333333333336,full-frozen-budget-not-first-hit
0.008,2,17.751022830605507,27.602379336953163,0.6430975610439864,22.48639003932476,32.30230502784252,0.6961233887161591,0.5010416666666667,128.26666666666668,full-frozen-budget-not-first-hit
0.008,4,25.144091561436653,36.77763286232948,0.6836788994973951,30.16425159573555,42.69058778882027,0.7065785026186712,0.5010416666666667,64.13333333333334,full-frozen-budget-not-first-hit
0.008,8,34.490672171115875,54.09659779071808,0.6375756254496618,39.60335050523281,59.6000185161829,0.6644855402935741,0.5010416666666667,32.06666666666667,full-frozen-budget-not-first-hit
0.008,16,76.68261367082596,93.4490001052618,0.8205824950983955,82.64433990418911,99.77454125881195,0.8283108983664715,0.5010416666666667,16.033333333333335,full-frozen-budget-not-first-hit
0.008,32,94.06087049841881,164.86241944134235,0.5705416117096682,101.76381401717663,174.00975342094898,0.5848167244453167,0.5010416666666667,8.016666666666667,full-frozen-budget-not-first-hit
