sequence,runtime_task_id,phase,include_in_summary,repeat,runtime_config_id,runtime_config_sha256,method,epsilons,rounds,worker_count,benchmark_seed,attempts_this_invocation,failure_attempt_count,output_root,estimated_end_to_end_seconds,status,task_status,error_type,message,task_key,partial_path,partial_sha256,checkpoint_count,training_time,communication_time,evaluation_time,end_to_end_time,final_depth,final_total_work,final_per_worker_work,timing_invariants
0,runtime-task-451066a61ac0cf85,warmup,False,,ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,f1b9b7cb1027e18aecc1ecc0fe8db15c145d7bfdd48f4ec26ae8f9eb6fa83dcf,ME-DOL-FO,"[0.01, 0.009, 0.008]",12,1,0,1,0,raw/ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027/m1/warmup,3.809074282646179,complete,completed,,,ME-DOL-FO__m1__seed0__cfg4aa97c93716e,raw/ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027/m1/warmup/partials/ME-DOL-FO__m1__seed0__cfg4aa97c93716e.json,c602f4e240f328b41a328520a55672e0bbbce5b69e85209746da78c83b645cf4,1,0.25183068215847015,0.002009481191635132,0.04056888818740845,3.41243676841259,12,12,12,True
1,runtime-task-91988dda4e852cd0,warmup,False,,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,bf7a41c99cdff9dc05372fd89ceba2242211ac772f73009094f567360213c603,NOG-FO,[0.01],4,1,0,1,0,raw/NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf/m1/warmup,4.140614449977875,complete,completed,,,NOG-FO__m1__seed0__cfg5bdbaaa39bfc,raw/NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf/m1/warmup/partials/NOG-FO__m1__seed0__cfg5bdbaaa39bfc.json,67805e15b0725afbc8daf99246b5c2ab17d627c3a3d932d2ed81e049eaf9a82a,1,0.19886860251426697,0.0011962205171585083,0.0383123904466629,3.2080134600400925,6,3072,3072,True
2,runtime-task-c0b0c46e15ef0aef,warmup,False,,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71,be6f4a373a71cb85cf3f7213b99a7ee0df3a5c384116c5681967d168f6971d81,NOG-FO,[0.009],4,1,0,1,0,raw/NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71/m1/warmup,4.140614449977875,complete,completed,,,NOG-FO__m1__seed0__cfgb221cc2d1b3f,raw/NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71/m1/warmup/partials/NOG-FO__m1__seed0__cfgb221cc2d1b3f.json,236fa2f892d09d2af28d2084d3b6dcdec9701cfda28bcea9e1efa52c6607704a,1,0.17647910118103027,0.001028791069984436,0.0365583598613739,3.341553181409836,6,1536,1536,True
3,runtime-task-5526903e83874f44,warmup,False,,NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-cbb2f9ab5aca,cbb2f9ab5aca574d777e6b91f4aae7c52b6c9f4beb94f9e2cf0221357263bac6,NOG-FO,[0.008],8,1,0,1,0,raw/NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-cbb2f9ab5aca/m1/warmup,4.140614449977875,complete,completed,,,NOG-FO__m1__seed0__cfg9aac0f72d9b8,raw/NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-cbb2f9ab5aca/m1/warmup/partials/NOG-FO__m1__seed0__cfg9aac0f72d9b8.json,654927d0084701a6f89a4e13f6422b19c21661d09219a825ca5ebfdbc6cceaf8,1,0.26362375915050507,0.0017319172620773315,0.05716811120510101,3.6355137079954147,10,5120,5120,True
4,runtime-task-7c26cb93361ad2d7,warmup,False,,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71,be6f4a373a71cb85cf3f7213b99a7ee0df3a5c384116c5681967d168f6971d81,NOG-FO,[0.009],4,2,0,1,0,raw/NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71/m2/warmup,4.5163234770298,complete,completed,,,NOG-FO__m2__seed0__cfgbff10c1cee1a,raw/NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71/m2/warmup/partials/NOG-FO__m2__seed0__cfgbff10c1cee1a.json,dc4568833fc7455aa239ccdf844266047bc2d647cc0d988e7f40fb609e047f32,1,0.22639809548854828,0.023348093032836914,0.050982922315597534,4.338566571474075,6,1536,768,True
5,runtime-task-76956e70ebf00d94,warmup,False,,ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,f1b9b7cb1027e18aecc1ecc0fe8db15c145d7bfdd48f4ec26ae8f9eb6fa83dcf,ME-DOL-FO,"[0.01, 0.009, 0.008]",12,2,0,1,0,raw/ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027/m2/warmup,3.755214586853981,complete,completed,,,ME-DOL-FO__m2__seed0__cfgb7e893683a04,raw/ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027/m2/warmup/partials/ME-DOL-FO__m2__seed0__cfgb7e893683a04.json,09dbc258ed3610e2ba02478acff240aa7235958bbcc4888fa2a5aa1361611342,1,0.33808261156082153,0.014021560549736023,0.039176180958747864,3.4656742066144943,12,24,12,True
6,runtime-task-acae52b350856716,warmup,False,,NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-cbb2f9ab5aca,cbb2f9ab5aca574d777e6b91f4aae7c52b6c9f4beb94f9e2cf0221357263bac6,NOG-FO,[0.008],8,2,0,1,0,raw/NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-cbb2f9ab5aca/m2/warmup,4.5163234770298,complete,completed,,,NOG-FO__m2__seed0__cfga1008d73edf0,raw/NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-cbb2f9ab5aca/m2/warmup/partials/NOG-FO__m2__seed0__cfga1008d73edf0.json,38c84308aed11802f9c4f00aced4624a4684219249a56b6479a5aec99f49cd41,1,0.32099106907844543,0.012354448437690735,0.03829777240753174,4.439980015158653,10,5120,2560,True
7,runtime-task-0076a05b1e10f7f9,warmup,False,,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,bf7a41c99cdff9dc05372fd89ceba2242211ac772f73009094f567360213c603,NOG-FO,[0.01],4,2,0,1,0,raw/NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf/m2/warmup,4.5163234770298,complete,completed,,,NOG-FO__m2__seed0__cfge263760c2f91,raw/NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf/m2/warmup/partials/NOG-FO__m2__seed0__cfge263760c2f91.json,fd72fbf1e76252e33b6cf65e3b6e1f6a32c3b85f9cf2c3594506c05449fe3527,1,0.25554049015045166,0.004649102687835693,0.03961487114429474,5.053850203752518,6,3072,1536,True
8,runtime-task-75aa73e5b1c353b1,warmup,False,,NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-cbb2f9ab5aca,cbb2f9ab5aca574d777e6b91f4aae7c52b6c9f4beb94f9e2cf0221357263bac6,NOG-FO,[0.008],8,4,0,1,0,raw/NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-cbb2f9ab5aca/m4/warmup,4.901932418346405,complete,completed,,,NOG-FO__m4__seed0__cfgf8fddf070f52,raw/NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-cbb2f9ab5aca/m4/warmup/partials/NOG-FO__m4__seed0__cfgf8fddf070f52.json,7fbf63f20155d8508b944ee721a171c5c7dd381bfffe2f156db49346f9085a09,1,0.4207865744829178,0.037366077303886414,0.03777769207954407,4.556563168764114,10,5120,1280,True
9,runtime-task-7fa2fd11ee91861d,warmup,False,,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,bf7a41c99cdff9dc05372fd89ceba2242211ac772f73009094f567360213c603,NOG-FO,[0.01],4,4,0,1,0,raw/NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf/m4/warmup,4.901932418346405,complete,completed,,,NOG-FO__m4__seed0__cfg6b04346fa713,raw/NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf/m4/warmup/partials/NOG-FO__m4__seed0__cfg6b04346fa713.json,e70eaf28fb9617f19bf4ffd26e07e74a87490de57fc5968da4a1d46d82bfe1d0,1,0.32207952439785004,0.0323871374130249,0.03797352313995361,3.4846498370170593,6,3072,768,True
