runtime_config_id,runtime_config_sha256,method,epsilons,worker_count,repeat_count,passed,max_abs_objective_or_stat_difference,errors
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71,be6f4a373a71cb85cf3f7213b99a7ee0df3a5c384116c5681967d168f6971d81,NOG-FO,[0.009],1,3,True,0.0,
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71,be6f4a373a71cb85cf3f7213b99a7ee0df3a5c384116c5681967d168f6971d81,NOG-FO,[0.009],2,3,True,0.0,
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71,be6f4a373a71cb85cf3f7213b99a7ee0df3a5c384116c5681967d168f6971d81,NOG-FO,[0.009],4,3,True,0.0,
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71,be6f4a373a71cb85cf3f7213b99a7ee0df3a5c384116c5681967d168f6971d81,NOG-FO,[0.009],8,3,True,0.0,
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71,be6f4a373a71cb85cf3f7213b99a7ee0df3a5c384116c5681967d168f6971d81,NOG-FO,[0.009],16,3,True,0.0,
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71,be6f4a373a71cb85cf3f7213b99a7ee0df3a5c384116c5681967d168f6971d81,NOG-FO,[0.009],32,3,True,0.0,
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,bf7a41c99cdff9dc05372fd89ceba2242211ac772f73009094f567360213c603,NOG-FO,[0.01],1,3,True,0.0,
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,bf7a41c99cdff9dc05372fd89ceba2242211ac772f73009094f567360213c603,NOG-FO,[0.01],2,3,True,0.0,
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,bf7a41c99cdff9dc05372fd89ceba2242211ac772f73009094f567360213c603,NOG-FO,[0.01],4,3,True,0.0,
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,bf7a41c99cdff9dc05372fd89ceba2242211ac772f73009094f567360213c603,NOG-FO,[0.01],8,3,True,0.0,
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,bf7a41c99cdff9dc05372fd89ceba2242211ac772f73009094f567360213c603,NOG-FO,[0.01],16,3,True,0.0,
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,bf7a41c99cdff9dc05372fd89ceba2242211ac772f73009094f567360213c603,NOG-FO,[0.01],32,3,True,0.0,
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-cbb2f9ab5aca,cbb2f9ab5aca574d777e6b91f4aae7c52b6c9f4beb94f9e2cf0221357263bac6,NOG-FO,[0.008],1,3,True,0.0,
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-cbb2f9ab5aca,cbb2f9ab5aca574d777e6b91f4aae7c52b6c9f4beb94f9e2cf0221357263bac6,NOG-FO,[0.008],2,3,True,0.0,
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-cbb2f9ab5aca,cbb2f9ab5aca574d777e6b91f4aae7c52b6c9f4beb94f9e2cf0221357263bac6,NOG-FO,[0.008],4,3,True,0.0,
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-cbb2f9ab5aca,cbb2f9ab5aca574d777e6b91f4aae7c52b6c9f4beb94f9e2cf0221357263bac6,NOG-FO,[0.008],8,3,True,0.0,
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-cbb2f9ab5aca,cbb2f9ab5aca574d777e6b91f4aae7c52b6c9f4beb94f9e2cf0221357263bac6,NOG-FO,[0.008],16,3,True,0.0,
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-cbb2f9ab5aca,cbb2f9ab5aca574d777e6b91f4aae7c52b6c9f4beb94f9e2cf0221357263bac6,NOG-FO,[0.008],32,3,True,0.0,
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,f1b9b7cb1027e18aecc1ecc0fe8db15c145d7bfdd48f4ec26ae8f9eb6fa83dcf,ME-DOL-FO,"[0.01, 0.009, 0.008]",1,3,True,0.0,
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,f1b9b7cb1027e18aecc1ecc0fe8db15c145d7bfdd48f4ec26ae8f9eb6fa83dcf,ME-DOL-FO,"[0.01, 0.009, 0.008]",2,3,True,0.0,
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,f1b9b7cb1027e18aecc1ecc0fe8db15c145d7bfdd48f4ec26ae8f9eb6fa83dcf,ME-DOL-FO,"[0.01, 0.009, 0.008]",4,3,True,0.0,
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,f1b9b7cb1027e18aecc1ecc0fe8db15c145d7bfdd48f4ec26ae8f9eb6fa83dcf,ME-DOL-FO,"[0.01, 0.009, 0.008]",8,3,True,0.0,
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,f1b9b7cb1027e18aecc1ecc0fe8db15c145d7bfdd48f4ec26ae8f9eb6fa83dcf,ME-DOL-FO,"[0.01, 0.009, 0.008]",16,3,True,0.0,
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,f1b9b7cb1027e18aecc1ecc0fe8db15c145d7bfdd48f4ec26ae8f9eb6fa83dcf,ME-DOL-FO,"[0.01, 0.009, 0.008]",32,3,True,0.0,
