sequence,runtime_task_id,phase,repeat,runtime_config_id,method,epsilons,worker_count,rounds,checkpoint_count,expected_config_sha256,observed_config_sha256,partial_sha256,final_depth,final_total_work,final_per_worker_work,training_time,communication_time,evaluation_time,end_to_end_time,passed,errors
0,runtime-task-451066a61ac0cf85,warmup,,ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,ME-DOL-FO,"[0.01, 0.009, 0.008]",1,12,1,9cccc59803f2f709c5c64b6950a4b5c70d5ff979e8d0ea51a6037775fe4b51b9,9cccc59803f2f709c5c64b6950a4b5c70d5ff979e8d0ea51a6037775fe4b51b9,c602f4e240f328b41a328520a55672e0bbbce5b69e85209746da78c83b645cf4,12,12,12,0.25183068215847015,0.002009481191635132,0.04056888818740845,3.41243676841259,True,
1,runtime-task-91988dda4e852cd0,warmup,,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,NOG-FO,[0.01],1,4,1,8c386f41d971e184e436f356ef27a79c2328d6cd9d079e2d05deacc2e8cd8570,8c386f41d971e184e436f356ef27a79c2328d6cd9d079e2d05deacc2e8cd8570,67805e15b0725afbc8daf99246b5c2ab17d627c3a3d932d2ed81e049eaf9a82a,6,3072,3072,0.19886860251426697,0.0011962205171585083,0.0383123904466629,3.2080134600400925,True,
2,runtime-task-c0b0c46e15ef0aef,warmup,,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71,NOG-FO,[0.009],1,4,1,9f97b7ba333898997d838ad0a1ded35de2cda88ee95d0a41f5977e75b409b45d,9f97b7ba333898997d838ad0a1ded35de2cda88ee95d0a41f5977e75b409b45d,236fa2f892d09d2af28d2084d3b6dcdec9701cfda28bcea9e1efa52c6607704a,6,1536,1536,0.17647910118103027,0.001028791069984436,0.0365583598613739,3.341553181409836,True,
3,runtime-task-5526903e83874f44,warmup,,NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-cbb2f9ab5aca,NOG-FO,[0.008],1,8,1,20d2a2df9c84f0e2d8d291815e0709c4c41b31190dd48dbef8585b8883525437,20d2a2df9c84f0e2d8d291815e0709c4c41b31190dd48dbef8585b8883525437,654927d0084701a6f89a4e13f6422b19c21661d09219a825ca5ebfdbc6cceaf8,10,5120,5120,0.26362375915050507,0.0017319172620773315,0.05716811120510101,3.6355137079954147,True,
4,runtime-task-7c26cb93361ad2d7,warmup,,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71,NOG-FO,[0.009],2,4,1,9f97b7ba333898997d838ad0a1ded35de2cda88ee95d0a41f5977e75b409b45d,9f97b7ba333898997d838ad0a1ded35de2cda88ee95d0a41f5977e75b409b45d,dc4568833fc7455aa239ccdf844266047bc2d647cc0d988e7f40fb609e047f32,6,1536,768,0.22639809548854828,0.023348093032836914,0.050982922315597534,4.338566571474075,True,
5,runtime-task-76956e70ebf00d94,warmup,,ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,ME-DOL-FO,"[0.01, 0.009, 0.008]",2,12,1,9cccc59803f2f709c5c64b6950a4b5c70d5ff979e8d0ea51a6037775fe4b51b9,9cccc59803f2f709c5c64b6950a4b5c70d5ff979e8d0ea51a6037775fe4b51b9,09dbc258ed3610e2ba02478acff240aa7235958bbcc4888fa2a5aa1361611342,12,24,12,0.33808261156082153,0.014021560549736023,0.039176180958747864,3.4656742066144943,True,
6,runtime-task-acae52b350856716,warmup,,NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-cbb2f9ab5aca,NOG-FO,[0.008],2,8,1,20d2a2df9c84f0e2d8d291815e0709c4c41b31190dd48dbef8585b8883525437,20d2a2df9c84f0e2d8d291815e0709c4c41b31190dd48dbef8585b8883525437,38c84308aed11802f9c4f00aced4624a4684219249a56b6479a5aec99f49cd41,10,5120,2560,0.32099106907844543,0.012354448437690735,0.03829777240753174,4.439980015158653,True,
7,runtime-task-0076a05b1e10f7f9,warmup,,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,NOG-FO,[0.01],2,4,1,8c386f41d971e184e436f356ef27a79c2328d6cd9d079e2d05deacc2e8cd8570,8c386f41d971e184e436f356ef27a79c2328d6cd9d079e2d05deacc2e8cd8570,fd72fbf1e76252e33b6cf65e3b6e1f6a32c3b85f9cf2c3594506c05449fe3527,6,3072,1536,0.25554049015045166,0.004649102687835693,0.03961487114429474,5.053850203752518,True,
8,runtime-task-75aa73e5b1c353b1,warmup,,NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-cbb2f9ab5aca,NOG-FO,[0.008],4,8,1,20d2a2df9c84f0e2d8d291815e0709c4c41b31190dd48dbef8585b8883525437,20d2a2df9c84f0e2d8d291815e0709c4c41b31190dd48dbef8585b8883525437,7fbf63f20155d8508b944ee721a171c5c7dd381bfffe2f156db49346f9085a09,10,5120,1280,0.4207865744829178,0.037366077303886414,0.03777769207954407,4.556563168764114,True,
9,runtime-task-7fa2fd11ee91861d,warmup,,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,NOG-FO,[0.01],4,4,1,8c386f41d971e184e436f356ef27a79c2328d6cd9d079e2d05deacc2e8cd8570,8c386f41d971e184e436f356ef27a79c2328d6cd9d079e2d05deacc2e8cd8570,e70eaf28fb9617f19bf4ffd26e07e74a87490de57fc5968da4a1d46d82bfe1d0,6,3072,768,0.32207952439785004,0.0323871374130249,0.03797352313995361,3.4846498370170593,True,
