method,seed,round,block_id,work,eval_work,communication_round,time_sec,d,delta,M,lr_or_eta,eval_point,objective,stat_proxy,objective_x,stat_proxy_x,objective_ybar,stat_proxy_ybar,block_oracle_norm,sweep_M,sweep_eta,sweep_grid_id
NOG,10000,4,1.0,3072,16384,4,0.15135598182678223,100,0.1,4.0,0.1,y_bar,0.7262506484985352,0.012768018059432507,0.7262781858444214,0.010597903281450272,0.7262506484985352,0.012768018059432507,0.01755909062922001,4.0,0.1,M4_eta0.1
NOG,10000,68,17.0,35840,32768,68,0.778559684753418,100,0.1,4.0,0.1,y_bar,0.7240121364593506,0.008233141154050827,0.7239533066749573,0.009131908416748047,0.7240121364593506,0.008233141154050827,0.015272616408765316,4.0,0.1,M4_eta0.1
NOG,10000,132,33.0,68608,49152,132,1.4027080535888672,100,0.1,4.0,0.1,y_bar,0.7234793305397034,0.010447748005390167,0.7234914302825928,0.00962879043072462,0.7234793305397034,0.010447748005390167,0.013734525069594383,4.0,0.1,M4_eta0.1
NOG,10000,196,49.0,101376,65536,196,1.9588618278503418,100,0.1,4.0,0.1,y_bar,0.7215669751167297,0.009016701951622963,0.7215167284011841,0.008769528940320015,0.7215669751167297,0.009016701951622963,0.014849751256406307,4.0,0.1,M4_eta0.1
NOG,10000,260,65.0,134144,81920,260,2.540881872177124,100,0.1,4.0,0.1,y_bar,0.720143735408783,0.009279398247599602,0.7201592922210693,0.010787077248096466,0.720143735408783,0.009279398247599602,0.01393186580389738,4.0,0.1,M4_eta0.1
NOG,10000,324,81.0,166912,98304,324,3.071540117263794,100,0.1,4.0,0.1,y_bar,0.7181406021118164,0.010032908990979195,0.7181012034416199,0.009607112966477871,0.7181406021118164,0.010032908990979195,0.01464870385825634,4.0,0.1,M4_eta0.1
NOG,10000,388,97.0,199680,114688,388,3.644827365875244,100,0.1,4.0,0.1,y_bar,0.7175976634025574,0.01045133825391531,0.7176045775413513,0.010957124643027782,0.7175976634025574,0.01045133825391531,0.014684990048408508,4.0,0.1,M4_eta0.1
NOG,10000,452,113.0,232448,131072,452,4.219691514968872,100,0.1,4.0,0.1,y_bar,0.7171066403388977,0.010075659491121769,0.7171229124069214,0.010657167062163353,0.7171066403388977,0.010075659491121769,0.013043307699263096,4.0,0.1,M4_eta0.1
NOG,10000,516,129.0,265216,147456,516,4.7852942943573,100,0.1,4.0,0.1,y_bar,0.715752899646759,0.009809453040361404,0.7156638503074646,0.009699595160782337,0.715752899646759,0.009809453040361404,0.014431944116950035,4.0,0.1,M4_eta0.1
NOG,10000,580,145.0,297984,163840,580,5.3382568359375,100,0.1,4.0,0.1,y_bar,0.7149813771247864,0.009841689839959145,0.7150066494941711,0.009990411810576916,0.7149813771247864,0.009841689839959145,0.014562451280653477,4.0,0.1,M4_eta0.1
NOG,10000,644,161.0,330752,180224,644,5.9596827030181885,100,0.1,4.0,0.1,y_bar,0.7152009606361389,0.009461424313485622,0.7151768207550049,0.009443533606827259,0.7152009606361389,0.009461424313485622,0.015712497755885124,4.0,0.1,M4_eta0.1
