method,seed,round,block_id,work,eval_work,communication_round,time_sec,d,delta,M,lr_or_eta,eval_point,objective,stat_proxy,objective_x,stat_proxy_x,objective_ybar,stat_proxy_ybar,block_oracle_norm,sweep_M,sweep_eta,sweep_grid_id
NOG,10000,12,1.0,7168,16384,12,0.20905208587646484,100,0.1,12.0,0.3,y_bar,0.72622150182724,0.011029116809368134,0.7262018322944641,0.0108085498213768,0.72622150182724,0.011029116809368134,0.01228859182447195,12.0,0.3,M12_eta0.3
NOG,10000,84,7.0,44032,32768,84,0.8576755523681641,100,0.1,12.0,0.3,y_bar,0.7259069085121155,0.009177847765386105,0.7258885502815247,0.008086394518613815,0.7259069085121155,0.009177847765386105,0.008626303635537624,12.0,0.3,M12_eta0.3
NOG,10000,156,13.0,80896,49152,156,1.4797229766845703,100,0.1,12.0,0.3,y_bar,0.7255721092224121,0.007851586677134037,0.7255445718765259,0.008229498751461506,0.7255721092224121,0.007851586677134037,0.00774420378729701,12.0,0.3,M12_eta0.3
NOG,10000,228,19.0,117760,65536,228,2.1320958137512207,100,0.1,12.0,0.3,y_bar,0.7252154350280762,0.00804240070283413,0.7251925468444824,0.008183344267308712,0.7252154350280762,0.00804240070283413,0.008469896391034126,12.0,0.3,M12_eta0.3
NOG,10000,300,25.0,154624,81920,300,2.7822110652923584,100,0.1,12.0,0.3,y_bar,0.7249168753623962,0.007398262154310942,0.7248679399490356,0.0071883127093315125,0.7249168753623962,0.007398262154310942,0.0088429506868124,12.0,0.3,M12_eta0.3
NOG,10000,372,31.0,191488,98304,372,3.399724245071411,100,0.1,12.0,0.3,y_bar,0.7246161699295044,0.007475313264876604,0.7246082425117493,0.007189411669969559,0.7246161699295044,0.007475313264876604,0.008335474878549576,12.0,0.3,M12_eta0.3
NOG,10000,444,37.0,228352,114688,444,4.003796100616455,100,0.1,12.0,0.3,y_bar,0.7243565320968628,0.007466714363545179,0.7243217825889587,0.006760888732969761,0.7243565320968628,0.007466714363545179,0.009229305200278759,12.0,0.3,M12_eta0.3
NOG,10000,516,43.0,265216,131072,516,4.650003433227539,100,0.1,12.0,0.3,y_bar,0.7240760922431946,0.007369405589997768,0.7240439057350159,0.007507309317588806,0.7240760922431946,0.007369405589997768,0.008361350744962692,12.0,0.3,M12_eta0.3
NOG,10000,588,49.0,302080,147456,588,5.291243314743042,100,0.1,12.0,0.3,y_bar,0.7237984538078308,0.006931344512850046,0.7237858176231384,0.00749549176543951,0.7237984538078308,0.006931344512850046,0.007799581158906221,12.0,0.3,M12_eta0.3
NOG,10000,660,55.0,338944,163840,660,5.951282978057861,100,0.1,12.0,0.3,y_bar,0.723599910736084,0.00750288600102067,0.7235978841781616,0.007013053633272648,0.723599910736084,0.00750288600102067,0.008060396648943424,12.0,0.3,M12_eta0.3
NOG,10000,732,61.0,375808,180224,732,6.7127463817596436,100,0.1,12.0,0.3,y_bar,0.7233980894088745,0.007537847384810448,0.723385214805603,0.007738711778074503,0.7233980894088745,0.007537847384810448,0.007633550092577934,12.0,0.3,M12_eta0.3
NOG,10000,804,67.0,412672,196608,804,7.429672718048096,100,0.1,12.0,0.3,y_bar,0.723202109336853,0.007337675429880619,0.7231957316398621,0.00716140354052186,0.723202109336853,0.007337675429880619,0.007387532386928797,12.0,0.3,M12_eta0.3
NOG,10000,876,73.0,449536,212992,876,8.13993787765503,100,0.1,12.0,0.3,y_bar,0.7230015993118286,0.007600702345371246,0.7229967713356018,0.008029740303754807,0.7230015993118286,0.007600702345371246,0.008212843909859657,12.0,0.3,M12_eta0.3
NOG,10000,948,79.0,486400,229376,948,8.758538722991943,100,0.1,12.0,0.3,y_bar,0.7227780222892761,0.00745471753180027,0.7227754592895508,0.006961393635720015,0.7227780222892761,0.00745471753180027,0.007803003303706646,12.0,0.3,M12_eta0.3
NOG,10000,960,80.0,492544,245760,960,8.971147298812866,100,0.1,12.0,0.3,y_bar,0.7227508425712585,0.007541374769061804,0.7227309942245483,0.007267509121447802,0.7227508425712585,0.007541374769061804,0.006780510302633047,12.0,0.3,M12_eta0.3
SmoothedSGD,20000,1,,512,8192,1,0.06214022636413574,100,0.1,,0.05,x,0.7262153029441833,0.012163667939603329,0.7262153029441833,0.012163667939603329,,,,,0.05,SmoothedSGD
SmoothedSGD,20000,64,,32768,16384,64,0.6321117877960205,100,0.1,,0.05,x,0.7261610627174377,0.00988518912345171,0.7261610627174377,0.00988518912345171,,,,,0.05,SmoothedSGD
SmoothedSGD,20000,128,,65536,24576,128,1.201779842376709,100,0.1,,0.05,x,0.7261170744895935,0.009761733002960682,0.7261170744895935,0.009761733002960682,,,,,0.05,SmoothedSGD
SmoothedSGD,20000,192,,98304,32768,192,1.7278592586517334,100,0.1,,0.05,x,0.7260754108428955,0.0076640909537673,0.7260754108428955,0.0076640909537673,,,,,0.05,SmoothedSGD
SmoothedSGD,20000,256,,131072,40960,256,2.234783172607422,100,0.1,,0.05,x,0.7260231971740723,0.008454837836325169,0.7260231971740723,0.008454837836325169,,,,,0.05,SmoothedSGD
SmoothedSGD,20000,320,,163840,49152,320,2.740354537963867,100,0.1,,0.05,x,0.725980281829834,0.008692728355526924,0.725980281829834,0.008692728355526924,,,,,0.05,SmoothedSGD
SmoothedSGD,20000,384,,196608,57344,384,3.283486843109131,100,0.1,,0.05,x,0.7259265780448914,0.008867277763783932,0.7259265780448914,0.008867277763783932,,,,,0.05,SmoothedSGD
SmoothedSGD,20000,448,,229376,65536,448,3.7822680473327637,100,0.1,,0.05,x,0.7258859276771545,0.007991691119968891,0.7258859276771545,0.007991691119968891,,,,,0.05,SmoothedSGD
SmoothedSGD,20000,512,,262144,73728,512,4.259936809539795,100,0.1,,0.05,x,0.7258470058441162,0.007475186605006456,0.7258470058441162,0.007475186605006456,,,,,0.05,SmoothedSGD
SmoothedSGD,20000,576,,294912,81920,576,4.747889518737793,100,0.1,,0.05,x,0.7258005142211914,0.007310156244784594,0.7258005142211914,0.007310156244784594,,,,,0.05,SmoothedSGD
SmoothedSGD,20000,640,,327680,90112,640,5.20900559425354,100,0.1,,0.05,x,0.7257538437843323,0.007462002336978912,0.7257538437843323,0.007462002336978912,,,,,0.05,SmoothedSGD
SmoothedSGD,20000,704,,360448,98304,704,5.704564809799194,100,0.1,,0.05,x,0.7257049679756165,0.007756253704428673,0.7257049679756165,0.007756253704428673,,,,,0.05,SmoothedSGD
SmoothedSGD,20000,768,,393216,106496,768,6.221241474151611,100,0.1,,0.05,x,0.7256556749343872,0.008033241145312786,0.7256556749343872,0.008033241145312786,,,,,0.05,SmoothedSGD
SmoothedSGD,20000,832,,425984,114688,832,6.720214605331421,100,0.1,,0.05,x,0.7256137728691101,0.006847078911960125,0.7256137728691101,0.006847078911960125,,,,,0.05,SmoothedSGD
SmoothedSGD,20000,896,,458752,122880,896,7.263365268707275,100,0.1,,0.05,x,0.7255670428276062,0.008414150215685368,0.7255670428276062,0.008414150215685368,,,,,0.05,SmoothedSGD
SmoothedSGD,20000,960,,491520,131072,960,7.7684712409973145,100,0.1,,0.05,x,0.7255168557167053,0.008192349225282669,0.7255168557167053,0.008192349225282669,,,,,0.05,SmoothedSGD
NOG,10001,12,1.0,7168,16384,12,0.21199584007263184,100,0.1,12.0,0.3,y_bar,0.7248396277427673,0.00992508977651596,0.7248578667640686,0.00915034580975771,0.7248396277427673,0.00992508977651596,0.009875521995127201,12.0,0.3,M12_eta0.3
NOG,10001,84,7.0,44032,32768,84,0.978600025177002,100,0.1,12.0,0.3,y_bar,0.724789023399353,0.007846033200621605,0.7247925996780396,0.007810110691934824,0.724789023399353,0.007846033200621605,0.007761039771139622,12.0,0.3,M12_eta0.3
NOG,10001,156,13.0,80896,49152,156,1.7777187824249268,100,0.1,12.0,0.3,y_bar,0.7246684432029724,0.007381126284599304,0.724648654460907,0.007353230379521847,0.7246684432029724,0.007381126284599304,0.006813541986048222,12.0,0.3,M12_eta0.3
NOG,10001,228,19.0,117760,65536,228,2.513676166534424,100,0.1,12.0,0.3,y_bar,0.7244499325752258,0.007019000593572855,0.7244256138801575,0.007286256179213524,0.7244499325752258,0.007019000593572855,0.00759538309648633,12.0,0.3,M12_eta0.3
NOG,10001,300,25.0,154624,81920,300,3.1921818256378174,100,0.1,12.0,0.3,y_bar,0.724317729473114,0.007340268697589636,0.7243129014968872,0.006812413223087788,0.724317729473114,0.007340268697589636,0.007353232242166996,12.0,0.3,M12_eta0.3
NOG,10001,372,31.0,191488,98304,372,3.861208438873291,100,0.1,12.0,0.3,y_bar,0.7241465449333191,0.007737517356872559,0.724116861820221,0.007280760910362005,0.7241465449333191,0.007737517356872559,0.008670751936733723,12.0,0.3,M12_eta0.3
NOG,10001,444,37.0,228352,114688,444,4.518812656402588,100,0.1,12.0,0.3,y_bar,0.7239896059036255,0.007400151342153549,0.723989725112915,0.0072924066334962845,0.7239896059036255,0.007400151342153549,0.007387401536107063,12.0,0.3,M12_eta0.3
NOG,10001,516,43.0,265216,131072,516,5.146024465560913,100,0.1,12.0,0.3,y_bar,0.7238333821296692,0.007792043499648571,0.7238147258758545,0.006748058833181858,0.7238333821296692,0.007792043499648571,0.007885088212788105,12.0,0.3,M12_eta0.3
NOG,10001,588,49.0,302080,147456,588,5.849742650985718,100,0.1,12.0,0.3,y_bar,0.723684549331665,0.008061563596129417,0.7236676812171936,0.006907346658408642,0.723684549331665,0.008061563596129417,0.007807804737240076,12.0,0.3,M12_eta0.3
NOG,10001,660,55.0,338944,163840,660,6.479374647140503,100,0.1,12.0,0.3,y_bar,0.7235172986984253,0.007165972609072924,0.7235209345817566,0.007569727022200823,0.7235172986984253,0.007165972609072924,0.00789277907460928,12.0,0.3,M12_eta0.3
NOG,10001,732,61.0,375808,180224,732,7.157184600830078,100,0.1,12.0,0.3,y_bar,0.7234523892402649,0.006490320432931185,0.7234486937522888,0.006859340239316225,0.7234523892402649,0.006490320432931185,0.007181303109973669,12.0,0.3,M12_eta0.3
NOG,10001,804,67.0,412672,196608,804,7.87021803855896,100,0.1,12.0,0.3,y_bar,0.7233550548553467,0.007432557176798582,0.7233526706695557,0.006803811993449926,0.7233550548553467,0.007432557176798582,0.006658895406872034,12.0,0.3,M12_eta0.3
NOG,10001,876,73.0,449536,212992,876,8.607486248016357,100,0.1,12.0,0.3,y_bar,0.723195493221283,0.007065876852720976,0.7231696844100952,0.0076483869925141335,0.723195493221283,0.007065876852720976,0.007966670207679272,12.0,0.3,M12_eta0.3
NOG,10001,948,79.0,486400,229376,948,9.333479642868042,100,0.1,12.0,0.3,y_bar,0.7230033278465271,0.007318689953535795,0.7229868173599243,0.006458026822656393,0.7230033278465271,0.007318689953535795,0.008254875428974628,12.0,0.3,M12_eta0.3
NOG,10001,960,80.0,492544,245760,960,9.520232439041138,100,0.1,12.0,0.3,y_bar,0.7229752540588379,0.007018395699560642,0.7229704856872559,0.007491380907595158,0.7229752540588379,0.007018395699560642,0.007558191195130348,12.0,0.3,M12_eta0.3
SmoothedSGD,20001,1,,512,8192,1,0.0612180233001709,100,0.1,,0.05,x,0.7247974276542664,0.010059170424938202,0.7247974276542664,0.010059170424938202,,,,,0.05,SmoothedSGD
SmoothedSGD,20001,64,,32768,16384,64,0.5722923278808594,100,0.1,,0.05,x,0.7248014807701111,0.009586954489350319,0.7248014807701111,0.009586954489350319,,,,,0.05,SmoothedSGD
SmoothedSGD,20001,128,,65536,24576,128,1.0869317054748535,100,0.1,,0.05,x,0.7247956991195679,0.00855634082108736,0.7247956991195679,0.00855634082108736,,,,,0.05,SmoothedSGD
SmoothedSGD,20001,192,,98304,32768,192,1.6057608127593994,100,0.1,,0.05,x,0.7247929573059082,0.007720666937530041,0.7247929573059082,0.007720666937530041,,,,,0.05,SmoothedSGD
SmoothedSGD,20001,256,,131072,40960,256,2.0784053802490234,100,0.1,,0.05,x,0.7247902750968933,0.006494465284049511,0.7247902750968933,0.006494465284049511,,,,,0.05,SmoothedSGD
SmoothedSGD,20001,320,,163840,49152,320,2.577875852584839,100,0.1,,0.05,x,0.724772036075592,0.006951925810426474,0.724772036075592,0.006951925810426474,,,,,0.05,SmoothedSGD
SmoothedSGD,20001,384,,196608,57344,384,3.0826008319854736,100,0.1,,0.05,x,0.7247588634490967,0.006814970169216394,0.7247588634490967,0.006814970169216394,,,,,0.05,SmoothedSGD
SmoothedSGD,20001,448,,229376,65536,448,3.66310453414917,100,0.1,,0.05,x,0.7247486114501953,0.007296431809663773,0.7247486114501953,0.007296431809663773,,,,,0.05,SmoothedSGD
SmoothedSGD,20001,512,,262144,73728,512,4.224424600601196,100,0.1,,0.05,x,0.7247264981269836,0.0068803587928414345,0.7247264981269836,0.0068803587928414345,,,,,0.05,SmoothedSGD
SmoothedSGD,20001,576,,294912,81920,576,4.810934782028198,100,0.1,,0.05,x,0.7247045636177063,0.007424568757414818,0.7247045636177063,0.007424568757414818,,,,,0.05,SmoothedSGD
SmoothedSGD,20001,640,,327680,90112,640,5.354887962341309,100,0.1,,0.05,x,0.7246723771095276,0.007577796466648579,0.7246723771095276,0.007577796466648579,,,,,0.05,SmoothedSGD
SmoothedSGD,20001,704,,360448,98304,704,5.903836727142334,100,0.1,,0.05,x,0.7246500253677368,0.006645518820732832,0.7246500253677368,0.006645518820732832,,,,,0.05,SmoothedSGD
SmoothedSGD,20001,768,,393216,106496,768,6.490367412567139,100,0.1,,0.05,x,0.7246228456497192,0.00647808238863945,0.7246228456497192,0.00647808238863945,,,,,0.05,SmoothedSGD
SmoothedSGD,20001,832,,425984,114688,832,7.01834511756897,100,0.1,,0.05,x,0.7246057391166687,0.0068775685504078865,0.7246057391166687,0.0068775685504078865,,,,,0.05,SmoothedSGD
SmoothedSGD,20001,896,,458752,122880,896,7.58588981628418,100,0.1,,0.05,x,0.7245810627937317,0.006047317758202553,0.7245810627937317,0.006047317758202553,,,,,0.05,SmoothedSGD
SmoothedSGD,20001,960,,491520,131072,960,8.081436395645142,100,0.1,,0.05,x,0.7245696783065796,0.006972718983888626,0.7245696783065796,0.006972718983888626,,,,,0.05,SmoothedSGD
NOG,10002,12,1.0,7168,16384,12,0.2151169776916504,100,0.1,12.0,0.3,y_bar,0.7225372195243835,0.011724680662155151,0.722538411617279,0.010545537807047367,0.7225372195243835,0.011724680662155151,0.01205794420093298,12.0,0.3,M12_eta0.3
NOG,10002,84,7.0,44032,32768,84,0.9809110164642334,100,0.1,12.0,0.3,y_bar,0.7222414612770081,0.007385872770100832,0.7222264409065247,0.008843888528645039,0.7222414612770081,0.007385872770100832,0.0078092231415212154,12.0,0.3,M12_eta0.3
NOG,10002,156,13.0,80896,49152,156,1.701096773147583,100,0.1,12.0,0.3,y_bar,0.7219932675361633,0.007497415877878666,0.721967339515686,0.008442305028438568,0.7219932675361633,0.007497415877878666,0.00840625911951065,12.0,0.3,M12_eta0.3
