threshold,method,seed,hit,first_hit_round,first_hit_work,first_hit_eval_work,first_hit_time_sec,first_hit_stat_proxy,first_hit_objective,final_stat_proxy,final_objective
0.012,NOG,10000,True,12.0,7168.0,16384.0,0.20905208587646484,0.011029116809368134,0.72622150182724,0.007541374769061804,0.7227508425712585
0.012,NOG,10001,True,12.0,7168.0,16384.0,0.21199584007263184,0.00992508977651596,0.7248396277427673,0.007018395699560642,0.7229752540588379
0.012,NOG,10002,True,12.0,7168.0,16384.0,0.2151169776916504,0.011724680662155151,0.7225372195243835,0.006701142061501741,0.7195964455604553
0.012,NOG,10003,True,12.0,7168.0,16384.0,0.2149827480316162,0.011015440337359905,0.7274214625358582,0.006672304589301348,0.7245553135871887
0.012,NOG,10004,True,12.0,7168.0,16384.0,0.17869329452514648,0.009202796034514904,0.7266470193862915,0.007071743719279766,0.7251401543617249
0.012,NOG,10005,True,12.0,7168.0,16384.0,0.240372896194458,0.009786644019186497,0.7305158972740173,0.006637115962803364,0.7289180159568787
0.012,NOG,10006,True,12.0,7168.0,16384.0,0.2266852855682373,0.010658513754606247,0.7268765568733215,0.00798963475972414,0.7243121266365051
0.012,NOG,10007,True,84.0,44032.0,32768.0,0.8957996368408203,0.00819824542850256,0.7243998050689697,0.008328791707754135,0.7209026217460632
0.012,NOG,10008,True,12.0,7168.0,16384.0,0.2479255199432373,0.010148885659873486,0.7205423712730408,0.0077016898430883884,0.7171528935432434
0.012,NOG,10009,True,84.0,44032.0,32768.0,0.9296066761016846,0.008164101280272007,0.7234292030334473,0.007619023788720369,0.7219770550727844
0.012,SmoothedSGD,20000,True,64.0,32768.0,16384.0,0.6321117877960205,0.00988518912345171,0.7261610627174377,0.008192349225282669,0.7255168557167053
0.012,SmoothedSGD,20001,True,1.0,512.0,8192.0,0.0612180233001709,0.010059170424938202,0.7247974276542664,0.006972718983888626,0.7245696783065796
0.012,SmoothedSGD,20002,True,1.0,512.0,8192.0,0.05758810043334961,0.01061572041362524,0.722525417804718,0.00751896807923913,0.7219439744949341
0.012,SmoothedSGD,20003,True,1.0,512.0,8192.0,0.06222033500671387,0.01091588195413351,0.7273703217506409,0.007311786059290171,0.7270264029502869
0.012,SmoothedSGD,20004,True,1.0,512.0,8192.0,0.0706017017364502,0.009623244404792786,0.7265936732292175,0.006930860225111246,0.7264286279678345
0.012,SmoothedSGD,20005,True,1.0,512.0,8192.0,0.06367969512939453,0.011797836981713772,0.7304803133010864,0.006789582781493664,0.7302270531654358
