threshold,method,hit_rate,first_hit_round_mean,first_hit_round_std,first_hit_work_mean,first_hit_work_std,first_hit_time_sec_mean,first_hit_time_sec_std,final_stat_proxy_mean,final_objective_mean
0.007,NOG,1.0,474.0,274.29910681589905,243712.0,140441.1426897403,4.620552897453308,2.7845160721130355,0.00732812169007957,0.722828072309494
0.007,SmoothedSGD,1.0,454.4,166.48203106241428,232652.8,85238.79990395611,3.864697074890137,1.449531593535799,0.007430609688162804,0.7249284267425538
0.0075,NOG,1.0,177.6,127.22263949470629,91955.2,65137.99142128962,1.7829551935195922,1.1469575586922205,0.00732812169007957,0.722828072309494
0.0075,SmoothedSGD,1.0,352.0,128.8858237183421,180224.0,65989.54174379115,3.036262369155884,1.1345902363381324,0.007430609688162804,0.7249284267425538
0.008,NOG,1.0,105.6,34.77930419085465,55091.2,17807.003745717582,1.1074373245239257,0.29581451569317513,0.00732812169007957,0.722828072309494
0.008,SmoothedSGD,1.0,230.4,53.96953873354034,117964.8,27632.403831572654,2.0210837602615355,0.4614556400065937,0.007430609688162804,0.7249284267425538
0.009,NOG,1.0,91.2,22.768399153212332,47718.4,11657.420366444714,0.978972053527832,0.18201799753924602,0.00732812169007957,0.722828072309494
0.009,SmoothedSGD,1.0,140.8,50.483880815783394,72089.6,25847.746977681098,1.2609014511108398,0.4583710189031346,0.007430609688162804,0.7249284267425538
0.01,NOG,1.0,62.4,34.77930419085465,32972.8,17807.003745717582,0.7093923091888428,0.34637698481376006,0.00732812169007957,0.722828072309494
0.01,SmoothedSGD,1.0,83.3,52.51465403950491,42649.6,26887.502868226515,0.7795658111572266,0.4860368033461415,0.007430609688162804,0.7249284267425538
0.012,NOG,1.0,26.4,30.35786553761644,14540.8,15543.227155259618,0.3570230960845947,0.29357419315205624,0.00732812169007957,0.722828072309494
0.012,SmoothedSGD,1.0,19.9,30.43189116699782,10188.8,15581.128277502883,0.24568943977355956,0.28810500254144444,0.007430609688162804,0.7249284267425538
