method,seed,round,block_id,work,eval_work,communication_round,time_sec,d,delta,M,lr_or_eta,eval_point,objective,stat_proxy,objective_x,stat_proxy_x,objective_ybar,stat_proxy_ybar,block_oracle_norm
NOG,10000,8,1.0,5120,16384,8,0.19072699546813965,100,0.1,8.0,0.3,y_bar,0.726273775100708,0.010669452138245106,0.7262480854988098,0.009170482866466045,0.726273775100708,0.010669452138245106,0.013802846893668175
NOG,10000,72,9.0,37888,32768,72,0.7967309951782227,100,0.1,8.0,0.3,y_bar,0.7255768179893494,0.008547602221369743,0.7255416512489319,0.008719708770513535,0.7255768179893494,0.008547602221369743,0.010113158263266087
NOG,10000,136,17.0,70656,49152,136,1.3920936584472656,100,0.1,8.0,0.3,y_bar,0.724933385848999,0.00866352766752243,0.7249166369438171,0.009345170110464096,0.724933385848999,0.00866352766752243,0.00851496122777462
NOG,10000,200,25.0,103424,65536,200,2.415947914123535,100,0.1,8.0,0.3,y_bar,0.7243078351020813,0.007185487542301416,0.7242811322212219,0.0073536778800189495,0.7243078351020813,0.007185487542301416,0.00923785101622343
NOG,10000,264,33.0,136192,81920,264,3.0833559036254883,100,0.1,8.0,0.3,y_bar,0.7238077521324158,0.007343743462115526,0.7237745523452759,0.006970669608563185,0.7238077521324158,0.007343743462115526,0.009638624265789986
NOG,10000,328,41.0,168960,98304,328,3.6975488662719727,100,0.1,8.0,0.3,y_bar,0.7233144044876099,0.00798267312347889,0.7233127355575562,0.007160941604524851,0.7233144044876099,0.00798267312347889,0.008234000764787197
NOG,10000,392,49.0,201728,114688,392,4.296644449234009,100,0.1,8.0,0.3,y_bar,0.7227739691734314,0.00787048414349556,0.7227615714073181,0.0077684842981398106,0.7227739691734314,0.00787048414349556,0.009737166576087475
NOG,10000,456,57.0,234496,131072,456,4.880986452102661,100,0.1,8.0,0.3,y_bar,0.7223469614982605,0.00803709402680397,0.7223383784294128,0.007805609609931707,0.7223469614982605,0.00803709402680397,0.009398325346410275
NOG,10000,520,65.0,267264,147456,520,5.472468137741089,100,0.1,8.0,0.3,y_bar,0.7219189405441284,0.007200684864073992,0.7218766212463379,0.008403820917010307,0.7219189405441284,0.007200684864073992,0.011388837359845638
NOG,10000,584,73.0,300032,163840,584,6.037068128585815,100,0.1,8.0,0.3,y_bar,0.7215713262557983,0.007550925016403198,0.7215771079063416,0.007706420961767435,0.7215713262557983,0.007550925016403198,0.008696221746504307
NOG,10000,648,81.0,332800,180224,648,6.58404016494751,100,0.1,8.0,0.3,y_bar,0.7213141322135925,0.008248943835496902,0.721327006816864,0.008345973677933216,0.7213141322135925,0.008248943835496902,0.00840346422046423
NOG,10000,712,89.0,365568,196608,712,7.180757522583008,100,0.1,8.0,0.3,y_bar,0.7211307883262634,0.007816123776137829,0.7211167216300964,0.007454541977494955,0.7211307883262634,0.007816123776137829,0.009831978008151054
NOG,10000,776,97.0,398336,212992,776,7.805699110031128,100,0.1,8.0,0.3,y_bar,0.7208719849586487,0.007194980513304472,0.7208219766616821,0.007788399700075388,0.7208719849586487,0.007194980513304472,0.010358817875385284
NOG,10000,840,105.0,431104,229376,840,8.38987112045288,100,0.1,8.0,0.3,y_bar,0.7205899953842163,0.007759726606309414,0.7205723524093628,0.007099718786776066,0.7205899953842163,0.007759726606309414,0.008966044522821903
NOG,10000,904,113.0,463872,245760,904,8.992600440979004,100,0.1,8.0,0.3,y_bar,0.7201898694038391,0.00667842011898756,0.7201917171478271,0.006551375146955252,0.7201898694038391,0.00667842011898756,0.01001222338527441
NOG,10000,968,121.0,496640,262144,968,9.573899269104004,100,0.1,8.0,0.3,y_bar,0.7200369238853455,0.00828207191079855,0.7200385332107544,0.008229765109717846,0.7200369238853455,0.00828207191079855,0.009367783553898335
NOG,10000,1024,128.0,525312,278528,1024,10.10554575920105,100,0.1,8.0,0.3,y_bar,0.7198763489723206,0.007886601611971855,0.7198972702026367,0.006311462260782719,0.7198763489723206,0.007886601611971855,0.01052380632609129
SmoothedSGD,20000,1,,512,8192,1,0.05910634994506836,100,0.1,,0.05,x,0.7262153029441833,0.012163667939603329,0.7262153029441833,0.012163667939603329,,,
SmoothedSGD,20000,64,,32768,16384,64,0.5327699184417725,100,0.1,,0.05,x,0.7261610627174377,0.00988518912345171,0.7261610627174377,0.00988518912345171,,,
SmoothedSGD,20000,128,,65536,24576,128,1.0494067668914795,100,0.1,,0.05,x,0.7261170744895935,0.009761733002960682,0.7261170744895935,0.009761733002960682,,,
SmoothedSGD,20000,192,,98304,32768,192,1.5562450885772705,100,0.1,,0.05,x,0.7260754108428955,0.0076640909537673,0.7260754108428955,0.0076640909537673,,,
SmoothedSGD,20000,256,,131072,40960,256,2.076599359512329,100,0.1,,0.05,x,0.7260231971740723,0.008454837836325169,0.7260231971740723,0.008454837836325169,,,
SmoothedSGD,20000,320,,163840,49152,320,2.578563690185547,100,0.1,,0.05,x,0.725980281829834,0.008692728355526924,0.725980281829834,0.008692728355526924,,,
SmoothedSGD,20000,384,,196608,57344,384,3.0836215019226074,100,0.1,,0.05,x,0.7259265780448914,0.008867277763783932,0.7259265780448914,0.008867277763783932,,,
SmoothedSGD,20000,448,,229376,65536,448,3.572316884994507,100,0.1,,0.05,x,0.7258859276771545,0.007991691119968891,0.7258859276771545,0.007991691119968891,,,
SmoothedSGD,20000,512,,262144,73728,512,4.086188554763794,100,0.1,,0.05,x,0.7258470058441162,0.007475186605006456,0.7258470058441162,0.007475186605006456,,,
SmoothedSGD,20000,576,,294912,81920,576,4.600806474685669,100,0.1,,0.05,x,0.7258005142211914,0.007310156244784594,0.7258005142211914,0.007310156244784594,,,
SmoothedSGD,20000,640,,327680,90112,640,5.130847692489624,100,0.1,,0.05,x,0.7257538437843323,0.007462002336978912,0.7257538437843323,0.007462002336978912,,,
SmoothedSGD,20000,704,,360448,98304,704,5.64035964012146,100,0.1,,0.05,x,0.7257049679756165,0.007756253704428673,0.7257049679756165,0.007756253704428673,,,
SmoothedSGD,20000,768,,393216,106496,768,6.168412208557129,100,0.1,,0.05,x,0.7256556749343872,0.008033241145312786,0.7256556749343872,0.008033241145312786,,,
SmoothedSGD,20000,832,,425984,114688,832,6.669435501098633,100,0.1,,0.05,x,0.7256137728691101,0.006847078911960125,0.7256137728691101,0.006847078911960125,,,
SmoothedSGD,20000,896,,458752,122880,896,7.17321252822876,100,0.1,,0.05,x,0.7255670428276062,0.008414150215685368,0.7255670428276062,0.008414150215685368,,,
SmoothedSGD,20000,960,,491520,131072,960,7.661617279052734,100,0.1,,0.05,x,0.7255168557167053,0.008192349225282669,0.7255168557167053,0.008192349225282669,,,
SmoothedSGD,20000,1024,,524288,139264,1024,8.179796695709229,100,0.1,,0.05,x,0.7254742980003357,0.00797814317047596,0.7254742980003357,0.00797814317047596,,,
NOG,10001,8,1.0,5120,16384,8,0.17023253440856934,100,0.1,8.0,0.3,y_bar,0.7248907685279846,0.010407515801489353,0.7249253988265991,0.009919002652168274,0.7248907685279846,0.010407515801489353,0.011322041042149067
NOG,10001,72,9.0,37888,32768,72,0.7484064102172852,100,0.1,8.0,0.3,y_bar,0.724689781665802,0.008066179230809212,0.72466641664505,0.00818004459142685,0.724689781665802,0.008066179230809212,0.008558551780879498
NOG,10001,136,17.0,70656,49152,136,1.345670223236084,100,0.1,8.0,0.3,y_bar,0.7243460416793823,0.00860885251313448,0.7243334054946899,0.008085365407168865,0.7243460416793823,0.00860885251313448,0.008585435338318348
NOG,10001,200,25.0,103424,65536,200,1.9327759742736816,100,0.1,8.0,0.3,y_bar,0.7239105701446533,0.007403024937957525,0.7238882780075073,0.0077851032838225365,0.7239105701446533,0.007403024937957525,0.00846781861037016
NOG,10001,264,33.0,136192,81920,264,2.520906686782837,100,0.1,8.0,0.3,y_bar,0.7237145900726318,0.00839997548609972,0.723663330078125,0.007629618514329195,0.7237145900726318,0.00839997548609972,0.009224966168403625
NOG,10001,328,41.0,168960,98304,328,3.1173055171966553,100,0.1,8.0,0.3,y_bar,0.7233573198318481,0.007456584367901087,0.723345160484314,0.007927684113383293,0.7233573198318481,0.007456584367901087,0.009868454188108444
