method,seed,round,block_id,work,eval_work,communication_round,time_sec,d,delta,M,lr_or_eta,eval_point,objective,stat_proxy,objective_x,stat_proxy_x,objective_ybar,stat_proxy_ybar,block_oracle_norm,sweep_M,sweep_eta,sweep_grid_id
NOG,10000,4,1.0,3072,16384,4,0.15980911254882812,50,0.1,4.0,0.1,y_bar,0.7281602621078491,0.011248467490077019,0.72819983959198,0.010643775574862957,0.7281602621078491,0.011248467490077019,0.012836293317377567,4.0,0.1,M4_eta0.1
NOG,10000,68,17.0,35840,32768,68,0.8532326221466064,50,0.1,4.0,0.1,y_bar,0.7260996699333191,0.00770755996927619,0.7260004281997681,0.007858894765377045,0.7260996699333191,0.00770755996927619,0.013749738223850727,4.0,0.1,M4_eta0.1
NOG,10000,132,33.0,68608,49152,132,1.5029118061065674,50,0.1,4.0,0.1,y_bar,0.7225196957588196,0.009301061742007732,0.722407877445221,0.009534576907753944,0.7225196957588196,0.009301061742007732,0.010530136525630951,4.0,0.1,M4_eta0.1
NOG,10000,196,49.0,101376,65536,196,2.1828932762145996,50,0.1,4.0,0.1,y_bar,0.7194496989250183,0.010259801521897316,0.7193596959114075,0.01120631955564022,0.7194496989250183,0.010259801521897316,0.015444002114236355,4.0,0.1,M4_eta0.1
NOG,10000,260,65.0,134144,81920,260,2.809077024459839,50,0.1,4.0,0.1,y_bar,0.7168864011764526,0.008854326792061329,0.7168155312538147,0.008569847792387009,0.7168864011764526,0.008854326792061329,0.014914121478796005,4.0,0.1,M4_eta0.1
NOG,10000,324,81.0,166912,98304,324,3.4399960041046143,50,0.1,4.0,0.1,y_bar,0.7143217921257019,0.010160611011087894,0.7142593860626221,0.007995172403752804,0.7143217921257019,0.010160611011087894,0.014885609969496727,4.0,0.1,M4_eta0.1
NOG,10000,388,97.0,199680,114688,388,4.082205772399902,50,0.1,4.0,0.1,y_bar,0.7129058837890625,0.007554117124527693,0.71291184425354,0.007710536476224661,0.7129058837890625,0.007554117124527693,0.014554943889379501,4.0,0.1,M4_eta0.1
NOG,10000,452,113.0,232448,131072,452,4.671324014663696,50,0.1,4.0,0.1,y_bar,0.7119342088699341,0.00907627772539854,0.7118921875953674,0.00786716490983963,0.7119342088699341,0.00907627772539854,0.01474764384329319,4.0,0.1,M4_eta0.1
NOG,10000,516,129.0,265216,147456,516,5.29163122177124,50,0.1,4.0,0.1,y_bar,0.7103089690208435,0.010941925458610058,0.7102230787277222,0.010822398588061333,0.7103089690208435,0.010941925458610058,0.012756875716149807,4.0,0.1,M4_eta0.1
NOG,10000,580,145.0,297984,163840,580,5.955123424530029,50,0.1,4.0,0.1,y_bar,0.707444429397583,0.009422252885997295,0.7073850035667419,0.008016850799322128,0.707444429397583,0.009422252885997295,0.01343582570552826,4.0,0.1,M4_eta0.1
NOG,10000,644,161.0,330752,180224,644,6.660689830780029,50,0.1,4.0,0.1,y_bar,0.706318199634552,0.010525593534111977,0.7062264084815979,0.007714306935667992,0.706318199634552,0.010525593534111977,0.015836207196116447,4.0,0.1,M4_eta0.1
NOG,10000,708,177.0,363520,196608,708,7.244288444519043,50,0.1,4.0,0.1,y_bar,0.7051783800125122,0.009872883558273315,0.7051762342453003,0.009766146540641785,0.7051783800125122,0.009872883558273315,0.01301590260118246,4.0,0.1,M4_eta0.1
NOG,10000,772,193.0,396288,212992,772,7.984984874725342,50,0.1,4.0,0.1,y_bar,0.7040502429008484,0.01108704973012209,0.7039930820465088,0.01046738214790821,0.7040502429008484,0.01108704973012209,0.017502157017588615,4.0,0.1,M4_eta0.1
NOG,10000,836,209.0,429056,229376,836,8.599199056625366,50,0.1,4.0,0.1,y_bar,0.7036037445068359,0.009698502719402313,0.7036219835281372,0.010247776284813881,0.7036037445068359,0.009698502719402313,0.01339062862098217,4.0,0.1,M4_eta0.1
NOG,10000,900,225.0,461824,245760,900,9.215471029281616,50,0.1,4.0,0.1,y_bar,0.703134298324585,0.01032641064375639,0.7031832933425903,0.008346717804670334,0.703134298324585,0.01032641064375639,0.014419907703995705,4.0,0.1,M4_eta0.1
NOG,10000,960,240.0,492544,262144,960,9.804543733596802,50,0.1,4.0,0.1,y_bar,0.7033238410949707,0.008634478785097599,0.7032787203788757,0.0082541573792696,0.7033238410949707,0.008634478785097599,0.01414659433066845,4.0,0.1,M4_eta0.1
NOG,10000,4,1.0,3072,16384,4,0.18864750862121582,50,0.1,4.0,0.2,y_bar,0.7281996011734009,0.011024155654013157,0.7282722592353821,0.010414703749120235,0.7281996011734009,0.011024155654013157,0.012533837929368019,4.0,0.2,M4_eta0.2
NOG,10000,68,17.0,35840,32768,68,0.8537647724151611,50,0.1,4.0,0.2,y_bar,0.7256681323051453,0.007286941632628441,0.7255871891975403,0.0070549375377595425,0.7256681323051453,0.007286941632628441,0.013842318207025528,4.0,0.2,M4_eta0.2
NOG,10000,132,33.0,68608,49152,132,1.5741779804229736,50,0.1,4.0,0.2,y_bar,0.7228129506111145,0.009330709464848042,0.7227352857589722,0.00992539245635271,0.7228129506111145,0.009330709464848042,0.010449085384607315,4.0,0.2,M4_eta0.2
NOG,10000,196,49.0,101376,65536,196,2.2370402812957764,50,0.1,4.0,0.2,y_bar,0.7203076481819153,0.008097643032670021,0.7202870845794678,0.008463526144623756,0.7203076481819153,0.008097643032670021,0.014987262897193432,4.0,0.2,M4_eta0.2
NOG,10000,260,65.0,134144,81920,260,2.802213430404663,50,0.1,4.0,0.2,y_bar,0.7189790606498718,0.01008166279643774,0.7188595533370972,0.007285116706043482,0.7189790606498718,0.01008166279643774,0.013998055830597878,4.0,0.2,M4_eta0.2
NOG,10000,324,81.0,166912,98304,324,3.383415699005127,50,0.1,4.0,0.2,y_bar,0.7164272665977478,0.008026215247809887,0.7163227200508118,0.008497892878949642,0.7164272665977478,0.008026215247809887,0.013550994917750359,4.0,0.2,M4_eta0.2
NOG,10000,388,97.0,199680,114688,388,4.112680196762085,50,0.1,4.0,0.2,y_bar,0.7143300175666809,0.008188881911337376,0.7142658233642578,0.008527622558176517,0.7143300175666809,0.008188881911337376,0.013891085051000118,4.0,0.2,M4_eta0.2
NOG,10000,452,113.0,232448,131072,452,4.841370105743408,50,0.1,4.0,0.2,y_bar,0.7129273414611816,0.008186228573322296,0.7128761410713196,0.009072165004909039,0.7129273414611816,0.008186228573322296,0.01526407990604639,4.0,0.2,M4_eta0.2
NOG,10000,516,129.0,265216,147456,516,5.477826118469238,50,0.1,4.0,0.2,y_bar,0.7116431593894958,0.00869064498692751,0.7116032838821411,0.008363926783204079,0.7116431593894958,0.00869064498692751,0.01238527987152338,4.0,0.2,M4_eta0.2
NOG,10000,580,145.0,297984,163840,580,6.062399625778198,50,0.1,4.0,0.2,y_bar,0.710142195224762,0.008943343535065651,0.710105836391449,0.008533231914043427,0.710142195224762,0.008943343535065651,0.013694063760340214,4.0,0.2,M4_eta0.2
NOG,10000,644,161.0,330752,180224,644,6.673034906387329,50,0.1,4.0,0.2,y_bar,0.7091364860534668,0.009436197578907013,0.7090986371040344,0.009803775697946548,0.7091364860534668,0.009436197578907013,0.015705464407801628,4.0,0.2,M4_eta0.2
NOG,10000,708,177.0,363520,196608,708,7.296927213668823,50,0.1,4.0,0.2,y_bar,0.7083621025085449,0.008008657023310661,0.7083041667938232,0.00933123379945755,0.7083621025085449,0.008008657023310661,0.015560547821223736,4.0,0.2,M4_eta0.2
NOG,10000,772,193.0,396288,212992,772,7.913994550704956,50,0.1,4.0,0.2,y_bar,0.7079115509986877,0.00997961312532425,0.7078604102134705,0.00835669320076704,0.7079115509986877,0.00997961312532425,0.01640155538916588,4.0,0.2,M4_eta0.2
NOG,10000,836,209.0,429056,229376,836,8.512121438980103,50,0.1,4.0,0.2,y_bar,0.7071378231048584,0.00936977006494999,0.7071397304534912,0.007085515186190605,0.7071378231048584,0.00936977006494999,0.013017681427299976,4.0,0.2,M4_eta0.2
NOG,10000,900,225.0,461824,245760,900,9.19467306137085,50,0.1,4.0,0.2,y_bar,0.7055394053459167,0.009674876928329468,0.7054826617240906,0.009341582655906677,0.7055394053459167,0.009674876928329468,0.016246192157268524,4.0,0.2,M4_eta0.2
NOG,10000,960,240.0,492544,262144,960,9.864741325378418,50,0.1,4.0,0.2,y_bar,0.7053033113479614,0.009496898390352726,0.7053325772285461,0.008889530785381794,0.7053033113479614,0.009496898390352726,0.01636606827378273,4.0,0.2,M4_eta0.2
NOG,10000,4,1.0,3072,16384,4,0.17114782333374023,50,0.1,4.0,0.3,y_bar,0.7282374501228333,0.010944035835564137,0.7283422350883484,0.010425311513245106,0.7282374501228333,0.010944035835564137,0.012442567385733128,4.0,0.3,M4_eta0.3
NOG,10000,68,17.0,35840,32768,68,0.7703146934509277,50,0.1,4.0,0.3,y_bar,0.7260220646858215,0.007550524082034826,0.7260137796401978,0.007213773671537638,0.7260220646858215,0.007550524082034826,0.012825424782931805,4.0,0.3,M4_eta0.3
NOG,10000,132,33.0,68608,49152,132,1.3268404006958008,50,0.1,4.0,0.3,y_bar,0.7237000465393066,0.008841670118272305,0.7236716151237488,0.008499512448906898,0.7237000465393066,0.008841670118272305,0.010587615892291069,4.0,0.3,M4_eta0.3
NOG,10000,196,49.0,101376,65536,196,1.946761131286621,50,0.1,4.0,0.3,y_bar,0.7211642265319824,0.009442456997931004,0.7211412787437439,0.008732914924621582,0.7211642265319824,0.009442456997931004,0.013682551681995392,4.0,0.3,M4_eta0.3
NOG,10000,260,65.0,134144,81920,260,2.63103985786438,50,0.1,4.0,0.3,y_bar,0.7197116613388062,0.007680660113692284,0.7196760177612305,0.007316005881875753,0.7197116613388062,0.007680660113692284,0.011618293821811676,4.0,0.3,M4_eta0.3
NOG,10000,324,81.0,166912,98304,324,3.2911994457244873,50,0.1,4.0,0.3,y_bar,0.7183114886283875,0.008134246803820133,0.7182263135910034,0.008705249056220055,0.7183114886283875,0.008134246803820133,0.012631915509700775,4.0,0.3,M4_eta0.3
NOG,10000,388,97.0,199680,114688,388,3.8592758178710938,50,0.1,4.0,0.3,y_bar,0.7166209816932678,0.00892129447311163,0.7165647149085999,0.007684880867600441,0.7166209816932678,0.00892129447311163,0.011630390770733356,4.0,0.3,M4_eta0.3
NOG,10000,452,113.0,232448,131072,452,4.48749852180481,50,0.1,4.0,0.3,y_bar,0.7149298191070557,0.008026186376810074,0.7148588299751282,0.009965506382286549,0.7149298191070557,0.008026186376810074,0.01538297813385725,4.0,0.3,M4_eta0.3
NOG,10000,516,129.0,265216,147456,516,5.1575822830200195,50,0.1,4.0,0.3,y_bar,0.7135878801345825,0.009790252894163132,0.7135199904441833,0.008552135899662971,0.7135878801345825,0.009790252894163132,0.012823067605495453,4.0,0.3,M4_eta0.3
NOG,10000,580,145.0,297984,163840,580,5.834745168685913,50,0.1,4.0,0.3,y_bar,0.7125033736228943,0.007680177688598633,0.7124850153923035,0.0073492564260959625,0.7125033736228943,0.007680177688598633,0.01497966144233942,4.0,0.3,M4_eta0.3
NOG,10000,644,161.0,330752,180224,644,6.502331256866455,50,0.1,4.0,0.3,y_bar,0.7108604907989502,0.009586816653609276,0.7107750773429871,0.00862268265336752,0.7108604907989502,0.009586816653609276,0.014500713907182217,4.0,0.3,M4_eta0.3
NOG,10000,708,177.0,363520,196608,708,7.115491628646851,50,0.1,4.0,0.3,y_bar,0.7089900970458984,0.007218345534056425,0.7089643478393555,0.0074697090312838554,0.7089900970458984,0.007218345534056425,0.017575059086084366,4.0,0.3,M4_eta0.3
NOG,10000,772,193.0,396288,212992,772,7.767719745635986,50,0.1,4.0,0.3,y_bar,0.7080345749855042,0.008669322356581688,0.7079983949661255,0.00878961943089962,0.7080345749855042,0.008669322356581688,0.013500574976205826,4.0,0.3,M4_eta0.3
NOG,10000,836,209.0,429056,229376,836,8.434235334396362,50,0.1,4.0,0.3,y_bar,0.7074950337409973,0.00975544098764658,0.7074552774429321,0.007159157656133175,0.7074950337409973,0.00975544098764658,0.015085860155522823,4.0,0.3,M4_eta0.3
NOG,10000,900,225.0,461824,245760,900,9.10204815864563,50,0.1,4.0,0.3,y_bar,0.7071177363395691,0.008902705274522305,0.7071349024772644,0.010095241479575634,0.7071177363395691,0.008902705274522305,0.01424309704452753,4.0,0.3,M4_eta0.3
NOG,10000,960,240.0,492544,262144,960,9.71308708190918,50,0.1,4.0,0.3,y_bar,0.7068021893501282,0.007923955097794533,0.7067291140556335,0.008504179306328297,0.7068021893501282,0.007923955097794533,0.01479534711688757,4.0,0.3,M4_eta0.3
NOG,10000,4,1.0,3072,16384,4,0.18015432357788086,50,0.1,4.0,0.5,y_bar,0.7282589077949524,0.010888438671827316,0.728360652923584,0.010415156371891499,0.7282589077949524,0.010888438671827316,0.012377161532640457,4.0,0.5,M4_eta0.5
NOG,10000,68,17.0,35840,32768,68,0.9429154396057129,50,0.1,4.0,0.5,y_bar,0.7267611026763916,0.006670863833278418,0.726747989654541,0.006196696776896715,0.7267611026763916,0.006670863833278418,0.013152171857655048,4.0,0.5,M4_eta0.5
NOG,10000,132,33.0,68608,49152,132,1.4986088275909424,50,0.1,4.0,0.5,y_bar,0.7253409028053284,0.008482442237436771,0.7252994179725647,0.008082159794867039,0.7253409028053284,0.008482442237436771,0.012127682566642761,4.0,0.5,M4_eta0.5
NOG,10000,196,49.0,101376,65536,196,2.154181718826294,50,0.1,4.0,0.5,y_bar,0.7240027189254761,0.008760088123381138,0.723995566368103,0.007983691059052944,0.7240027189254761,0.008760088123381138,0.014042388647794724,4.0,0.5,M4_eta0.5
NOG,10000,260,65.0,134144,81920,260,2.849886178970337,50,0.1,4.0,0.5,y_bar,0.7224184274673462,0.007923386059701443,0.7223828434944153,0.007932065986096859,0.7224184274673462,0.007923386059701443,0.011270453222095966,4.0,0.5,M4_eta0.5
