method,seed,round,block_id,work,eval_work,communication_round,time_sec,d,delta,M,lr_or_eta,eval_point,objective,stat_proxy,objective_x,stat_proxy_x,objective_ybar,stat_proxy_ybar,block_oracle_norm,sweep_M,sweep_eta,sweep_grid_id
NOG,10000,12,1.0,7168,16384,12,0.25383830070495605,50,0.1,12.0,0.2,y_bar,0.7281853556632996,0.01127309538424015,0.728212296962738,0.0091702900826931,0.7281853556632996,0.01127309538424015,0.009975672699511051,12.0,0.2,M12_eta0.2
NOG,10000,84,7.0,44032,32768,84,0.960594892501831,50,0.1,12.0,0.2,y_bar,0.7277513742446899,0.007187622133642435,0.7277107238769531,0.009349780157208443,0.7277513742446899,0.007187622133642435,0.008823379874229431,12.0,0.2,M12_eta0.2
NOG,10000,156,13.0,80896,49152,156,1.705286979675293,50,0.1,12.0,0.2,y_bar,0.7271947264671326,0.007922829128801823,0.7271567583084106,0.007135964930057526,0.7271947264671326,0.007922829128801823,0.007102297153323889,12.0,0.2,M12_eta0.2
NOG,10000,228,19.0,117760,65536,228,2.3754160404205322,50,0.1,12.0,0.2,y_bar,0.7266200184822083,0.007580280769616365,0.7265582084655762,0.007658667862415314,0.7266200184822083,0.007580280769616365,0.007705045398324728,12.0,0.2,M12_eta0.2
NOG,10000,300,25.0,154624,81920,300,3.2308430671691895,50,0.1,12.0,0.2,y_bar,0.7262275218963623,0.009114277549088001,0.7262219786643982,0.006696232594549656,0.7262275218963623,0.009114277549088001,0.006992189679294825,12.0,0.2,M12_eta0.2
NOG,10000,372,31.0,191488,98304,372,4.041347980499268,50,0.1,12.0,0.2,y_bar,0.7257524728775024,0.008102976717054844,0.7257005572319031,0.0072467816062271595,0.7257524728775024,0.008102976717054844,0.00920967198908329,12.0,0.2,M12_eta0.2
NOG,10000,444,37.0,228352,114688,444,4.784860372543335,50,0.1,12.0,0.2,y_bar,0.7252359986305237,0.006649094168096781,0.7251976132392883,0.008104369044303894,0.7252359986305237,0.006649094168096781,0.008681838400661945,12.0,0.2,M12_eta0.2
NOG,10000,516,43.0,265216,131072,516,5.631130695343018,50,0.1,12.0,0.2,y_bar,0.7248162031173706,0.00842479057610035,0.724800705909729,0.007830880582332611,0.7248162031173706,0.00842479057610035,0.008574696257710457,12.0,0.2,M12_eta0.2
NOG,10000,588,49.0,302080,147456,588,6.3750104904174805,50,0.1,12.0,0.2,y_bar,0.7243608236312866,0.008890670724213123,0.7243413925170898,0.006457326002418995,0.7243608236312866,0.008890670724213123,0.0083199767395854,12.0,0.2,M12_eta0.2
NOG,10000,660,55.0,338944,163840,660,7.110330820083618,50,0.1,12.0,0.2,y_bar,0.723935067653656,0.007964042015373707,0.7239038944244385,0.007001837249845266,0.723935067653656,0.007964042015373707,0.008147120475769043,12.0,0.2,M12_eta0.2
NOG,10000,732,61.0,375808,180224,732,7.844591379165649,50,0.1,12.0,0.2,y_bar,0.7235838174819946,0.007974323816597462,0.723557710647583,0.007121852599084377,0.7235838174819946,0.007974323816597462,0.007249529007822275,12.0,0.2,M12_eta0.2
NOG,10000,804,67.0,412672,196608,804,8.560616254806519,50,0.1,12.0,0.2,y_bar,0.7233351469039917,0.007282272446900606,0.72333163022995,0.008210771717131138,0.7233351469039917,0.007282272446900606,0.007145219948142767,12.0,0.2,M12_eta0.2
NOG,10000,876,73.0,449536,212992,876,9.25927209854126,50,0.1,12.0,0.2,y_bar,0.7229765057563782,0.007069536484777927,0.7229235172271729,0.007206826936453581,0.7229765057563782,0.007069536484777927,0.009945635683834553,12.0,0.2,M12_eta0.2
NOG,10000,948,79.0,486400,229376,948,9.985533952713013,50,0.1,12.0,0.2,y_bar,0.7225880026817322,0.007339452393352985,0.7225613594055176,0.0056421272456645966,0.7225880026817322,0.007339452393352985,0.008930849842727184,12.0,0.2,M12_eta0.2
NOG,10000,960,80.0,492544,245760,960,10.188920259475708,50,0.1,12.0,0.2,y_bar,0.7225117683410645,0.0068219443783164024,0.722510576248169,0.007654744666069746,0.7225117683410645,0.0068219443783164024,0.008051326498389244,12.0,0.2,M12_eta0.2
SmoothedSGD,20000,1,,512,8192,1,0.0735616683959961,50,0.1,,0.05,x,0.728122353553772,0.01043266337364912,0.728122353553772,0.01043266337364912,,,,,0.05,SmoothedSGD
SmoothedSGD,20000,64,,32768,16384,64,0.5607607364654541,50,0.1,,0.05,x,0.728081464767456,0.008948451839387417,0.728081464767456,0.008948451839387417,,,,,0.05,SmoothedSGD
SmoothedSGD,20000,128,,65536,24576,128,1.094696283340454,50,0.1,,0.05,x,0.7280488610267639,0.008326130919158459,0.7280488610267639,0.008326130919158459,,,,,0.05,SmoothedSGD
SmoothedSGD,20000,192,,98304,32768,192,1.6507582664489746,50,0.1,,0.05,x,0.7280129194259644,0.008138991892337799,0.7280129194259644,0.008138991892337799,,,,,0.05,SmoothedSGD
SmoothedSGD,20000,256,,131072,40960,256,2.202125072479248,50,0.1,,0.05,x,0.727975070476532,0.007414993830025196,0.727975070476532,0.007414993830025196,,,,,0.05,SmoothedSGD
SmoothedSGD,20000,320,,163840,49152,320,2.7872726917266846,50,0.1,,0.05,x,0.7279358506202698,0.008482608944177628,0.7279358506202698,0.008482608944177628,,,,,0.05,SmoothedSGD
SmoothedSGD,20000,384,,196608,57344,384,3.379061460494995,50,0.1,,0.05,x,0.7278985977172852,0.007691880222409964,0.7278985977172852,0.007691880222409964,,,,,0.05,SmoothedSGD
SmoothedSGD,20000,448,,229376,65536,448,3.943366765975952,50,0.1,,0.05,x,0.7278740406036377,0.0064078448340296745,0.7278740406036377,0.0064078448340296745,,,,,0.05,SmoothedSGD
SmoothedSGD,20000,512,,262144,73728,512,4.522696256637573,50,0.1,,0.05,x,0.7278406620025635,0.007695082109421492,0.7278406620025635,0.007695082109421492,,,,,0.05,SmoothedSGD
SmoothedSGD,20000,576,,294912,81920,576,5.106287479400635,50,0.1,,0.05,x,0.7278002500534058,0.007402036804705858,0.7278002500534058,0.007402036804705858,,,,,0.05,SmoothedSGD
SmoothedSGD,20000,640,,327680,90112,640,5.685966491699219,50,0.1,,0.05,x,0.72777259349823,0.007430672645568848,0.72777259349823,0.007430672645568848,,,,,0.05,SmoothedSGD
SmoothedSGD,20000,704,,360448,98304,704,6.300464153289795,50,0.1,,0.05,x,0.7277361154556274,0.008118481375277042,0.7277361154556274,0.008118481375277042,,,,,0.05,SmoothedSGD
SmoothedSGD,20000,768,,393216,106496,768,6.8142969608306885,50,0.1,,0.05,x,0.7276961207389832,0.007177082356065512,0.7276961207389832,0.007177082356065512,,,,,0.05,SmoothedSGD
SmoothedSGD,20000,832,,425984,114688,832,7.313787221908569,50,0.1,,0.05,x,0.7276561260223389,0.007830370217561722,0.7276561260223389,0.007830370217561722,,,,,0.05,SmoothedSGD
SmoothedSGD,20000,896,,458752,122880,896,7.8548970222473145,50,0.1,,0.05,x,0.7276211380958557,0.006705255713313818,0.7276211380958557,0.006705255713313818,,,,,0.05,SmoothedSGD
SmoothedSGD,20000,960,,491520,131072,960,8.384199857711792,50,0.1,,0.05,x,0.7275841236114502,0.008666394278407097,0.7275841236114502,0.008666394278407097,,,,,0.05,SmoothedSGD
NOG,10001,12,1.0,7168,16384,12,0.17719173431396484,50,0.1,12.0,0.2,y_bar,0.7279499769210815,0.009220586158335209,0.7279109358787537,0.009372967295348644,0.7279499769210815,0.009220586158335209,0.009682225063443184,12.0,0.2,M12_eta0.2
NOG,10001,84,7.0,44032,32768,84,0.8014359474182129,50,0.1,12.0,0.2,y_bar,0.7273407578468323,0.007362077943980694,0.7273210883140564,0.007500987965613604,0.7273407578468323,0.007362077943980694,0.008475023321807384,12.0,0.2,M12_eta0.2
NOG,10001,156,13.0,80896,49152,156,1.4106240272521973,50,0.1,12.0,0.2,y_bar,0.7268086671829224,0.006927341688424349,0.7267729640007019,0.006896574050188065,0.7268086671829224,0.006927341688424349,0.008248277939856052,12.0,0.2,M12_eta0.2
NOG,10001,228,19.0,117760,65536,228,2.010708808898926,50,0.1,12.0,0.2,y_bar,0.7263563871383667,0.007410708349198103,0.7263090014457703,0.008969833143055439,0.7263563871383667,0.007410708349198103,0.008959849365055561,12.0,0.2,M12_eta0.2
NOG,10001,300,25.0,154624,81920,300,2.6683359146118164,50,0.1,12.0,0.2,y_bar,0.7259442210197449,0.00699523463845253,0.7259308695793152,0.008398456498980522,0.7259442210197449,0.00699523463845253,0.006701002828776836,12.0,0.2,M12_eta0.2
NOG,10001,372,31.0,191488,98304,372,3.291714906692505,50,0.1,12.0,0.2,y_bar,0.7255390286445618,0.008706262335181236,0.7255271077156067,0.007510179653763771,0.7255390286445618,0.008706262335181236,0.008346740156412125,12.0,0.2,M12_eta0.2
NOG,10001,444,37.0,228352,114688,444,3.885795831680298,50,0.1,12.0,0.2,y_bar,0.7251676917076111,0.006296001840382814,0.7251377105712891,0.006838291417807341,0.7251676917076111,0.006296001840382814,0.008158929646015167,12.0,0.2,M12_eta0.2
NOG,10001,516,43.0,265216,131072,516,4.515405654907227,50,0.1,12.0,0.2,y_bar,0.7248031497001648,0.007089019287377596,0.7247727513313293,0.006942526903003454,0.7248031497001648,0.007089019287377596,0.008847514167428017,12.0,0.2,M12_eta0.2
NOG,10001,588,49.0,302080,147456,588,5.140890598297119,50,0.1,12.0,0.2,y_bar,0.7246086597442627,0.0075743962079286575,0.7245909571647644,0.006608667783439159,0.7246086597442627,0.0075743962079286575,0.007401305250823498,12.0,0.2,M12_eta0.2
NOG,10001,660,55.0,338944,163840,660,5.720311164855957,50,0.1,12.0,0.2,y_bar,0.7243072390556335,0.006816181819885969,0.7242791652679443,0.008298862725496292,0.7243072390556335,0.006816181819885969,0.007373793516308069,12.0,0.2,M12_eta0.2
NOG,10001,732,61.0,375808,180224,732,6.382703065872192,50,0.1,12.0,0.2,y_bar,0.7240304946899414,0.00721139507368207,0.7240116000175476,0.007131245918571949,0.7240304946899414,0.00721139507368207,0.0060745044611394405,12.0,0.2,M12_eta0.2
NOG,10001,804,67.0,412672,196608,804,7.143091678619385,50,0.1,12.0,0.2,y_bar,0.7237688899040222,0.006679436657577753,0.7237269282341003,0.00795747246593237,0.7237688899040222,0.006679436657577753,0.007315564900636673,12.0,0.2,M12_eta0.2
NOG,10001,876,73.0,449536,212992,876,7.912507772445679,50,0.1,12.0,0.2,y_bar,0.7235876321792603,0.006593654397875071,0.7235705256462097,0.0064206793904304504,0.7235876321792603,0.006593654397875071,0.007077543064951897,12.0,0.2,M12_eta0.2
NOG,10001,948,79.0,486400,229376,948,8.691059827804565,50,0.1,12.0,0.2,y_bar,0.7234731912612915,0.0075514353811740875,0.7234640717506409,0.007386892568320036,0.7234731912612915,0.0075514353811740875,0.0063977595418691635,12.0,0.2,M12_eta0.2
NOG,10001,960,80.0,492544,245760,960,8.913073062896729,50,0.1,12.0,0.2,y_bar,0.7234280705451965,0.006923486012965441,0.7234048247337341,0.007086027879267931,0.7234280705451965,0.006923486012965441,0.0071510314010083675,12.0,0.2,M12_eta0.2
SmoothedSGD,20001,1,,512,8192,1,0.07410264015197754,50,0.1,,0.05,x,0.7279368042945862,0.010699987411499023,0.7279368042945862,0.010699987411499023,,,,,0.05,SmoothedSGD
SmoothedSGD,20001,64,,32768,16384,64,0.6240448951721191,50,0.1,,0.05,x,0.7278739809989929,0.009587319567799568,0.7278739809989929,0.009587319567799568,,,,,0.05,SmoothedSGD
SmoothedSGD,20001,128,,65536,24576,128,1.1382899284362793,50,0.1,,0.05,x,0.727809727191925,0.008642078377306461,0.727809727191925,0.008642078377306461,,,,,0.05,SmoothedSGD
SmoothedSGD,20001,192,,98304,32768,192,1.6288890838623047,50,0.1,,0.05,x,0.7277601957321167,0.00999507587403059,0.7277601957321167,0.00999507587403059,,,,,0.05,SmoothedSGD
SmoothedSGD,20001,256,,131072,40960,256,2.2493488788604736,50,0.1,,0.05,x,0.7277097702026367,0.008007482625544071,0.7277097702026367,0.008007482625544071,,,,,0.05,SmoothedSGD
SmoothedSGD,20001,320,,163840,49152,320,2.7591662406921387,50,0.1,,0.05,x,0.7276561856269836,0.007457414176315069,0.7276561856269836,0.007457414176315069,,,,,0.05,SmoothedSGD
SmoothedSGD,20001,384,,196608,57344,384,3.2610371112823486,50,0.1,,0.05,x,0.7276130318641663,0.007408373989164829,0.7276130318641663,0.007408373989164829,,,,,0.05,SmoothedSGD
SmoothedSGD,20001,448,,229376,65536,448,3.776123285293579,50,0.1,,0.05,x,0.7275791168212891,0.007846329361200333,0.7275791168212891,0.007846329361200333,,,,,0.05,SmoothedSGD
SmoothedSGD,20001,512,,262144,73728,512,4.235383033752441,50,0.1,,0.05,x,0.7275354862213135,0.006925065070390701,0.7275354862213135,0.006925065070390701,,,,,0.05,SmoothedSGD
SmoothedSGD,20001,576,,294912,81920,576,4.756975173950195,50,0.1,,0.05,x,0.7274860143661499,0.007125264964997768,0.7274860143661499,0.007125264964997768,,,,,0.05,SmoothedSGD
SmoothedSGD,20001,640,,327680,90112,640,5.272878646850586,50,0.1,,0.05,x,0.7274364829063416,0.0078090764582157135,0.7274364829063416,0.0078090764582157135,,,,,0.05,SmoothedSGD
SmoothedSGD,20001,704,,360448,98304,704,5.783548831939697,50,0.1,,0.05,x,0.7273814082145691,0.007871158421039581,0.7273814082145691,0.007871158421039581,,,,,0.05,SmoothedSGD
SmoothedSGD,20001,768,,393216,106496,768,6.292129039764404,50,0.1,,0.05,x,0.7273293137550354,0.006655124947428703,0.7273293137550354,0.006655124947428703,,,,,0.05,SmoothedSGD
SmoothedSGD,20001,832,,425984,114688,832,6.769850015640259,50,0.1,,0.05,x,0.7272805571556091,0.007998770102858543,0.7272805571556091,0.007998770102858543,,,,,0.05,SmoothedSGD
SmoothedSGD,20001,896,,458752,122880,896,7.265838861465454,50,0.1,,0.05,x,0.7272233963012695,0.0078028361313045025,0.7272233963012695,0.0078028361313045025,,,,,0.05,SmoothedSGD
SmoothedSGD,20001,960,,491520,131072,960,7.796902894973755,50,0.1,,0.05,x,0.7271778583526611,0.00724060321226716,0.7271778583526611,0.00724060321226716,,,,,0.05,SmoothedSGD
NOG,10002,12,1.0,7168,16384,12,0.2370438575744629,50,0.1,12.0,0.2,y_bar,0.7232456803321838,0.010026351548731327,0.723201334476471,0.00989343412220478,0.7232456803321838,0.010026351548731327,0.009125867858529091,12.0,0.2,M12_eta0.2
NOG,10002,84,7.0,44032,32768,84,0.8565747737884521,50,0.1,12.0,0.2,y_bar,0.7226106524467468,0.008109470829367638,0.7225421667098999,0.007384579628705978,0.7226106524467468,0.008109470829367638,0.00948435440659523,12.0,0.2,M12_eta0.2
NOG,10002,156,13.0,80896,49152,156,1.5116424560546875,50,0.1,12.0,0.2,y_bar,0.7220126986503601,0.007088168524205685,0.7220157980918884,0.007935024797916412,0.7220126986503601,0.007088168524205685,0.008647692389786243,12.0,0.2,M12_eta0.2
NOG,10002,228,19.0,117760,65536,228,2.1406075954437256,50,0.1,12.0,0.2,y_bar,0.7215743064880371,0.007806049194186926,0.7215240001678467,0.007939111441373825,0.7215743064880371,0.007806049194186926,0.008644646033644676,12.0,0.2,M12_eta0.2
NOG,10002,300,25.0,154624,81920,300,2.8234596252441406,50,0.1,12.0,0.2,y_bar,0.7210302352905273,0.008288121782243252,0.7209978103637695,0.0073445579037070274,0.7210302352905273,0.008288121782243252,0.008752832189202309,12.0,0.2,M12_eta0.2
