threshold,method,hit_rate,first_hit_round_mean,first_hit_round_std,first_hit_work_mean,first_hit_work_std,first_hit_time_sec_mean,first_hit_time_sec_std,final_stat_proxy_mean,final_objective_mean
0.01,NOG,1.0,59.2,28.621670111997307,31334.4,14654.295097342621,0.6785208702087402,0.2827948367985749,0.007414617016911507,0.7152991533279419
0.01,SmoothedSGD,1.0,76.8,28.621670111997307,39321.6,14654.295097342621,0.7390031337738037,0.28508795923203273,0.007350463233888149,0.7216869115829467
0.015,NOG,1.0,8.0,0.0,5120.0,0.0,0.18151478767395018,0.011840563165544129,0.007414617016911507,0.7152991533279419
0.015,SmoothedSGD,1.0,1.0,0.0,512.0,0.0,0.06604704856872559,0.011817421743013385,0.007350463233888149,0.7216869115829467
0.02,NOG,1.0,8.0,0.0,5120.0,0.0,0.18151478767395018,0.011840563165544129,0.007414617016911507,0.7152991533279419
0.02,SmoothedSGD,1.0,1.0,0.0,512.0,0.0,0.06604704856872559,0.011817421743013385,0.007350463233888149,0.7216869115829467
0.03,NOG,1.0,8.0,0.0,5120.0,0.0,0.18151478767395018,0.011840563165544129,0.007414617016911507,0.7152991533279419
0.03,SmoothedSGD,1.0,1.0,0.0,512.0,0.0,0.06604704856872559,0.011817421743013385,0.007350463233888149,0.7216869115829467
0.05,NOG,1.0,8.0,0.0,5120.0,0.0,0.18151478767395018,0.011840563165544129,0.007414617016911507,0.7152991533279419
0.05,SmoothedSGD,1.0,1.0,0.0,512.0,0.0,0.06604704856872559,0.011817421743013385,0.007350463233888149,0.7216869115829467
