method,seed,round,block_id,work,eval_work,communication_round,time_sec,d,delta,M,lr_or_eta,eval_point,objective,stat_proxy,objective_x,stat_proxy_x,objective_ybar,stat_proxy_ybar,block_oracle_norm
NOG,10000,8,1.0,1280,2048,8,0.05588269233703613,20,0.1,8.0,0.3,y_bar,0.728148877620697,0.025427287444472313,0.7280728816986084,0.01865394227206707,0.728148877620697,0.025427287444472313,0.022400131449103355
NOG,10000,32,4.0,4352,4096,32,0.17784380912780762,20,0.1,8.0,0.3,y_bar,0.7278634905815125,0.0209267046302557,0.7277993559837341,0.021588057279586792,0.7278634905815125,0.0209267046302557,0.020178813487291336
NOG,10000,56,7.0,7424,6144,56,0.3117518424987793,20,0.1,8.0,0.3,y_bar,0.7277325391769409,0.022359488531947136,0.7276880741119385,0.02061835117638111,0.7277325391769409,0.022359488531947136,0.01769273169338703
NOG,10000,80,10.0,10496,8192,80,0.4479067325592041,20,0.1,8.0,0.3,y_bar,0.7275564670562744,0.020349562168121338,0.7275329232215881,0.02369927242398262,0.7275564670562744,0.020349562168121338,0.023117640987038612
NOG,10000,96,12.0,12544,10240,96,0.5448377132415771,20,0.1,8.0,0.3,y_bar,0.7274163961410522,0.018261076882481575,0.7274454832077026,0.026672299951314926,0.7274163961410522,0.018261076882481575,0.013930851593613625
SmoothedSGD,20000,1,,128,1024,1,0.01862168312072754,20,0.1,,0.05,x,0.7281222939491272,0.0156987477093935,0.7281222939491272,0.0156987477093935,,,
SmoothedSGD,20000,20,,2560,2048,20,0.09696507453918457,20,0.1,,0.05,x,0.7280927300453186,0.01918713189661503,0.7280927300453186,0.01918713189661503,,,
SmoothedSGD,20000,40,,5120,3072,40,0.1884312629699707,20,0.1,,0.05,x,0.72805255651474,0.021986478939652443,0.72805255651474,0.021986478939652443,,,
SmoothedSGD,20000,60,,7680,4096,60,0.2816348075866699,20,0.1,,0.05,x,0.7279977798461914,0.020507674664258957,0.7279977798461914,0.020507674664258957,,,
SmoothedSGD,20000,80,,10240,5120,80,0.3847043514251709,20,0.1,,0.05,x,0.7279197573661804,0.018240146338939667,0.7279197573661804,0.018240146338939667,,,
SmoothedSGD,20000,96,,12288,6144,96,0.45765018463134766,20,0.1,,0.05,x,0.7279131412506104,0.01762184128165245,0.7279131412506104,0.01762184128165245,,,
