dataset,candidate_id,candidate_parameters,log_epsilon_score,log_epsilon_score_std,epsilon_25_mean,epsilon_50_mean,epsilon_75_mean,epsilon_100_mean,epsilon_100_std,final_depth_mean,final_work_mean,seed_count,rank
a9a,NOG-ZO__M-1__data_B_total-64__eta-3em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 3e-05, ""smooth_B"": 1}",-3.449595353097179,0.06977617657139824,0.073879000544548,0.03464906662702556,0.023744045943021718,0.01703031025826926,0.0015164912150316527,7680.0,983040.0,5,1
a9a,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",-3.4227290330450315,0.04647560414984171,0.05788292288780208,0.02878521233797072,0.026298700645565942,0.0262567207217216,0.0028929633491527984,7680.0,983040.0,5,2
a9a,NOG-ZO__M-1__data_B_total-64__eta-9em06__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-06, ""smooth_B"": 1}",-2.943905520225281,0.04373060177516054,0.06084389910101888,0.0498785831034183,0.053676594048738445,0.0479389294981956,0.005718010204979538,7680.0,983040.0,5,3
a9a,NOG-ZO__M-1__data_B_total-64__eta-0p0003__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 0.0003, ""smooth_B"": 1}",-2.8332368790966136,0.035193953624035997,0.36702199578285216,0.039335985481739,0.030263138934969857,0.027553832903504338,0.0027531699466928614,7680.0,983040.0,5,4
a9a,NOG-ZO__M-1__data_B_total-128__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 128, ""eta"": 9e-05, ""smooth_B"": 1}",-2.8109589657462335,0.0444820707376823,0.36702199578285216,0.052295327931642474,0.027996081486344297,0.02449451573193068,0.0019166178858548166,3840.0,983040.0,5,5
a9a,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-2,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 2}",-2.8109589657462335,0.0444820707376823,0.36702199578285216,0.052295327931642474,0.027996081486344297,0.02449451573193068,0.0019166178858548166,3840.0,983040.0,5,6
a9a,NOG-ZO__M-2__data_B_total-64__eta-3em05__smooth_B-1,"{""M"": 2, ""data_B_total"": 64, ""eta"": 3e-05, ""smooth_B"": 1}",-2.8108416449135034,0.03517526158038567,0.36702199578285216,0.047433022409677464,0.02845012284815306,0.02670293301343914,0.0035560133891040053,7680.0,983040.0,5,7
a9a,NOG-ZO__M-2__data_B_total-64__eta-9em06__smooth_B-1,"{""M"": 2, ""data_B_total"": 64, ""eta"": 9e-06, ""smooth_B"": 1}",-2.4554957005380773,0.04042467584747623,0.36702199578285216,0.09188479185104363,0.05825773105025288,0.027994129434227875,0.0033802624217914717,7680.0,983040.0,5,8
a9a,NOG-ZO__M-1__data_B_total-128__eta-0p0003__smooth_B-1,"{""M"": 1, ""data_B_total"": 128, ""eta"": 0.0003, ""smooth_B"": 1}",-2.338965342602425,0.026533125159012346,0.36702199578285216,0.2424772977828979,0.03444079309701914,0.028311431780457457,0.002019068004368562,3840.0,983040.0,5,9
a9a,NOG-ZO__M-1__data_B_total-64__eta-0p0003__smooth_B-2,"{""M"": 1, ""data_B_total"": 64, ""eta"": 0.0003, ""smooth_B"": 2}",-2.338965342602425,0.026533125159012346,0.36702199578285216,0.2424772977828979,0.03444079309701914,0.028311431780457457,0.002019068004368562,3840.0,983040.0,5,10
