method,epsilon,region,formal_seed,hit,first_hit_iteration,first_hit_depth,first_hit_total_work,first_hit_per_worker_work,first_hit_training_time,censoring_depth,censoring_total_work,censoring_per_worker_work,censoring_training_time,final_stat_proxy
NOG-FO,0.2,coarse,0,True,4,6,384,48,0.2194237681105733,962,61568,7696,5.730676983250305,0.008373730815947056
NOG-FO,0.2,coarse,1,True,4,6,384,48,0.3411754516419023,962,61568,7696,5.7757070772349834,0.009551898576319218
NOG-FO,0.2,coarse,2,True,4,6,384,48,0.35299302102066576,962,61568,7696,5.840238537406549,0.00969171803444624
NOG-FO,0.2,coarse,3,True,4,6,384,48,0.1936073151882738,962,61568,7696,5.754828648874536,0.008600149303674698
NOG-FO,0.2,coarse,4,True,4,6,384,48,0.3082281269598752,962,61568,7696,5.904744853032753,0.008750716224312782
NOG-FO,0.2,coarse,5,True,4,6,384,48,0.18797808000817895,962,61568,7696,5.646745074074715,0.008030177094042301
NOG-FO,0.2,coarse,6,True,4,6,384,48,0.26114246365614235,962,61568,7696,5.865925459191203,0.007470348849892616
NOG-FO,0.2,coarse,7,True,4,6,384,48,0.2605088611599058,962,61568,7696,5.742738434812054,0.008546453900635242
NOG-FO,0.2,coarse,8,True,4,6,384,48,0.32875225110910833,962,61568,7696,5.702102220384404,0.008868986740708351
NOG-FO,0.2,coarse,9,True,4,6,384,48,0.15024872892536223,962,61568,7696,5.6499450008850545,0.009641322307288647
NOG-FO,0.2,coarse,10,True,4,6,384,48,0.2742941747419536,962,61568,7696,5.68694073962979,0.008933430537581444
NOG-FO,0.2,coarse,11,True,4,6,384,48,0.2599173148628324,962,61568,7696,5.687452009879053,0.009213156066834927
NOG-FO,0.2,coarse,12,True,4,6,384,48,0.2843628798145801,962,61568,7696,5.84613773971796,0.008748495951294899
NOG-FO,0.2,coarse,13,True,4,6,384,48,0.18846874218434095,962,61568,7696,5.626248948508874,0.008611652068793774
NOG-FO,0.2,coarse,14,True,4,6,384,48,0.19753618398681283,962,61568,7696,5.815811242209747,0.009460246190428734
NOG-FO,0.2,coarse,15,True,4,6,384,48,0.20307025220245123,962,61568,7696,6.010065337177366,0.008737101219594479
NOG-FO,0.2,coarse,16,True,4,6,384,48,0.33579008863307536,962,61568,7696,6.089467365993187,0.009516707621514797
NOG-FO,0.2,coarse,17,True,4,6,384,48,0.19095994462259114,962,61568,7696,5.64588870247826,0.009500323794782162
NOG-FO,0.2,coarse,18,True,4,6,384,48,0.1979005380999297,962,61568,7696,5.922410569619387,0.009314732626080513
NOG-FO,0.2,coarse,19,True,4,6,384,48,0.18887486914172769,962,61568,7696,5.862240376416594,0.009523515589535236
NOG-FO,0.15,coarse,0,True,4,6,384,48,0.2194237681105733,962,61568,7696,5.730676983250305,0.008373730815947056
NOG-FO,0.15,coarse,1,True,4,6,384,48,0.3411754516419023,962,61568,7696,5.7757070772349834,0.009551898576319218
NOG-FO,0.15,coarse,2,True,4,6,384,48,0.35299302102066576,962,61568,7696,5.840238537406549,0.00969171803444624
NOG-FO,0.15,coarse,3,True,4,6,384,48,0.1936073151882738,962,61568,7696,5.754828648874536,0.008600149303674698
NOG-FO,0.15,coarse,4,True,4,6,384,48,0.3082281269598752,962,61568,7696,5.904744853032753,0.008750716224312782
NOG-FO,0.15,coarse,5,True,4,6,384,48,0.18797808000817895,962,61568,7696,5.646745074074715,0.008030177094042301
NOG-FO,0.15,coarse,6,True,4,6,384,48,0.26114246365614235,962,61568,7696,5.865925459191203,0.007470348849892616
NOG-FO,0.15,coarse,7,True,4,6,384,48,0.2605088611599058,962,61568,7696,5.742738434812054,0.008546453900635242
NOG-FO,0.15,coarse,8,True,4,6,384,48,0.32875225110910833,962,61568,7696,5.702102220384404,0.008868986740708351
NOG-FO,0.15,coarse,9,True,4,6,384,48,0.15024872892536223,962,61568,7696,5.6499450008850545,0.009641322307288647
NOG-FO,0.15,coarse,10,True,4,6,384,48,0.2742941747419536,962,61568,7696,5.68694073962979,0.008933430537581444
NOG-FO,0.15,coarse,11,True,4,6,384,48,0.2599173148628324,962,61568,7696,5.687452009879053,0.009213156066834927
NOG-FO,0.15,coarse,12,True,4,6,384,48,0.2843628798145801,962,61568,7696,5.84613773971796,0.008748495951294899
NOG-FO,0.15,coarse,13,True,4,6,384,48,0.18846874218434095,962,61568,7696,5.626248948508874,0.008611652068793774
NOG-FO,0.15,coarse,14,True,4,6,384,48,0.19753618398681283,962,61568,7696,5.815811242209747,0.009460246190428734
NOG-FO,0.15,coarse,15,True,4,6,384,48,0.20307025220245123,962,61568,7696,6.010065337177366,0.008737101219594479
NOG-FO,0.15,coarse,16,True,4,6,384,48,0.33579008863307536,962,61568,7696,6.089467365993187,0.009516707621514797
NOG-FO,0.15,coarse,17,True,4,6,384,48,0.19095994462259114,962,61568,7696,5.64588870247826,0.009500323794782162
NOG-FO,0.15,coarse,18,True,4,6,384,48,0.1979005380999297,962,61568,7696,5.922410569619387,0.009314732626080513
NOG-FO,0.15,coarse,19,True,4,6,384,48,0.18887486914172769,962,61568,7696,5.862240376416594,0.009523515589535236
NOG-FO,0.1,coarse,0,True,4,6,384,48,0.2194237681105733,962,61568,7696,5.730676983250305,0.008373730815947056
NOG-FO,0.1,coarse,1,True,4,6,384,48,0.3411754516419023,962,61568,7696,5.7757070772349834,0.009551898576319218
