epsilon,region,depth_me_over_nog_num_seeds,depth_me_over_nog_paired_hit_count,depth_me_over_nog_paired_hit_ratio_median,depth_me_over_nog_paired_hit_ratio_mean,depth_me_over_nog_capped_paired_ratio_mean,depth_me_over_nog_ratio_of_capped_means,depth_me_over_nog_ratios_are_conditional,depth_me_over_nog_capped_mean_ci_low,depth_me_over_nog_capped_mean_ci_high,work_nog_over_me_num_seeds,work_nog_over_me_paired_hit_count,work_nog_over_me_paired_hit_ratio_median,work_nog_over_me_paired_hit_ratio_mean,work_nog_over_me_capped_paired_ratio_mean,work_nog_over_me_ratio_of_capped_means,work_nog_over_me_ratios_are_conditional,work_nog_over_me_capped_mean_ci_low,work_nog_over_me_capped_mean_ci_high
0.2,coarse,20,20,1.0,1.0,1.0,1.0,False,1.0,1.0,20,20,8.0,8.0,8.0,8.0,False,8.0,8.0
0.15,coarse,20,20,1.0,1.0,1.0,1.0,False,1.0,1.0,20,20,8.0,8.0,8.0,8.0,False,8.0,8.0
0.1,coarse,20,20,1.0,1.0,1.0,1.0,False,1.0,1.0,20,20,8.0,8.0,8.0,8.0,False,8.0,8.0
0.075,coarse,20,20,1.0,1.0,1.0,1.0,False,1.0,1.0,20,20,8.0,8.0,8.0,8.0,False,8.0,8.0
0.05,coarse,20,20,1.0,1.0,1.0,1.0,False,1.0,1.0,20,20,8.0,8.0,8.0,8.0,False,8.0,8.0
0.03,medium,20,20,1.0,1.0,1.0,1.0,False,1.0,1.0,20,20,8.0,8.0,8.0,8.0,False,8.0,8.0
0.02,medium,20,20,1.0,1.0,1.0,1.0,False,1.0,1.0,20,20,8.0,8.0,8.0,8.0,False,8.0,8.0
0.015,medium,20,20,1.0,1.0,1.0,1.0,False,1.0,1.0,20,20,8.0,8.0,8.0,8.0,False,8.0,8.0
0.01,medium,20,14,5.0,5.72515406162465,6.187406280581241,4.902061855670103,True,4.240197556627972,8.455080253566397,20,14,1.6127426580388253,16.94056283499773,12.333393984498413,1.6319663512092535,True,1.570020989556595,32.64419427913523
0.009,fine,20,20,9.83606557377049,12.385357649408817,12.385357649408817,12.401215805471125,False,9.877487705153886,15.402234841248227,20,20,6.509270374816594,6.183915191375306,6.183915191375306,5.16078431372549,False,5.202275898267688,7.141449545376602
0.008,fine,20,20,15.444797587286857,18.05588832914736,18.05588832914736,15.266719118804092,False,14.889321680626383,21.660623463371635,20,20,4.144495958987576,4.0513686615484135,4.0513686615484135,4.192125334982477,False,3.4670069987121583,4.656923305628745
0.007,fine,20,11,50.21501014198783,45.56581360121833,29.217213039786287,5.89683128444256,True,17.249879742436676,43.305834068367,20,11,1.2745193084504767,2.5415040523429875,8.491264728788643,10.85328660646089,True,3.807716933965967,15.917470452590878
0.006,fine,20,0,,,2.2129391685694038,1.3029094918992281,True,1.3043660452166455,3.3104862553154972,20,0,,,49.12083333333333,49.12083333333333,True,39.02333333333333,58.358333333333334
0.005,fine,20,0,,,0.9999674489762703,0.9999674489762703,True,0.9999674489762703,0.9999674489762703,20,0,,,64.00208333333333,64.00208333333333,True,64.00208333333333,64.00208333333333
0.004,fine,20,0,,,0.9999674489762703,0.9999674489762703,True,0.9999674489762703,0.9999674489762703,20,0,,,64.00208333333333,64.00208333333333,True,64.00208333333333,64.00208333333333
0.003,fine,20,0,,,0.9999674489762703,0.9999674489762703,True,0.9999674489762703,0.9999674489762703,20,0,,,64.00208333333333,64.00208333333333,True,64.00208333333333,64.00208333333333
0.002,fine,20,0,,,0.9999674489762703,0.9999674489762703,True,0.9999674489762703,0.9999674489762703,20,0,,,64.00208333333333,64.00208333333333,True,64.00208333333333,64.00208333333333
