method,epsilon,region,num_seeds,hit_count,hit_rate,hit_rate_ci_low,hit_rate_ci_high,depth_num_seeds,depth_hit_count,depth_hit_rate,depth_conditional_mean,depth_conditional_median,depth_capped_mean,depth_restricted_mean,depth_censoring_horizon,depth_conditional_mean_ci_low,depth_conditional_mean_ci_high,depth_capped_mean_ci_low,depth_capped_mean_ci_high,depth_restricted_mean_ci_low,depth_restricted_mean_ci_high,depth_mean_lower_bound,depth_mean_upper_bound,depth_upper_bound_is_unbounded,total_work_num_seeds,total_work_hit_count,total_work_hit_rate,total_work_conditional_mean,total_work_conditional_median,total_work_capped_mean,total_work_restricted_mean,total_work_censoring_horizon,total_work_conditional_mean_ci_low,total_work_conditional_mean_ci_high,total_work_capped_mean_ci_low,total_work_capped_mean_ci_high,total_work_restricted_mean_ci_low,total_work_restricted_mean_ci_high,total_work_mean_lower_bound,total_work_mean_upper_bound,total_work_upper_bound_is_unbounded,per_worker_work_num_seeds,per_worker_work_hit_count,per_worker_work_hit_rate,per_worker_work_conditional_mean,per_worker_work_conditional_median,per_worker_work_capped_mean,per_worker_work_restricted_mean,per_worker_work_censoring_horizon,per_worker_work_conditional_mean_ci_low,per_worker_work_conditional_mean_ci_high,per_worker_work_capped_mean_ci_low,per_worker_work_capped_mean_ci_high,per_worker_work_restricted_mean_ci_low,per_worker_work_restricted_mean_ci_high,per_worker_work_mean_lower_bound,per_worker_work_mean_upper_bound,per_worker_work_upper_bound_is_unbounded,training_time_num_seeds,training_time_hit_count,training_time_hit_rate,training_time_conditional_mean,training_time_conditional_median,training_time_capped_mean,training_time_restricted_mean,training_time_censoring_horizon,training_time_conditional_mean_ci_low,training_time_conditional_mean_ci_high,training_time_capped_mean_ci_low,training_time_capped_mean_ci_high,training_time_restricted_mean_ci_low,training_time_restricted_mean_ci_high,training_time_mean_lower_bound,training_time_mean_upper_bound,training_time_upper_bound_is_unbounded
NOG-FO,0.2,coarse,20,20,1.0,1.0,1.0,20,20,1.0,6.0,6.0,6.0,6.0,962.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,20,20,1.0,384.0,384.0,384.0,384.0,61568.0,384.0,384.0,384.0,384.0,384.0,384.0,384.0,384.0,False,20,20,1.0,48.0,48.0,48.0,48.0,7696.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,False,20,20,1.0,0.24626165280351414,0.23967054148670286,0.24626165280351414,0.24626165280351411,6.089467365993187,0.220563582633622,0.2738765328540467,0.22082764086080714,0.27417776637012137,0.22002143044956024,0.2728177423705347,0.24626165280351414,0.24626165280351414,False
NOG-FO,0.15,coarse,20,20,1.0,1.0,1.0,20,20,1.0,6.0,6.0,6.0,6.0,962.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,20,20,1.0,384.0,384.0,384.0,384.0,61568.0,384.0,384.0,384.0,384.0,384.0,384.0,384.0,384.0,False,20,20,1.0,48.0,48.0,48.0,48.0,7696.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,False,20,20,1.0,0.24626165280351414,0.23967054148670286,0.24626165280351414,0.24626165280351411,6.089467365993187,0.21810826716246084,0.2738891145447269,0.21971468335250394,0.27331031851936133,0.21949649113230404,0.2736443380941637,0.24626165280351414,0.24626165280351414,False
NOG-FO,0.1,coarse,20,20,1.0,1.0,1.0,20,20,1.0,6.0,6.0,6.0,6.0,962.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,20,20,1.0,384.0,384.0,384.0,384.0,61568.0,384.0,384.0,384.0,384.0,384.0,384.0,384.0,384.0,False,20,20,1.0,48.0,48.0,48.0,48.0,7696.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,False,20,20,1.0,0.24626165280351414,0.23967054148670286,0.24626165280351414,0.24626165280351411,6.089467365993187,0.2213334424304776,0.27342740922467784,0.22089180533075706,0.274801867234055,0.218915432319045,0.2736965996678919,0.24626165280351414,0.24626165280351414,False
NOG-FO,0.075,coarse,20,20,1.0,1.0,1.0,20,20,1.0,6.0,6.0,6.0,6.0,962.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,20,20,1.0,384.0,384.0,384.0,384.0,61568.0,384.0,384.0,384.0,384.0,384.0,384.0,384.0,384.0,False,20,20,1.0,48.0,48.0,48.0,48.0,7696.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,False,20,20,1.0,0.24626165280351414,0.23967054148670286,0.24626165280351414,0.24626165280351411,6.089467365993187,0.2216755439643748,0.2730644153780304,0.21975751308491454,0.2750212548300624,0.21996416058391333,0.27424976556794717,0.24626165280351414,0.24626165280351414,False
NOG-FO,0.05,coarse,20,20,1.0,1.0,1.0,20,20,1.0,6.0,6.0,6.0,6.0,962.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,20,20,1.0,384.0,384.0,384.0,384.0,61568.0,384.0,384.0,384.0,384.0,384.0,384.0,384.0,384.0,False,20,20,1.0,48.0,48.0,48.0,48.0,7696.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,False,20,20,1.0,0.24626165280351414,0.23967054148670286,0.24626165280351414,0.24626165280351411,6.089467365993187,0.22007540897466243,0.27256097858771683,0.21908757843775675,0.2733206112869084,0.2195826248032972,0.2732670780969783,0.24626165280351414,0.24626165280351414,False
NOG-FO,0.03,medium,20,20,1.0,1.0,1.0,20,20,1.0,6.0,6.0,6.0,6.0,962.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,20,20,1.0,384.0,384.0,384.0,384.0,61568.0,384.0,384.0,384.0,384.0,384.0,384.0,384.0,384.0,False,20,20,1.0,48.0,48.0,48.0,48.0,7696.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,False,20,20,1.0,0.2823110295459628,0.20564552559517324,0.2823110295459628,0.28231102954596277,6.4318591079209,0.22709065756062047,0.34408972163219004,0.22746441195486114,0.3497344812843949,0.22677798250224443,0.3454436169820838,0.2823110295459628,0.2823110295459628,False
NOG-FO,0.02,medium,20,20,1.0,1.0,1.0,20,20,1.0,6.0,6.0,6.0,6.0,962.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,20,20,1.0,384.0,384.0,384.0,384.0,61568.0,384.0,384.0,384.0,384.0,384.0,384.0,384.0,384.0,False,20,20,1.0,48.0,48.0,48.0,48.0,7696.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,False,20,20,1.0,0.2823110295459628,0.20564552559517324,0.2823110295459628,0.28231102954596277,6.4318591079209,0.22528215683996677,0.3461334886727855,0.22620729353511707,0.34552930035861207,0.22713462719693783,0.3408114390447736,0.2823110295459628,0.2823110295459628,False
NOG-FO,0.015,medium,20,20,1.0,1.0,1.0,20,20,1.0,6.0,6.0,6.0,6.0,962.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,20,20,1.0,384.0,384.0,384.0,384.0,61568.0,384.0,384.0,384.0,384.0,384.0,384.0,384.0,384.0,False,20,20,1.0,48.0,48.0,48.0,48.0,7696.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,False,20,20,1.0,0.2823110295459628,0.20564552559517324,0.2823110295459628,0.28231102954596277,6.4318591079209,0.22670355602167547,0.3460298041580245,0.2284035496180877,0.3426859935629182,0.2278667121077888,0.3456538574071601,0.2823110295459628,0.2823110295459628,False
NOG-FO,0.01,medium,20,20,1.0,1.0,1.0,20,20,1.0,116.4,102.0,116.4,116.39999999999998,962.0,85.2,152.4,85.2,154.8,82.80000000000001,154.8,116.4,116.4,False,20,20,1.0,7449.6,6528.0,7449.6,7449.5999999999985,61568.0,5299.2,9753.6,5452.8,9753.6,5299.2,9753.600000000002,7449.6,7449.6,False,20,20,1.0,931.2,816.0,931.2,931.1999999999998,7696.0,662.4,1219.2,662.4,1219.2,681.6,1219.2,931.2,931.2,False,20,20,1.0,0.9178742442745715,0.8107257863739505,0.9178742442745715,0.9178742442745714,6.4318591079209,0.7493576888460666,1.0965083917719312,0.7544448761851527,1.1033588068909013,0.7480477058677933,1.094072224118281,0.9178742442745715,0.9178742442745715,False
NOG-FO,0.009,fine,20,20,1.0,1.0,1.0,20,20,1.0,131.6,98.0,131.6,131.6,61442.0,90.8,198.8,90.8,201.2,90.8,198.79999999999998,131.6,131.6,False,20,20,1.0,67379.2,50176.0,67379.2,67379.2,31458304.0,46489.6,103014.4,46489.6,100556.8,46489.6,103014.4,67379.2,67379.2,False,20,20,1.0,8422.4,6272.0,8422.4,8422.4,3932288.0,5811.2,12723.2,5811.2,12723.2,5811.2,12569.600000000002,8422.4,8422.4,False,20,20,1.0,1.6242898770375178,1.3305382573744282,1.6242898770375178,1.6242898770375183,666.8074724886101,1.1681215746793896,2.4021323671680874,1.1678474245592951,2.4071998988394627,1.1664286397746764,2.43334141576197,1.6242898770375178,1.6242898770375178,False
NOG-FO,0.008,fine,20,20,1.0,1.0,1.0,20,20,1.0,508.4,170.0,508.4,508.4,61442.0,201.2,894.8,206.0,878.0,191.6,880.4000000000001,508.4,508.4,False,20,20,1.0,260300.8,87040.0,260300.8,260300.8,31458304.0,107929.6,454451.2,106700.8,444620.8,98099.19999999998,438476.8,260300.8,260300.8,False,20,20,1.0,32537.6,10880.0,32537.6,32537.6,3932288.0,13184.0,56499.2,13952.0,56345.6,12262.400000000001,55577.600000000006,32537.6,32537.6,False,20,20,1.0,5.659688488731627,2.0426692836917937,5.659688488731627,5.659688488731628,666.8074724886101,2.4616626302944495,9.510570541897323,2.609088085615076,9.536351904005278,2.3102911301655693,9.507280872168485,5.659688488731627,5.659688488731627,False
NOG-FO,0.007,fine,20,19,0.95,0.85,1.0,20,19,0.95,4712.315789473684,2810.0,7548.8,7548.800000000001,61442.0,2347.684210526316,7708.526315789473,2786.0,14055.2,2903.6,14513.600000000002,7548.8,,True,20,19,0.95,2412705.6842105263,1438720.0,3864985.6,3864985.6000000006,31458304.0,1214949.0526315789,3895026.5263157897,1486643.2,7457996.8,1494016.0,7543398.399999999,3864985.6,,True,20,19,0.95,301588.2105263158,179840.0,483123.2,483123.20000000007,3932288.0,153485.47368421053,486716.63157894736,187673.6,940851.2,184294.40000000005,918502.4000000004,483123.2,,True,20,19,0.95,50.46360440068192,29.91280412580818,80.69924364611506,81.28079780507832,666.8074724886101,25.963851986649004,82.66834546423419,31.225397351675202,158.93622150550362,31.252934662729963,155.98323223460469,80.69924364611506,,True
NOG-FO,0.006,fine,20,7,0.35,0.15,0.55,20,7,0.35,20624.85714285714,24362.0,47156.0,47156.0,61442.0,12478.57142857143,30362.0,37259.6,55906.4,37342.4,56056.4,47156.0,,True,20,7,0.35,10559926.857142856,12473344.0,24143872.0,24143872.0,31458304.0,6332854.857142857,15285540.57142857,19266150.4,28684288.0,19202867.2,28266496.0,24143872.0,,True,20,7,0.35,1319990.857142857,1559168.0,3017984.0,3017984.0,3932288.0,803456.0,1928685.7142857143,2360806.4,3578547.2,2442060.8,3585075.1999999997,3017984.0,,True,20,7,0.35,220.0382312587795,257.3664980288595,500.1443220608868,510.43823805816925,666.8074724886101,129.88679978604029,322.7276055762278,399.64740095605373,587.1504345631226,406.4148614729406,608.155929222307,500.1443220608868,,True
NOG-FO,0.005,fine,20,0,0.0,0.0,0.0,20,0,0.0,,,61442.0,61442.0,61442.0,,,61442.0,61442.0,61442.0,61442.0,61442.0,,True,20,0,0.0,,,31458304.0,31458304.0,31458304.0,,,31458304.0,31458304.0,31458304.0,31458304.0,31458304.0,,True,20,0,0.0,,,3932288.0,3932288.0,3932288.0,,,3932288.0,3932288.0,3932288.0,3932288.0,3932288.0,,True,20,0,0.0,,,652.6406756090349,666.8074724886101,666.8074724886101,,,650.2733166221763,655.1433011134155,666.8074724886101,666.8074724886101,652.6406756090349,,True
NOG-FO,0.004,fine,20,0,0.0,0.0,0.0,20,0,0.0,,,61442.0,61442.0,61442.0,,,61442.0,61442.0,61442.0,61442.0,61442.0,,True,20,0,0.0,,,31458304.0,31458304.0,31458304.0,,,31458304.0,31458304.0,31458304.0,31458304.0,31458304.0,,True,20,0,0.0,,,3932288.0,3932288.0,3932288.0,,,3932288.0,3932288.0,3932288.0,3932288.0,3932288.0,,True,20,0,0.0,,,652.6406756090349,666.8074724886101,666.8074724886101,,,650.1351063354174,654.9461766260094,666.8074724886101,666.8074724886101,652.6406756090349,,True
NOG-FO,0.003,fine,20,0,0.0,0.0,0.0,20,0,0.0,,,61442.0,61442.0,61442.0,,,61442.0,61442.0,61442.0,61442.0,61442.0,,True,20,0,0.0,,,31458304.0,31458304.0,31458304.0,,,31458304.0,31458304.0,31458304.0,31458304.0,31458304.0,,True,20,0,0.0,,,3932288.0,3932288.0,3932288.0,,,3932288.0,3932288.0,3932288.0,3932288.0,3932288.0,,True,20,0,0.0,,,652.6406756090349,666.8074724886101,666.8074724886101,,,650.2137549825013,655.2018580675242,666.8074724886101,666.8074724886101,652.6406756090349,,True
NOG-FO,0.002,fine,20,0,0.0,0.0,0.0,20,0,0.0,,,61442.0,61442.0,61442.0,,,61442.0,61442.0,61442.0,61442.0,61442.0,,True,20,0,0.0,,,31458304.0,31458304.0,31458304.0,,,31458304.0,31458304.0,31458304.0,31458304.0,31458304.0,,True,20,0,0.0,,,3932288.0,3932288.0,3932288.0,,,3932288.0,3932288.0,3932288.0,3932288.0,3932288.0,,True,20,0,0.0,,,652.6406756090349,666.8074724886101,666.8074724886101,,,650.2081639082171,655.14053271655,666.8074724886101,666.8074724886101,652.6406756090349,,True
ME-DOL-FO,0.2,coarse,20,20,1.0,1.0,1.0,20,20,1.0,6.0,6.0,6.0,6.0,960.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,20,20,1.0,48.0,48.0,48.0,48.0,7680.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,False,20,20,1.0,6.0,6.0,6.0,6.0,960.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,20,20,1.0,0.26280678750481457,0.20505419024266303,0.26280678750481457,0.26280678750481457,6.3447257180232555,0.21578932045958937,0.3174483454436995,0.21647428869036958,0.3163475810782984,0.21490229940973227,0.3184708405868151,0.26280678750481457,0.26280678750481457,False
ME-DOL-FO,0.15,coarse,20,20,1.0,1.0,1.0,20,20,1.0,6.0,6.0,6.0,6.0,960.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,20,20,1.0,48.0,48.0,48.0,48.0,7680.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,False,20,20,1.0,6.0,6.0,6.0,6.0,960.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,20,20,1.0,0.26280678750481457,0.20505419024266303,0.26280678750481457,0.26280678750481457,6.3447257180232555,0.21633559786714612,0.3197985167033039,0.2146978473640047,0.3160614797146991,0.21750551972072574,0.31971820645267146,0.26280678750481457,0.26280678750481457,False
ME-DOL-FO,0.1,coarse,20,20,1.0,1.0,1.0,20,20,1.0,6.0,6.0,6.0,6.0,960.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,20,20,1.0,48.0,48.0,48.0,48.0,7680.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,False,20,20,1.0,6.0,6.0,6.0,6.0,960.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,20,20,1.0,0.26280678750481457,0.20505419024266303,0.26280678750481457,0.26280678750481457,6.3447257180232555,0.21626749041024595,0.3206035542534664,0.21630974621511995,0.31869012739043684,0.21606630432652305,0.31674747365759687,0.26280678750481457,0.26280678750481457,False
ME-DOL-FO,0.075,coarse,20,20,1.0,1.0,1.0,20,20,1.0,6.0,6.0,6.0,6.0,960.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,20,20,1.0,48.0,48.0,48.0,48.0,7680.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,False,20,20,1.0,6.0,6.0,6.0,6.0,960.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,20,20,1.0,0.26280678750481457,0.20505419024266303,0.26280678750481457,0.26280678750481457,6.3447257180232555,0.21547781507251784,0.3174227108247578,0.2164896722417325,0.318277732108254,0.21608547747600823,0.3225463569629937,0.26280678750481457,0.26280678750481457,False
ME-DOL-FO,0.05,coarse,20,20,1.0,1.0,1.0,20,20,1.0,6.0,6.0,6.0,6.0,960.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,20,20,1.0,48.0,48.0,48.0,48.0,7680.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,False,20,20,1.0,6.0,6.0,6.0,6.0,960.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,20,20,1.0,0.26280678750481457,0.20505419024266303,0.26280678750481457,0.26280678750481457,6.3447257180232555,0.21507154419086874,0.318711369484663,0.2162979448097758,0.31700144390342755,0.21616422230144963,0.317991721862927,0.26280678750481457,0.26280678750481457,False
ME-DOL-FO,0.03,medium,20,20,1.0,1.0,1.0,20,20,1.0,6.0,6.0,6.0,6.0,960.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,20,20,1.0,48.0,48.0,48.0,48.0,7680.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,False,20,20,1.0,6.0,6.0,6.0,6.0,960.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,20,20,1.0,0.30441886162152515,0.20885817520320415,0.30441886162152515,0.30441886162152504,6.66517380066216,0.24294467353029175,0.37606455391505733,0.24149590692250059,0.3695641939062625,0.24318817178718746,0.3676693572662771,0.30441886162152515,0.30441886162152515,False
ME-DOL-FO,0.02,medium,20,20,1.0,1.0,1.0,20,20,1.0,6.0,6.0,6.0,6.0,960.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,20,20,1.0,48.0,48.0,48.0,48.0,7680.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,False,20,20,1.0,6.0,6.0,6.0,6.0,960.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,20,20,1.0,0.30441886162152515,0.20885817520320415,0.30441886162152515,0.30441886162152504,6.66517380066216,0.24582058500964193,0.37524079476716,0.24447015365585684,0.36796836138237266,0.24290552145102987,0.3750213621882722,0.30441886162152515,0.30441886162152515,False
ME-DOL-FO,0.015,medium,20,20,1.0,1.0,1.0,20,20,1.0,6.0,6.0,6.0,6.0,960.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,20,20,1.0,48.0,48.0,48.0,48.0,7680.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,False,20,20,1.0,6.0,6.0,6.0,6.0,960.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,20,20,1.0,0.30441886162152515,0.20885817520320415,0.30441886162152515,0.30441886162152504,6.66517380066216,0.24339110204018652,0.36870540691306813,0.24169941141735762,0.3701899408479221,0.23995960438624028,0.36835739564849057,0.30441886162152515,0.30441886162152515,False
ME-DOL-FO,0.01,medium,20,14,0.7,0.5,0.9,20,14,0.7,403.7142857142857,270.0,570.6,570.5999999999999,960.0,235.71428571428572,585.4285714285714,411.0,735.0,394.20000000000005,735.2999999999998,570.6,,True,20,14,0.7,3229.714285714286,2160.0,4564.8,4564.799999999999,7680.0,1885.7142857142858,4710.857142857143,3204.0,5880.0,3208.7999999999993,5815.2,4564.8,,True,20,14,0.7,403.7142857142857,270.0,570.6,570.5999999999999,960.0,232.28571428571428,568.2857142857143,405.9,737.1,398.4000000000001,735.3,570.6,,True,20,14,0.7,2.6969174817703396,1.9210739923873916,3.676175523188431,3.8524779844136585,6.66517380066216,1.747037497781483,3.707439984643965,2.652219429274555,4.599852742033545,2.796487238770351,4.8941593574942095,3.676175523188431,,True
ME-DOL-FO,0.009,fine,20,20,1.0,1.0,1.0,20,20,1.0,1632.0,1104.0,1632.0,1632.0,61440.0,1029.6,2368.8,1036.8,2361.6,1036.8,2364.0,1632.0,1632.0,False,20,20,1.0,13056.0,8832.0,13056.0,13056.0,491520.0,8332.8,19219.2,8352.0,18873.6,8294.4,18854.399999999998,13056.0,13056.0,False,20,20,1.0,1632.0,1104.0,1632.0,1632.0,61440.0,1017.6,2380.8,1024.8,2428.8,1003.2,2385.600000000001,1632.0,1632.0,False,20,20,1.0,9.72587532828329,6.543765971786343,9.72587532828329,9.725875328283294,361.5977880116552,6.353974825085606,14.139068827591837,6.269080103863962,14.004860937420744,6.204240547807422,13.894666081538888,9.72587532828329,9.72587532828329,False
ME-DOL-FO,0.008,fine,20,20,1.0,1.0,1.0,20,20,1.0,7761.6,3672.0,7761.6,7761.6,61440.0,3638.4,12576.0,3446.4,12736.8,3753.6,12624.000000000002,7761.6,7761.6,False,20,20,1.0,62092.8,29376.0,62092.8,62092.8,491520.0,26668.8,101606.4,28915.2,103987.2,26649.6,101395.2,62092.8,62092.8,False,20,20,1.0,7761.6,3672.0,7761.6,7761.6,61440.0,3412.8,12648.0,3484.8,12636.0,3455.9999999999995,12628.8,7761.6,7761.6,False,20,20,1.0,45.11958566479152,21.579559631180018,45.11958566479152,45.11958566479153,361.5977880116552,22.218143183761278,75.10188513038447,20.703284763358532,72.8174466375378,21.315231459529606,75.0451568048331,45.11958566479152,45.11958566479152,False
ME-DOL-FO,0.007,fine,20,11,0.55,0.35,0.75,20,11,0.55,30665.454545454544,28248.0,44514.0,44514.0,61440.0,21091.636363636364,40854.545454545456,35666.4,52794.0,35234.4,52557.600000000006,44514.0,,True,20,11,0.55,245323.63636363635,225984.0,356112.0,356112.0,491520.0,157701.81818181818,323136.0,283104.0,421872.0,285436.80000000005,425712.00000000006,356112.0,,True,20,11,0.55,30665.454545454544,28248.0,44514.0,44514.0,61440.0,20515.636363636364,40614.545454545456,35913.6,52789.2,35542.79999999999,52539.59999999999,44514.0,,True,20,11,0.55,177.82729182862252,171.34859567834064,256.827325274155,260.5240151109873,361.5977880116552,123.75640065576458,235.93854249814865,204.96840589605273,304.4147429600591,206.60397600418656,310.10518135615854,256.827325274155,,True
