task_id,method,epsilon,region,worker_count,formal_seed,source,hit,first_hit_depth,first_hit_total_work,first_hit_per_worker_work,first_hit_training_time,censoring_depth,censoring_total_work,censoring_per_worker_work,censoring_training_time,final_stat_proxy
NOG-FO__coarse__m1__seed0,NOG-FO,0.1,coarse,1,0,run,True,6,384,384,0.5856159271206707,962,61568,61568,2.1044494779780507,0.009360606782138348
NOG-FO__coarse__m1__seed1,NOG-FO,0.1,coarse,1,1,run,True,6,384,384,0.3647912417072803,962,61568,61568,1.8816867384593934,0.00894316378980875
NOG-FO__coarse__m1__seed2,NOG-FO,0.1,coarse,1,2,run,True,6,384,384,0.18222239217720926,962,61568,61568,2.1903128107078373,0.009161199443042278
NOG-FO__coarse__m1__seed3,NOG-FO,0.1,coarse,1,3,run,True,6,384,384,0.34970050607807934,962,61568,61568,1.8009845446795225,0.007701444905251265
NOG-FO__coarse__m1__seed4,NOG-FO,0.1,coarse,1,4,run,True,6,384,384,0.2781769323628396,962,61568,61568,1.8757506974507123,0.009537715464830399
NOG-FO__coarse__m1__seed5,NOG-FO,0.1,coarse,1,5,run,True,6,384,384,0.16530672856606543,962,61568,61568,2.3520228213164955,0.008739792741835117
NOG-FO__coarse__m1__seed6,NOG-FO,0.1,coarse,1,6,run,True,6,384,384,0.09155568806454539,962,61568,61568,2.097021128050983,0.007899634540081024
NOG-FO__coarse__m1__seed7,NOG-FO,0.1,coarse,1,7,run,True,6,384,384,0.3534170624334365,962,61568,61568,1.9794115810655057,0.007644971366971731
NOG-FO__coarse__m1__seed8,NOG-FO,0.1,coarse,1,8,run,True,6,384,384,0.07959523377940059,962,61568,61568,2.012050425168127,0.00781095027923584
NOG-FO__coarse__m1__seed9,NOG-FO,0.1,coarse,1,9,run,True,6,384,384,0.357793373754248,962,61568,61568,1.911014256067574,0.009723183698952198
NOG-FO__coarse__m2__seed0,NOG-FO,0.1,coarse,2,0,run,True,6,384,192,0.30822633067145944,962,61568,30784,2.3680111500434577,0.00903347134590149
NOG-FO__coarse__m2__seed1,NOG-FO,0.1,coarse,2,1,run,True,6,384,192,0.3066753449384123,962,61568,30784,2.335058422293514,0.009023388847708702
NOG-FO__coarse__m2__seed2,NOG-FO,0.1,coarse,2,2,run,True,6,384,192,0.22991513926535845,962,61568,30784,2.4196524559520185,0.008471754379570484
NOG-FO__coarse__m2__seed3,NOG-FO,0.1,coarse,2,3,run,True,6,384,192,0.23539739637635648,962,61568,30784,2.360614774748683,0.008774791844189167
NOG-FO__coarse__m2__seed4,NOG-FO,0.1,coarse,2,4,run,True,6,384,192,0.22997567802667618,962,61568,30784,2.422494504135102,0.00815802812576294
NOG-FO__coarse__m2__seed5,NOG-FO,0.1,coarse,2,5,run,True,6,384,192,0.07228579511865973,962,61568,30784,2.2427590710576624,0.008607501164078712
NOG-FO__coarse__m2__seed6,NOG-FO,0.1,coarse,2,6,run,True,6,384,192,0.051423079799860716,962,61568,30784,2.2338878479786217,0.008128063753247261
NOG-FO__coarse__m2__seed7,NOG-FO,0.1,coarse,2,7,run,True,6,384,192,0.2590416958555579,962,61568,30784,2.3877441403456032,0.008741050027310848
NOG-FO__coarse__m2__seed8,NOG-FO,0.1,coarse,2,8,run,True,6,384,192,0.21662130602635443,962,61568,30784,2.4073446604888886,0.00887974537909031
NOG-FO__coarse__m2__seed9,NOG-FO,0.1,coarse,2,9,run,True,6,384,192,0.3003678878303617,962,61568,30784,2.50165627989918,0.00927476305514574
NOG-FO__coarse__m4__seed0,NOG-FO,0.1,coarse,4,0,run,True,6,384,96,0.3201890401542187,962,61568,15392,3.8455854521598667,0.008297495543956757
NOG-FO__coarse__m4__seed1,NOG-FO,0.1,coarse,4,1,run,True,6,384,96,0.5569753777235746,962,61568,15392,4.079457976855338,0.00855778157711029
