epsilon,worker_count,depth_me_over_nog_num_seeds,depth_me_over_nog_paired_hit_count,depth_me_over_nog_paired_hit_ratio_median,depth_me_over_nog_paired_hit_ratio_mean,depth_me_over_nog_capped_paired_ratio_mean,depth_me_over_nog_ratio_of_capped_means,depth_me_over_nog_ratios_are_conditional,work_nog_over_me_num_seeds,work_nog_over_me_paired_hit_count,work_nog_over_me_paired_hit_ratio_median,work_nog_over_me_paired_hit_ratio_mean,work_nog_over_me_capped_paired_ratio_mean,work_nog_over_me_ratio_of_capped_means,work_nog_over_me_ratios_are_conditional
0.1,1,10,10,1.0,1.0,1.0,1.0,False,10,10,64.0,64.0,64.0,64.0,False
0.1,2,10,10,1.0,1.0,1.0,1.0,False,10,10,32.0,32.0,32.0,32.0,False
0.1,4,10,10,1.0,1.0,1.0,1.0,False,10,10,16.0,16.0,16.0,16.0,False
0.1,8,10,10,1.0,1.0,1.0,1.0,False,10,10,8.0,8.0,8.0,8.0,False
0.01,1,10,0,,,26.99984800121599,6.837606837606837,True,10,0,,,9.36,9.360000000000001,True
0.01,2,10,4,9.0,8.895424836601308,10.549454253246013,7.258426966292135,True,10,4,3.8977443609022555,7.885423904589059,5.8341695618356235,4.408668730650154,True
0.01,4,10,7,6.176470588235294,9.448179271708684,10.34905632665051,5.387640449438202,True,10,7,2.5904761904761906,4.467951083773513,4.197565758641459,2.9697601668404587,True
0.01,8,10,8,4.111111111111111,4.611241830065359,4.910871689026488,4.258064516129032,True,10,8,2.1746938775510203,3.7383406908298245,3.3606725526638597,1.8787878787878787,True
0.005,1,10,0,,,0.9999674489762703,0.9999674489762703,True,10,0,,,512.0166666666667,512.0166666666667,True
0.005,2,10,0,,,0.9999674489762703,0.9999674489762703,True,10,0,,,256.0083333333333,256.0083333333333,True
0.005,4,10,0,,,0.9999674489762703,0.9999674489762703,True,10,0,,,128.00416666666666,128.00416666666666,True
0.005,8,10,0,,,0.9999674489762703,0.9999674489762703,True,10,0,,,64.00208333333333,64.00208333333333,True
