method,epsilon,region,worker_count,num_seeds,hit_count,hit_rate,hit_rate_ci_low,hit_rate_ci_high,depth_num_seeds,depth_hit_count,depth_hit_rate,depth_conditional_mean,depth_conditional_median,depth_capped_mean,depth_restricted_mean,depth_censoring_horizon,depth_conditional_mean_ci_low,depth_conditional_mean_ci_high,depth_capped_mean_ci_low,depth_capped_mean_ci_high,depth_restricted_mean_ci_low,depth_restricted_mean_ci_high,depth_mean_lower_bound,depth_mean_upper_bound,depth_upper_bound_is_unbounded,total_work_num_seeds,total_work_hit_count,total_work_hit_rate,total_work_conditional_mean,total_work_conditional_median,total_work_capped_mean,total_work_restricted_mean,total_work_censoring_horizon,total_work_conditional_mean_ci_low,total_work_conditional_mean_ci_high,total_work_capped_mean_ci_low,total_work_capped_mean_ci_high,total_work_restricted_mean_ci_low,total_work_restricted_mean_ci_high,total_work_mean_lower_bound,total_work_mean_upper_bound,total_work_upper_bound_is_unbounded,per_worker_work_num_seeds,per_worker_work_hit_count,per_worker_work_hit_rate,per_worker_work_conditional_mean,per_worker_work_conditional_median,per_worker_work_capped_mean,per_worker_work_restricted_mean,per_worker_work_censoring_horizon,per_worker_work_conditional_mean_ci_low,per_worker_work_conditional_mean_ci_high,per_worker_work_capped_mean_ci_low,per_worker_work_capped_mean_ci_high,per_worker_work_restricted_mean_ci_low,per_worker_work_restricted_mean_ci_high,per_worker_work_mean_lower_bound,per_worker_work_mean_upper_bound,per_worker_work_upper_bound_is_unbounded,training_time_num_seeds,training_time_hit_count,training_time_hit_rate,training_time_conditional_mean,training_time_conditional_median,training_time_capped_mean,training_time_restricted_mean,training_time_censoring_horizon,training_time_conditional_mean_ci_low,training_time_conditional_mean_ci_high,training_time_capped_mean_ci_low,training_time_capped_mean_ci_high,training_time_restricted_mean_ci_low,training_time_restricted_mean_ci_high,training_time_mean_lower_bound,training_time_mean_upper_bound,training_time_upper_bound_is_unbounded
NOG-FO,0.1,coarse,1,10,10,1.0,1.0,1.0,10,10,1.0,6.0,6.0,6.0,6.0,962.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,10,10,1.0,384.0,384.0,384.0,384.0,61568.0,384.0,384.0,384.0,384.0,384.0,384.0,384.0,384.0,False,10,10,1.0,384.0,384.0,384.0,384.0,61568.0,384.0,384.0,384.0,384.0,384.0,384.0,384.0,384.0,False,10,10,1.0,0.2808175086043775,0.31393871922045946,0.2808175086043775,0.2808175086043775,2.3520228213164955,0.19477311179507523,0.3763831649208441,0.1871912089874968,0.3707777704577893,0.193296429887414,0.37611242760904134,0.2808175086043775,0.2808175086043775,False
NOG-FO,0.1,coarse,2,10,10,1.0,1.0,1.0,10,10,1.0,6.0,6.0,6.0,6.0,962.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,10,10,1.0,384.0,384.0,384.0,384.0,61568.0,384.0,384.0,384.0,384.0,384.0,384.0,384.0,384.0,False,10,10,1.0,192.0,192.0,192.0,192.0,30784.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,False,10,10,1.0,0.22099296539090574,0.23268653720151633,0.22099296539090574,0.22099296539090574,2.50165627989918,0.16407152225729077,0.2694106029113755,0.16380967367440463,0.26736627214122566,0.16700250464491545,0.2703559179091827,0.22099296539090574,0.22099296539090574,False
NOG-FO,0.1,coarse,4,10,10,1.0,1.0,1.0,10,10,1.0,6.0,6.0,6.0,6.0,962.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,10,10,1.0,384.0,384.0,384.0,384.0,61568.0,384.0,384.0,384.0,384.0,384.0,384.0,384.0,384.0,False,10,10,1.0,96.0,96.0,96.0,96.0,15392.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,False,10,10,1.0,0.45748782812152056,0.5382857121294364,0.45748782812152056,0.45748782812152056,4.174699710914865,0.34990605877246705,0.5527616148116067,0.3444057688117027,0.5518837131559848,0.349867214425467,0.5514417120255529,0.45748782812152056,0.45748782812152056,False
NOG-FO,0.1,coarse,8,10,10,1.0,1.0,1.0,10,10,1.0,6.0,6.0,6.0,6.0,962.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,10,10,1.0,384.0,384.0,384.0,384.0,61568.0,384.0,384.0,384.0,384.0,384.0,384.0,384.0,384.0,False,10,10,1.0,48.0,48.0,48.0,48.0,7696.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,False,10,10,1.0,0.2604058067779988,0.2608256624080241,0.2604058067779988,0.2604058067779988,5.904744853032753,0.21828547487966715,0.30165007994510235,0.21776404872070998,0.30282431214582173,0.21871421399991958,0.30180660511832685,0.2604058067779988,0.2604058067779988,False
NOG-FO,0.01,medium,1,10,10,1.0,1.0,1.0,10,10,1.0,140.4,78.0,140.4,140.39999999999998,962.0,54.0,289.2,54.0,289.2,54.00000000000001,284.40000000000003,140.4,140.4,False,10,10,1.0,8985.6,4992.0,8985.6,8985.599999999999,61568.0,3456.0,18508.8,3456.0,18508.8,3456.0000000000005,18508.8,8985.6,8985.6,False,10,10,1.0,8985.6,4992.0,8985.6,8985.599999999999,61568.0,3456.0,18508.8,3456.0,18508.8,3456.0000000000005,18508.8,8985.6,8985.6,False,10,10,1.0,0.6225551693467424,0.5344339283183217,0.6225551693467424,0.6225551693467422,2.11154562770389,0.4614293452585116,0.8676501097390428,0.4621377100236714,0.8764094623969868,0.4634371697902679,0.8542340829502791,0.6225551693467424,0.6225551693467424,False
NOG-FO,0.01,medium,2,10,10,1.0,1.0,1.0,10,10,1.0,106.8,54.0,106.8,106.8,962.0,58.8,164.4,58.8,164.4,58.8,164.4,106.8,106.8,False,10,10,1.0,6835.2,3456.0,6835.2,6835.2,61568.0,3763.2,10521.6,3763.2,10214.4,4070.3999999999996,10521.6,6835.2,6835.2,False,10,10,1.0,3417.6,1728.0,3417.6,3417.6,30784.0,2035.2,5260.8,1881.6,5260.8,1881.6,5107.2,3417.6,3417.6,False,10,10,1.0,0.4568344686413184,0.4514261333970353,0.4568344686413184,0.45683446864131827,2.6425184067338705,0.3395233001327142,0.5754651057301089,0.34375745316501705,0.5704892124049366,0.33529679165221754,0.5755540066631512,0.4568344686413184,0.4568344686413184,False
NOG-FO,0.01,medium,4,10,10,1.0,1.0,1.0,10,10,1.0,106.8,54.0,106.8,106.80000000000001,962.0,44.4,207.6,49.2,207.6,49.2,202.8,106.8,106.8,False,10,10,1.0,6835.2,3456.0,6835.2,6835.200000000001,61568.0,3148.8,13286.4,3148.8,13286.4,3148.7999999999997,13286.400000000001,6835.2,6835.2,False,10,10,1.0,1708.8,864.0,1708.8,1708.8000000000002,15392.0,710.4,3321.6,710.4,3321.6,787.1999999999999,3321.6,1708.8,1708.8,False,10,10,1.0,0.5329292985145002,0.32580363110173494,0.5329292985145002,0.5329292985145003,3.8739965392742306,0.3145931632490829,0.8958403615048155,0.3094849657732993,0.9127174167195335,0.3109132609562948,0.905010097892955,0.5329292985145002,0.5329292985145002,False
NOG-FO,0.01,medium,8,10,10,1.0,1.0,1.0,10,10,1.0,111.6,102.0,111.6,111.60000000000001,962.0,63.6,174.0,68.4,174.0,63.60000000000001,169.20000000000005,111.6,111.6,False,10,10,1.0,7142.4,6528.0,7142.4,7142.400000000001,61568.0,4070.4,11136.0,4070.4,10828.8,4070.4000000000005,10828.800000000001,7142.4,7142.4,False,10,10,1.0,892.8,816.0,892.8,892.8000000000001,7696.0,508.8,1392.0,508.8,1392.0,508.80000000000007,1392.0,892.8,892.8,False,10,10,1.0,0.9011535090627149,0.7935267244465649,0.9011535090627149,0.901153509062715,6.301989590050653,0.6489346193615347,1.2090391688514501,0.6637078475672752,1.2132721944013611,0.6657987034646795,1.2079512636875736,0.9011535090627149,0.9011535090627149,False
NOG-FO,0.005,fine,1,10,0,0.0,0.0,0.0,10,0,0.0,,,61442.0,61442.0,61442.0,,,61442.0,61442.0,61442.0,61442.0,61442.0,,True,10,0,0.0,,,31458304.0,31458304.0,31458304.0,,,31458304.0,31458304.0,31458304.0,31458304.0,31458304.0,,True,10,0,0.0,,,31458304.0,31458304.0,31458304.0,,,31458304.0,31458304.0,31458304.0,31458304.0,31458304.0,,True,10,0,0.0,,,257.33299715556205,261.9576915123034,261.9576915123034,,,255.05217862485443,259.4756608882919,261.9576915123034,261.9576915123034,257.33299715556205,,True
NOG-FO,0.005,fine,2,10,0,0.0,0.0,0.0,10,0,0.0,,,61442.0,61442.0,61442.0,,,61442.0,61442.0,61442.0,61442.0,61442.0,,True,10,0,0.0,,,31458304.0,31458304.0,31458304.0,,,31458304.0,31458304.0,31458304.0,31458304.0,31458304.0,,True,10,0,0.0,,,15729152.0,15729152.0,15729152.0,,,15729152.0,15729152.0,15729152.0,15729152.0,15729152.0,,True,10,0,0.0,,,331.6465218165889,343.0710347574204,343.0710347574204,,,326.4329557493562,336.5583771240199,343.0710347574204,343.0710347574204,331.6465218165889,,True
