formal_config_id,method,formal_seed,worker_count,rounds,checkpoint_count,partial_sha256,config_sha256,expected_config_sha256,final_depth,final_total_work,final_per_worker_work,final_eval_work,passed,errors,region,task_id
NOG-FO__coarse,NOG-FO,0,8,960,21,afaa257fc700a50203851bf9d3e193f98b8a4b3f22c178189098691c2246e42d,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,7696,172032,True,,coarse,NOG-FO__coarse__seed0
NOG-FO__coarse,NOG-FO,1,8,960,21,f86be21fd3ec8bcf28eba1918c0fd92382de718e273e33d3c916b72372d8261e,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,7696,172032,True,,coarse,NOG-FO__coarse__seed1
NOG-FO__coarse,NOG-FO,2,8,960,21,184638502578a981855b2194fccf5e79598f52f0c10c8ab984b7dac2179987dd,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,7696,172032,True,,coarse,NOG-FO__coarse__seed2
NOG-FO__coarse,NOG-FO,3,8,960,21,eed6079704dacdd8e3ad67c31bf6b0e62c09104c092c85aad8b2fcad882a015e,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,7696,172032,True,,coarse,NOG-FO__coarse__seed3
NOG-FO__coarse,NOG-FO,4,8,960,21,d0f5e254a752ace987bdf0ac366b1942fef520393dc88e207d1182ef9ee8f6eb,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,7696,172032,True,,coarse,NOG-FO__coarse__seed4
NOG-FO__coarse,NOG-FO,5,8,960,21,8a9a8d8fe8a61659d4ad3f9aa7659bd356e059952cce076a7f1c2a5ffc045eb5,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,7696,172032,True,,coarse,NOG-FO__coarse__seed5
NOG-FO__coarse,NOG-FO,6,8,960,21,39fc567d35d129e7326fb37fcae8ce3e388cac3b095d6353fc8baabf9f35337a,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,7696,172032,True,,coarse,NOG-FO__coarse__seed6
NOG-FO__coarse,NOG-FO,7,8,960,21,fc16628fc398950f45031358a4fcd317348513f340a3ae486db1e38047a90ad0,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,7696,172032,True,,coarse,NOG-FO__coarse__seed7
NOG-FO__coarse,NOG-FO,8,8,960,21,6aac72f92e40964ed8b9237b4148ea81027301d90246903b49fb46cc4b3f7134,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,7696,172032,True,,coarse,NOG-FO__coarse__seed8
NOG-FO__coarse,NOG-FO,9,8,960,21,f05e9c910c46b40340bb1bde832624fe6fd59ad6aac26ae4937b7a20c313e926,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,7696,172032,True,,coarse,NOG-FO__coarse__seed9
