formal_config_id,method,formal_seed,worker_count,rounds,checkpoint_count,partial_sha256,config_sha256,expected_config_sha256,final_depth,final_total_work,final_per_worker_work,final_eval_work,passed,errors,task_id,region,epsilon,source
NOG-FO__coarse__m1__seed0,NOG-FO,0,1,960,21,560dd754904a2f4fe8e818a63e6fad5fbecc2fa55fbf4c958d993865754b7d03,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,61568,172032,True,,NOG-FO__coarse__m1__seed0,coarse,0.1,run
NOG-FO__coarse__m1__seed1,NOG-FO,1,1,960,21,a8820a528ace5c2bbf3fdc74b1b43b68f04f5629d9393cdfbcfa65e2969b1964,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,61568,172032,True,,NOG-FO__coarse__m1__seed1,coarse,0.1,run
NOG-FO__coarse__m1__seed2,NOG-FO,2,1,960,21,abf2d323aea5a7d82f90feb17714f55581c1268e63120eafb0c716c7d43da1bd,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,61568,172032,True,,NOG-FO__coarse__m1__seed2,coarse,0.1,run
NOG-FO__coarse__m1__seed3,NOG-FO,3,1,960,21,45f390d685dfa10f224ca7fbd0af98f74c28273e82a9626e777c0e0617194830,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,61568,172032,True,,NOG-FO__coarse__m1__seed3,coarse,0.1,run
NOG-FO__coarse__m1__seed4,NOG-FO,4,1,960,21,485ee2a59ae33c66afbeab1754c2f0a0e1bce7b29adc27b5fe9d853513f82cbc,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,61568,172032,True,,NOG-FO__coarse__m1__seed4,coarse,0.1,run
NOG-FO__coarse__m1__seed5,NOG-FO,5,1,960,21,f4628e2e8cb6849578c7c8ff4ea7bb45cb9047d8778bc9cfd6f585e8cf2152b4,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,61568,172032,True,,NOG-FO__coarse__m1__seed5,coarse,0.1,run
NOG-FO__coarse__m1__seed6,NOG-FO,6,1,960,21,2058cc6b5d42fb42f55afab553035648ce212d7d2dd0df7e2ab65334fcda0d8f,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,61568,172032,True,,NOG-FO__coarse__m1__seed6,coarse,0.1,run
NOG-FO__coarse__m1__seed7,NOG-FO,7,1,960,21,e85b21f88d69b25022df8a64bcbbc76af6d1f40716b58f07811c7ca4806897c8,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,61568,172032,True,,NOG-FO__coarse__m1__seed7,coarse,0.1,run
NOG-FO__coarse__m1__seed8,NOG-FO,8,1,960,21,57728056e937a0fe95a7762826554ccce13be40b43316075240a74bce9b775d0,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,61568,172032,True,,NOG-FO__coarse__m1__seed8,coarse,0.1,run
NOG-FO__coarse__m1__seed9,NOG-FO,9,1,960,21,03be1a9d1605fe8611f48a959c8a18a5ac65d4d8c9ae19f1e8c152d0cef2a642,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,61568,172032,True,,NOG-FO__coarse__m1__seed9,coarse,0.1,run
NOG-FO__coarse__m2__seed0,NOG-FO,0,2,960,21,49ddd8aabb7b8c5b11932787995638bd793dc9835797dede0a7cb35bde71b9bc,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,30784,172032,True,,NOG-FO__coarse__m2__seed0,coarse,0.1,run
NOG-FO__coarse__m2__seed1,NOG-FO,1,2,960,21,090ddc3986830e8824f7506af6f69b8fc0fb8884e11e21a43bcb854211a42a8e,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,30784,172032,True,,NOG-FO__coarse__m2__seed1,coarse,0.1,run
NOG-FO__coarse__m2__seed2,NOG-FO,2,2,960,21,577ea31b6286f757fd92edee0db70450285bd619bfe6a0a629e8ea4fec02dad9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,30784,172032,True,,NOG-FO__coarse__m2__seed2,coarse,0.1,run
NOG-FO__coarse__m2__seed3,NOG-FO,3,2,960,21,c115e29e849d81f0b97ea3c66cfae80b15654de3e95de67d160c7bd228dfec33,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,30784,172032,True,,NOG-FO__coarse__m2__seed3,coarse,0.1,run
NOG-FO__coarse__m2__seed4,NOG-FO,4,2,960,21,ecf332ab3ec454f28dce8955d9dfda28b7401ac003de38d6644dc84074333b42,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,30784,172032,True,,NOG-FO__coarse__m2__seed4,coarse,0.1,run
NOG-FO__coarse__m2__seed5,NOG-FO,5,2,960,21,f298d1f782be8d064147f9f8d5ed31d375157fdcb885c0fe03e0d56707ed16f1,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,30784,172032,True,,NOG-FO__coarse__m2__seed5,coarse,0.1,run
NOG-FO__coarse__m2__seed6,NOG-FO,6,2,960,21,82c315a3aad2e1f05914fb9f81f115b04389d76bf78ae4ab39170fd1fa52e79e,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,30784,172032,True,,NOG-FO__coarse__m2__seed6,coarse,0.1,run
NOG-FO__coarse__m2__seed7,NOG-FO,7,2,960,21,493044d35c6b12fa0679af1008a1e236b24278660f7a97cb1366ebc0bbd0cc44,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,30784,172032,True,,NOG-FO__coarse__m2__seed7,coarse,0.1,run
NOG-FO__coarse__m2__seed8,NOG-FO,8,2,960,21,e3e2f3908f807c0f8c210174795a440da1579fd8ec47cf46bd035331bf228277,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,30784,172032,True,,NOG-FO__coarse__m2__seed8,coarse,0.1,run
