method,label,epsilon,hit_count,mean_depth_hits,mean_total_work_hits
NOG-FO,NOG-FO__M-2__eta-0p5__batch-total-128__rounds-15360,0.01,5,429.2,54937.6
NOG-FO,NOG-FO__M-2__eta-0p5__batch-total-128__rounds-15360,0.00975,5,1096.4,140339.2
NOG-FO,NOG-FO__M-2__eta-0p5__batch-total-128__rounds-15360,0.0095,5,4086.8,523110.4
NOG-FO,NOG-FO__M-2__eta-0p5__batch-total-128__rounds-15360,0.00925,3,8122.0,1039616.0
NOG-FO,NOG-FO__M-2__eta-0p5__batch-total-128__rounds-15360,0.009,0,,
NOG-FO,NOG-FO__M-2__eta-0p5__batch-total-128__rounds-15360,0.00875,0,,
NOG-FO,NOG-FO__M-2__eta-0p5__batch-total-128__rounds-15360,0.0085,0,,
NOG-FO,NOG-FO__M-2__eta-0p5__batch-total-128__rounds-15360,0.00825,0,,
NOG-FO,NOG-FO__M-2__eta-0p5__batch-total-128__rounds-15360,0.008,0,,
NOG-FO,NOG-FO__M-2__eta-0p5__batch-total-128__rounds-15360,0.00775,0,,
NOG-FO,NOG-FO__M-2__eta-0p5__batch-total-128__rounds-15360,0.0075,0,,
NOG-FO,NOG-FO__M-2__eta-0p5__batch-total-128__rounds-15360,0.00725,0,,
NOG-FO,NOG-FO__M-2__eta-0p5__batch-total-128__rounds-15360,0.007,0,,
NOG-FO,NOG-FO__M-2__eta-0p5__batch-total-128__rounds-15360,0.00675,0,,
NOG-FO,NOG-FO__M-2__eta-0p5__batch-total-128__rounds-15360,0.0065,0,,
NOG-FO,NOG-FO__M-2__eta-0p5__batch-total-128__rounds-15360,0.00625,0,,
NOG-FO,NOG-FO__M-2__eta-0p5__batch-total-128__rounds-15360,0.006,0,,
NOG-FO,NOG-FO__M-2__eta-0p5__batch-total-128__rounds-15360,0.00575,0,,
NOG-FO,NOG-FO__M-2__eta-0p5__batch-total-128__rounds-15360,0.0055,0,,
NOG-FO,NOG-FO__M-2__eta-0p5__batch-total-128__rounds-15360,0.00525,0,,
NOG-FO,NOG-FO__M-2__eta-0p5__batch-total-128__rounds-15360,0.005,0,,
NOG-FO,NOG-FO__M-2__eta-0p5__batch-total-128__rounds-15360,0.00475,0,,
NOG-FO,NOG-FO__M-2__eta-0p5__batch-total-128__rounds-15360,0.0045,0,,
NOG-FO,NOG-FO__M-2__eta-0p5__batch-total-128__rounds-15360,0.00425,0,,
NOG-FO,NOG-FO__M-2__eta-0p5__batch-total-128__rounds-15360,0.004,0,,
NOG-FO,NOG-FO__M-2__eta-1__batch-total-128__rounds-15360,0.01,5,170.0,21760.0
NOG-FO,NOG-FO__M-2__eta-1__batch-total-128__rounds-15360,0.00975,5,170.0,21760.0
NOG-FO,NOG-FO__M-2__eta-1__batch-total-128__rounds-15360,0.0095,5,170.0,21760.0
NOG-FO,NOG-FO__M-2__eta-1__batch-total-128__rounds-15360,0.00925,5,170.0,21760.0
NOG-FO,NOG-FO__M-2__eta-1__batch-total-128__rounds-15360,0.009,5,170.0,21760.0
NOG-FO,NOG-FO__M-2__eta-1__batch-total-128__rounds-15360,0.00875,5,170.0,21760.0
NOG-FO,NOG-FO__M-2__eta-1__batch-total-128__rounds-15360,0.0085,5,170.0,21760.0
NOG-FO,NOG-FO__M-2__eta-1__batch-total-128__rounds-15360,0.00825,5,174.8,22374.4
NOG-FO,NOG-FO__M-2__eta-1__batch-total-128__rounds-15360,0.008,5,174.8,22374.4
NOG-FO,NOG-FO__M-2__eta-1__batch-total-128__rounds-15360,0.00775,5,184.4,23603.2
NOG-FO,NOG-FO__M-2__eta-1__batch-total-128__rounds-15360,0.0075,5,270.8,34662.4
NOG-FO,NOG-FO__M-2__eta-1__batch-total-128__rounds-15360,0.00725,5,453.2,58009.6
NOG-FO,NOG-FO__M-2__eta-1__batch-total-128__rounds-15360,0.007,5,3131.6,400844.8
NOG-FO,NOG-FO__M-2__eta-1__batch-total-128__rounds-15360,0.00675,4,2558.0,327424.0
NOG-FO,NOG-FO__M-2__eta-1__batch-total-128__rounds-15360,0.0065,2,3614.0,462592.0
NOG-FO,NOG-FO__M-2__eta-1__batch-total-128__rounds-15360,0.00625,0,,
NOG-FO,NOG-FO__M-2__eta-1__batch-total-128__rounds-15360,0.006,0,,
NOG-FO,NOG-FO__M-2__eta-1__batch-total-128__rounds-15360,0.00575,0,,
NOG-FO,NOG-FO__M-2__eta-1__batch-total-128__rounds-15360,0.0055,0,,
NOG-FO,NOG-FO__M-2__eta-1__batch-total-128__rounds-15360,0.00525,0,,
NOG-FO,NOG-FO__M-2__eta-1__batch-total-128__rounds-15360,0.005,0,,
NOG-FO,NOG-FO__M-2__eta-1__batch-total-128__rounds-15360,0.00475,0,,
NOG-FO,NOG-FO__M-2__eta-1__batch-total-128__rounds-15360,0.0045,0,,
NOG-FO,NOG-FO__M-2__eta-1__batch-total-128__rounds-15360,0.00425,0,,
NOG-FO,NOG-FO__M-2__eta-1__batch-total-128__rounds-15360,0.004,0,,
NOG-FO,NOG-FO__M-2__eta-2__batch-total-128__rounds-15360,0.01,5,179.6,22988.8
NOG-FO,NOG-FO__M-2__eta-2__batch-total-128__rounds-15360,0.00975,5,179.6,22988.8
NOG-FO,NOG-FO__M-2__eta-2__batch-total-128__rounds-15360,0.0095,5,179.6,22988.8
NOG-FO,NOG-FO__M-2__eta-2__batch-total-128__rounds-15360,0.00925,5,184.4,23603.2
NOG-FO,NOG-FO__M-2__eta-2__batch-total-128__rounds-15360,0.009,5,189.2,24217.6
NOG-FO,NOG-FO__M-2__eta-2__batch-total-128__rounds-15360,0.00875,5,189.2,24217.6
NOG-FO,NOG-FO__M-2__eta-2__batch-total-128__rounds-15360,0.0085,5,189.2,24217.6
NOG-FO,NOG-FO__M-2__eta-2__batch-total-128__rounds-15360,0.00825,5,189.2,24217.6
NOG-FO,NOG-FO__M-2__eta-2__batch-total-128__rounds-15360,0.008,5,189.2,24217.6
NOG-FO,NOG-FO__M-2__eta-2__batch-total-128__rounds-15360,0.00775,5,189.2,24217.6
NOG-FO,NOG-FO__M-2__eta-2__batch-total-128__rounds-15360,0.0075,5,189.2,24217.6
NOG-FO,NOG-FO__M-2__eta-2__batch-total-128__rounds-15360,0.00725,5,194.0,24832.0
NOG-FO,NOG-FO__M-2__eta-2__batch-total-128__rounds-15360,0.007,5,198.8,25446.4
NOG-FO,NOG-FO__M-2__eta-2__batch-total-128__rounds-15360,0.00675,5,198.8,25446.4
NOG-FO,NOG-FO__M-2__eta-2__batch-total-128__rounds-15360,0.0065,5,261.2,33433.6
NOG-FO,NOG-FO__M-2__eta-2__batch-total-128__rounds-15360,0.00625,5,390.8,50022.4
NOG-FO,NOG-FO__M-2__eta-2__batch-total-128__rounds-15360,0.006,5,1667.6,213452.8
NOG-FO,NOG-FO__M-2__eta-2__batch-total-128__rounds-15360,0.00575,5,2858.0,365824.0
NOG-FO,NOG-FO__M-2__eta-2__batch-total-128__rounds-15360,0.0055,3,5482.0,701696.0
NOG-FO,NOG-FO__M-2__eta-2__batch-total-128__rounds-15360,0.00525,1,2738.0,350464.0
NOG-FO,NOG-FO__M-2__eta-2__batch-total-128__rounds-15360,0.005,0,,
NOG-FO,NOG-FO__M-2__eta-2__batch-total-128__rounds-15360,0.00475,0,,
NOG-FO,NOG-FO__M-2__eta-2__batch-total-128__rounds-15360,0.0045,0,,
NOG-FO,NOG-FO__M-2__eta-2__batch-total-128__rounds-15360,0.00425,0,,
NOG-FO,NOG-FO__M-2__eta-2__batch-total-128__rounds-15360,0.004,0,,
NOG-FO,NOG-FO__M-4__eta-0p5__batch-total-128__rounds-15360,0.01,5,314.0,40192.0
NOG-FO,NOG-FO__M-4__eta-0p5__batch-total-128__rounds-15360,0.00975,5,314.0,40192.0
NOG-FO,NOG-FO__M-4__eta-0p5__batch-total-128__rounds-15360,0.0095,5,314.0,40192.0
NOG-FO,NOG-FO__M-4__eta-0p5__batch-total-128__rounds-15360,0.00925,5,314.0,40192.0
NOG-FO,NOG-FO__M-4__eta-0p5__batch-total-128__rounds-15360,0.009,5,314.0,40192.0
NOG-FO,NOG-FO__M-4__eta-0p5__batch-total-128__rounds-15360,0.00875,5,314.0,40192.0
NOG-FO,NOG-FO__M-4__eta-0p5__batch-total-128__rounds-15360,0.0085,5,314.0,40192.0
NOG-FO,NOG-FO__M-4__eta-0p5__batch-total-128__rounds-15360,0.00825,5,314.0,40192.0
NOG-FO,NOG-FO__M-4__eta-0p5__batch-total-128__rounds-15360,0.008,5,323.6,41420.8
NOG-FO,NOG-FO__M-4__eta-0p5__batch-total-128__rounds-15360,0.00775,5,328.4,42035.2
NOG-FO,NOG-FO__M-4__eta-0p5__batch-total-128__rounds-15360,0.0075,5,328.4,42035.2
NOG-FO,NOG-FO__M-4__eta-0p5__batch-total-128__rounds-15360,0.00725,5,328.4,42035.2
NOG-FO,NOG-FO__M-4__eta-0p5__batch-total-128__rounds-15360,0.007,5,328.4,42035.2
NOG-FO,NOG-FO__M-4__eta-0p5__batch-total-128__rounds-15360,0.00675,5,333.2,42649.6
NOG-FO,NOG-FO__M-4__eta-0p5__batch-total-128__rounds-15360,0.0065,5,333.2,42649.6
NOG-FO,NOG-FO__M-4__eta-0p5__batch-total-128__rounds-15360,0.00625,5,342.8,43878.4
NOG-FO,NOG-FO__M-4__eta-0p5__batch-total-128__rounds-15360,0.006,5,352.4,45107.2
NOG-FO,NOG-FO__M-4__eta-0p5__batch-total-128__rounds-15360,0.00575,5,530.0,67840.0
NOG-FO,NOG-FO__M-4__eta-0p5__batch-total-128__rounds-15360,0.0055,5,1038.8,132966.4
NOG-FO,NOG-FO__M-4__eta-0p5__batch-total-128__rounds-15360,0.00525,5,3698.0,473344.0
NOG-FO,NOG-FO__M-4__eta-0p5__batch-total-128__rounds-15360,0.005,3,2826.0,361728.0
NOG-FO,NOG-FO__M-4__eta-0p5__batch-total-128__rounds-15360,0.00475,0,,
