scope,epsilon,nog_batch_total,me_batch_total,num_seeds,paired_hit_count,ratios_use_capped_values,depth_ratio_mean,depth_ratio_sd,depth_ratio_ci_low,depth_ratio_ci_high,work_ratio_mean,work_ratio_sd,work_ratio_ci_low,work_ratio_ci_high,complete_case_depth_ratio_mean,complete_case_work_ratio_mean
primary,0.01,32,32,30,30,False,0.4620468021681399,0.036366266185993944,0.45015153321071594,0.4752908467515316,2.1764855514855515,0.1610450609930743,2.1194372756872757,2.229945286195286,0.4620468021681399,2.1764855514855515
primary,0.00975,32,32,30,30,False,0.46760318050697736,0.043568641397429046,0.45291548164839796,0.4836021729748915,2.1555552664927666,0.18997735757965378,2.0868776478151476,2.220960520960521,0.46760318050697736,2.1555552664927666
primary,0.0095,32,32,30,30,False,0.4705631214410379,0.047511755212304926,0.4550402310093745,0.48892991112164014,2.1446875292463528,0.20293170540909147,2.0719397976750917,2.2152521498109734,0.4705631214410379,2.1446875292463528
primary,0.00925,32,32,30,30,False,0.47193266213949625,0.048501820538838135,0.4554685495252384,0.4896787467954082,2.1394559362206422,0.20832738214561833,2.0672778338219513,2.2095186757686758,0.47193266213949625,2.1394559362206422
primary,0.009,32,32,30,30,False,0.4815521944007887,0.04693040354682359,0.46528706810486464,0.4979701023047632,2.095846120110826,0.2055042184484945,2.026337061631179,2.170153457653458,0.4815521944007887,2.095846120110826
primary,0.00875,32,32,30,30,False,0.49233111521470385,0.050026863911802444,0.474110952864434,0.5102380891799558,2.0526737274163747,0.22092778258037213,1.9746656026435438,2.135681274743775,0.49233111521470385,2.0526737274163747
primary,0.0085,32,32,30,30,False,0.5076765046200526,0.06314974950650012,0.48480905078150355,0.528985627525763,1.9999636449697724,0.25326216535122054,1.9144459695623912,2.087428840449674,0.5076765046200526,1.9999636449697724
primary,0.00825,32,32,30,30,False,0.5356670267183895,0.08691223628845193,0.5064154464625827,0.5661299582124176,1.9122272419392516,0.29697757047791634,1.80872579852972,2.0164605610438944,0.5356670267183895,1.9122272419392516
primary,0.008,32,32,30,30,False,0.5723656226037764,0.11726224551655971,0.5325983971458941,0.6158942924525632,1.8113665959489618,0.33517870067717204,1.6950727749370036,1.9317107266371971,0.5723656226037764,1.8113665959489618
primary,0.00775,32,32,30,30,False,0.6079071375017694,0.13201610361058333,0.5638355395781833,0.6570265876820487,1.7165209721724637,0.35255523016387647,1.5956618938443732,1.839741560894704,0.6079071375017694,1.7165209721724637
primary,0.0075,32,32,30,30,False,0.6787367103946234,0.1939266935600631,0.6166850411785926,0.750946993378355,1.5710285960102417,0.38909719882429716,1.436463832506789,1.7076471337113752,0.6787367103946234,1.5710285960102417
diagnostic_midpoint,0.007375,32,64,30,30,False,0.44214512739852024,0.03910106297993966,0.42886686586760736,0.4564151573547682,1.1393489377588641,0.09990391629114419,1.1056630291005292,1.1742160154660155,0.44214512739852024,1.1393489377588641
primary,0.00725,32,64,30,30,False,0.43610158807125643,0.03529395171021118,0.42364279462834653,0.44826439168267074,1.1535347124961095,0.09007869395877778,1.1208049704924705,1.185918653786301,0.43610158807125643,1.1535347124961095
primary,0.007,32,64,30,30,False,0.44351909555625507,0.04249657287226503,0.42933154376428123,0.45841786023714404,1.1369968233019703,0.10480956074350249,1.0997049882987384,1.173552096052096,0.44351909555625507,1.1369968233019703
primary,0.00675,32,64,30,30,False,0.4632799277422159,0.053120866676705014,0.44452544083710394,0.48272543507716603,1.0934952194909302,0.1291209886496428,1.0479966602025426,1.1378786587640755,0.4632799277422159,1.0934952194909302
primary,0.0065,32,64,30,30,False,0.4752473988414139,0.05667044823990072,0.4540972679440364,0.4952479279955219,1.067616725427613,0.1359203035946933,1.0202007333147685,1.1199141271537105,0.4752473988414139,1.067616725427613
primary,0.00625,32,64,30,30,False,0.5020091970177714,0.07481325165862587,0.47653243258105427,0.5272752832386879,1.0186777951640245,0.16012619652357246,0.9633376466871049,1.0755703495504514,0.5020091970177714,1.0186777951640245
primary,0.006,32,96,30,30,False,0.42741459600426257,0.06821611375104374,0.4030796026673968,0.45184432695249693,0.798520956084488,0.12306488839291926,0.7551263642546537,0.8402322107430467,0.42741459600426257,0.798520956084488
primary,0.00575,32,96,30,30,False,0.4257244787314463,0.07952181206992676,0.3985000368776166,0.4528602427337329,0.8083430195002478,0.14274782730427635,0.7567295090800853,0.8589789957443467,0.4257244787314463,0.8083430195002478
primary,0.0055,32,96,30,30,False,0.4195372171328111,0.0829761956780453,0.39054998575908434,0.44773186351776917,0.8282956314117089,0.18400566927980158,0.7643402819342362,0.893814446850115,0.4195372171328111,0.8282956314117089
primary,0.00525,64,128,30,30,False,0.5731408882408889,0.09656946862609697,0.5408782815106485,0.6101859876911961,0.8926021651350599,0.12636948789191182,0.8463333324407886,0.9354039389785004,0.5731408882408889,0.8926021651350599
primary,0.005,64,128,30,30,False,0.5372751549749761,0.10659469305145096,0.5025829762908821,0.577041278292681,0.9614080955987883,0.16471320468735653,0.9010828257116312,1.018241566672778,0.5372751549749761,0.9614080955987883
primary,0.00475,96,128,30,30,False,0.7443700143946911,0.15828294126626324,0.6890558662694665,0.8037058474279,1.0500967554726262,0.2131809823905915,0.9740491211807485,1.1230021348280346,0.7443700143946911,1.0500967554726262
primary,0.0045,128,128,30,30,False,0.871356917261259,0.20625483546693987,0.8028946512724053,0.9478670928094207,1.20722638862033,0.27337079422107746,1.1099592259982052,1.3090585273922908,0.871356917261259,1.20722638862033
primary,0.00425,256,192,30,30,False,1.0258109731637812,0.15754313318107596,0.9691747735901807,1.0784734787154533,1.3334077113626477,0.23283497304615974,1.258091734419564,1.4199233832584366,1.0258109731637812,1.3334077113626477
primary,0.004,256,192,30,30,False,1.086623991816335,0.2232391200565732,1.0063245577182303,1.1702184255870225,1.2825436887278059,0.29026254142483315,1.1852858148295697,1.3925231026143927,1.086623991816335,1.2825436887278059
