scope,method,epsilon,data_B_total,num_seeds,hit_count,hit_rate,depth_mean_hits,depth_sd_hits,work_mean_hits,work_sd_hits,capped_depth_mean,capped_work_mean,mean_final_stat_proxy
primary,NOG-FO,0.01,32,30,30,1.0,626.8,23.14333150398724,20057.6,740.5866081275917,626.8,20057.6,0.0054673326667398214
primary,ME-DOL-FO,0.01,32,30,30,1.0,289.6,25.158257710630178,9267.2,805.0642467401657,289.6,9267.2,0.007557784921179215
primary,NOG-FO,0.00975,32,30,30,1.0,631.6,23.314343668429853,20211.2,746.0589973897553,631.6,20211.2,0.0054673326667398214
primary,ME-DOL-FO,0.00975,32,30,30,1.0,295.2,28.29207272912935,9446.4,905.3463273321393,295.2,9446.4,0.007557784921179215
primary,NOG-FO,0.0095,32,30,30,1.0,641.2,27.096761481007665,20518.4,867.0963673922453,641.2,20518.4,0.0054673326667398214
primary,ME-DOL-FO,0.0095,32,30,30,1.0,301.6,31.941325518238422,9651.2,1022.1224165836295,301.6,9651.2,0.007557784921179215
primary,NOG-FO,0.00925,32,30,30,1.0,647.6,26.998850550245333,20723.2,863.9632176078507,647.6,20723.2,0.0054673326667398214
primary,ME-DOL-FO,0.00925,32,30,30,1.0,305.6,33.902090262075745,9779.2,1084.8668883864239,305.6,9779.2,0.007557784921179215
primary,NOG-FO,0.009,32,30,30,1.0,650.8,25.588790649355662,20825.6,818.8413007793812,650.8,20825.6,0.0054673326667398214
primary,ME-DOL-FO,0.009,32,30,30,1.0,313.6,35.616346498918645,10035.2,1139.7230879653966,313.6,10035.2,0.007557784921179215
primary,NOG-FO,0.00875,32,30,30,1.0,658.0,30.444975804295492,21056.0,974.2392257374557,658.0,21056.0,0.0054673326667398214
primary,ME-DOL-FO,0.00875,32,30,30,1.0,324.0,37.15392029252698,10368.0,1188.9254493608635,324.0,10368.0,0.007557784921179215
primary,NOG-FO,0.0085,32,30,30,1.0,665.2,28.525125041280532,21286.4,912.804001320977,665.2,21286.4,0.0054673326667398214
primary,ME-DOL-FO,0.0085,32,30,30,1.0,337.6,44.088938326507936,10803.2,1410.846026448254,337.6,10803.2,0.007557784921179215
primary,NOG-FO,0.00825,32,30,30,1.0,670.8,31.972401892235446,21465.6,1023.1168605515343,670.8,21465.6,0.0054673326667398214
primary,ME-DOL-FO,0.00825,32,30,30,1.0,358.4,54.19352296201533,11468.8,1734.1927347844905,358.4,11468.8,0.007557784921179215
primary,NOG-FO,0.008,32,30,30,1.0,681.2,37.894954627323365,21798.4,1212.6385480743477,681.2,21798.4,0.0054673326667398214
