method,epsilon,batch_total,hit_count,mean_depth_hits,mean_total_work_hits,eligible_full_hit
NOG-FO,0.01,32,5,635.6,20339.2,True
NOG-FO,0.01,64,5,467.6,29926.4,True
NOG-FO,0.01,96,5,395.6,37977.6,True
NOG-FO,0.01,128,5,362.0,46336.0,True
NOG-FO,0.01,192,5,323.6,62131.2,True
NOG-FO,0.01,256,5,309.2,79155.2,True
ME-DOL-FO,0.01,32,5,268.8,8601.6,True
ME-DOL-FO,0.01,64,5,268.8,17203.2,True
ME-DOL-FO,0.01,96,5,254.4,24422.4,True
ME-DOL-FO,0.01,128,5,259.2,33177.6,True
ME-DOL-FO,0.01,192,5,259.2,49766.4,True
ME-DOL-FO,0.01,256,5,259.2,66355.2,True
NOG-FO,0.00975,32,5,645.2,20646.4,True
NOG-FO,0.00975,64,5,467.6,29926.4,True
NOG-FO,0.00975,96,5,395.6,37977.6,True
NOG-FO,0.00975,128,5,366.8,46950.4,True
NOG-FO,0.00975,192,5,328.4,63052.8,True
NOG-FO,0.00975,256,5,309.2,79155.2,True
ME-DOL-FO,0.00975,32,5,273.6,8755.2,True
ME-DOL-FO,0.00975,64,5,268.8,17203.2,True
ME-DOL-FO,0.00975,96,5,259.2,24883.2,True
ME-DOL-FO,0.00975,128,5,259.2,33177.6,True
ME-DOL-FO,0.00975,192,5,259.2,49766.4,True
ME-DOL-FO,0.00975,256,5,259.2,66355.2,True
NOG-FO,0.0095,32,5,645.2,20646.4,True
NOG-FO,0.0095,64,5,486.8,31155.2,True
NOG-FO,0.0095,96,5,395.6,37977.6,True
NOG-FO,0.0095,128,5,366.8,46950.4,True
NOG-FO,0.0095,192,5,333.2,63974.4,True
NOG-FO,0.0095,256,5,314.0,80384.0,True
ME-DOL-FO,0.0095,32,5,278.4,8908.8,True
ME-DOL-FO,0.0095,64,5,273.6,17510.4,True
ME-DOL-FO,0.0095,96,5,259.2,24883.2,True
ME-DOL-FO,0.0095,128,5,259.2,33177.6,True
ME-DOL-FO,0.0095,192,5,259.2,49766.4,True
ME-DOL-FO,0.0095,256,5,259.2,66355.2,True
