method,base_method,iteration,round,block_id,worker_count,eval_point,delta,target_delta,smoothing_delta,M,lr_or_eta,block_oracle_norm,time_sec,training_time,communication_time,evaluation_time,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,evaluation_delta,stage,source_partial
NOG-FO,NOG-opt,24,24,12,8,y_bar,0.1,0.1,0.1,2,1.0,0.3415583372116089,0.7775427307933569,0.7775427307933569,0.6447462644428015,0.6131360344588757,620,100620,200620,288791310,sfo,208,208,26,"[26, 26, 26, 26, 26, 26, 26, 26]",131072,26,26,-0.08547476679086685,0.24558964371681213,0.1,formal,formal/partials/NOG-FO__m8__seed620__cfg3b041462a1df.json
NOG-FO,NOG-opt,48,48,24,8,y_bar,0.1,0.1,0.1,2,1.0,0.3146742284297943,1.070247219875455,1.070247219875455,0.8809580355882645,1.2244945093989372,620,100620,200620,288791310,sfo,400,400,50,"[50, 50, 50, 50, 50, 50, 50, 50]",262144,50,50,-0.1786981076002121,0.24080103635787964,0.1,formal,formal/partials/NOG-FO__m8__seed620__cfg3b041462a1df.json
NOG-FO,NOG-opt,72,72,36,8,y_bar,0.1,0.1,0.1,2,1.0,0.34350690245628357,1.4372284431010485,1.4372284431010485,1.103482723236084,1.7546719294041395,620,100620,200620,288791310,sfo,592,592,74,"[74, 74, 74, 74, 74, 74, 74, 74]",393216,74,74,-0.27253812551498413,0.2324880212545395,0.1,formal,formal/partials/NOG-FO__m8__seed620__cfg3b041462a1df.json
NOG-FO,NOG-opt,96,96,48,8,y_bar,0.1,0.1,0.1,2,1.0,0.31017524003982544,1.815392417833209,1.815392417833209,1.4168076198548079,2.3053451143205166,620,100620,200620,288791310,sfo,784,784,98,"[98, 98, 98, 98, 98, 98, 98, 98]",524288,98,98,-0.3591783344745636,0.2213570475578308,0.1,formal,formal/partials/NOG-FO__m8__seed620__cfg3b041462a1df.json
NOG-FO,NOG-opt,120,120,60,8,y_bar,0.1,0.1,0.1,2,1.0,0.3196443021297455,2.236430963501334,2.236430963501334,1.68979112803936,2.831451954320073,620,100620,200620,288791310,sfo,976,976,122,"[122, 122, 122, 122, 122, 122, 122, 122]",655360,122,122,-0.44061478972435,0.20749245584011078,0.1,formal,formal/partials/NOG-FO__m8__seed620__cfg3b041462a1df.json
NOG-FO,NOG-opt,144,144,72,8,y_bar,0.1,0.1,0.1,2,1.0,0.2969385087490082,2.7054873388260603,2.7054873388260603,2.078950647264719,3.3327688109129667,620,100620,200620,288791310,sfo,1168,1168,146,"[146, 146, 146, 146, 146, 146, 146, 146]",786432,146,146,-0.5166071653366089,0.19093765318393707,0.1,formal,formal/partials/NOG-FO__m8__seed620__cfg3b041462a1df.json
NOG-FO,NOG-opt,168,168,84,8,y_bar,0.1,0.1,0.1,2,1.0,0.25017404556274414,3.2153172437101603,3.2153172437101603,2.4359789602458477,3.801362279802561,620,100620,200620,288791310,sfo,1360,1360,170,"[170, 170, 170, 170, 170, 170, 170, 170]",917504,170,170,-0.5855234265327454,0.1722438931465149,0.1,formal,formal/partials/NOG-FO__m8__seed620__cfg3b041462a1df.json
NOG-FO,NOG-opt,192,192,96,8,y_bar,0.1,0.1,0.1,2,1.0,0.2622772753238678,3.7364730462431908,3.7364730462431908,2.8180696181952953,4.268917599692941,620,100620,200620,288791310,sfo,1552,1552,194,"[194, 194, 194, 194, 194, 194, 194, 194]",1048576,194,194,-0.6435160636901855,0.1528278887271881,0.1,formal,formal/partials/NOG-FO__m8__seed620__cfg3b041462a1df.json
NOG-FO,NOG-opt,216,216,108,8,y_bar,0.1,0.1,0.1,2,1.0,0.23057003319263458,4.251842595636845,4.251842595636845,3.270209204405546,4.769237119704485,620,100620,200620,288791310,sfo,1744,1744,218,"[218, 218, 218, 218, 218, 218, 218, 218]",1179648,218,218,-0.6910784840583801,0.13342855870723724,0.1,formal,formal/partials/NOG-FO__m8__seed620__cfg3b041462a1df.json
NOG-FO,NOG-opt,240,240,120,8,y_bar,0.1,0.1,0.1,2,1.0,0.21279065310955048,4.856520852074027,4.856520852074027,3.7233766466379166,5.093133540824056,620,100620,200620,288791310,sfo,1936,1936,242,"[242, 242, 242, 242, 242, 242, 242, 242]",1310720,242,242,-0.7304003834724426,0.11410887539386749,0.1,formal,formal/partials/NOG-FO__m8__seed620__cfg3b041462a1df.json
NOG-FO,NOG-opt,264,264,132,8,y_bar,0.1,0.1,0.1,2,1.0,0.18249717354774475,5.451612940058112,5.451612940058112,4.24720404855907,5.4515600968152285,620,100620,200620,288791310,sfo,2128,2128,266,"[266, 266, 266, 266, 266, 266, 266, 266]",1441792,266,266,-0.7605451941490173,0.09600622951984406,0.1,formal,formal/partials/NOG-FO__m8__seed620__cfg3b041462a1df.json
NOG-FO,NOG-opt,288,288,144,8,y_bar,0.1,0.1,0.1,2,1.0,0.1508118361234665,6.097847152501345,6.097847152501345,4.81685646623373,5.77559076435864,620,100620,200620,288791310,sfo,2320,2320,290,"[290, 290, 290, 290, 290, 290, 290, 290]",1572864,290,290,-0.7834981083869934,0.07908624410629272,0.1,formal,formal/partials/NOG-FO__m8__seed620__cfg3b041462a1df.json
NOG-FO,NOG-opt,312,312,156,8,y_bar,0.1,0.1,0.1,2,1.0,0.18059523403644562,6.63260930031538,6.63260930031538,5.200995719060302,6.150501923635602,620,100620,200620,288791310,sfo,2512,2512,314,"[314, 314, 314, 314, 314, 314, 314, 314]",1703936,314,314,-0.7972140312194824,0.06683249771595001,0.1,formal,formal/partials/NOG-FO__m8__seed620__cfg3b041462a1df.json
NOG-FO,NOG-opt,336,336,168,8,y_bar,0.1,0.1,0.1,2,1.0,0.16337747871875763,7.239598149433732,7.239598149433732,5.521951537579298,6.525205962359905,620,100620,200620,288791310,sfo,2704,2704,338,"[338, 338, 338, 338, 338, 338, 338, 338]",1835008,338,338,-0.807415783405304,0.05594012886285782,0.1,formal,formal/partials/NOG-FO__m8__seed620__cfg3b041462a1df.json
NOG-FO,NOG-opt,360,360,180,8,y_bar,0.1,0.1,0.1,2,1.0,0.15199211239814758,7.836062593385577,7.836062593385577,5.911522030830383,6.946431206539273,620,100620,200620,288791310,sfo,2896,2896,362,"[362, 362, 362, 362, 362, 362, 362, 362]",1966080,362,362,-0.8165376782417297,0.0439666211605072,0.1,formal,formal/partials/NOG-FO__m8__seed620__cfg3b041462a1df.json
NOG-FO,NOG-opt,384,384,192,8,y_bar,0.1,0.1,0.1,2,1.0,0.1027112528681755,8.270381635054946,8.270381635054946,6.27063238248229,7.330519398674369,620,100620,200620,288791310,sfo,3088,3088,386,"[386, 386, 386, 386, 386, 386, 386, 386]",2097152,386,386,-0.8199999928474426,0.038510244339704514,0.1,formal,formal/partials/NOG-FO__m8__seed620__cfg3b041462a1df.json
NOG-FO,NOG-opt,408,408,204,8,y_bar,0.1,0.1,0.1,2,1.0,0.12259530276060104,8.798763139173388,8.798763139173388,6.6607921328395605,7.918907644227147,620,100620,200620,288791310,sfo,3280,3280,410,"[410, 410, 410, 410, 410, 410, 410, 410]",2228224,410,410,-0.8256098628044128,0.027655942365527153,0.1,formal,formal/partials/NOG-FO__m8__seed620__cfg3b041462a1df.json
NOG-FO,NOG-opt,432,432,216,8,y_bar,0.1,0.1,0.1,2,1.0,0.13061879575252533,9.168371215462685,9.168371215462685,6.899063568562269,8.65587891638279,620,100620,200620,288791310,sfo,3472,3472,434,"[434, 434, 434, 434, 434, 434, 434, 434]",2359296,434,434,-0.827942430973053,0.0218210369348526,0.1,formal,formal/partials/NOG-FO__m8__seed620__cfg3b041462a1df.json
NOG-FO,NOG-opt,456,456,228,8,y_bar,0.1,0.1,0.1,2,1.0,0.14190974831581116,9.379010455682874,9.379010455682874,6.991499984636903,9.377059014514089,620,100620,200620,288791310,sfo,3664,3664,458,"[458, 458, 458, 458, 458, 458, 458, 458]",2490368,458,458,-0.829264760017395,0.01743774488568306,0.1,formal,formal/partials/NOG-FO__m8__seed620__cfg3b041462a1df.json
NOG-FO,NOG-opt,480,480,240,8,y_bar,0.1,0.1,0.1,2,1.0,0.11716291308403015,9.53902443870902,9.53902443870902,7.096998777240515,10.068959470838308,620,100620,200620,288791310,sfo,3856,3856,482,"[482, 482, 482, 482, 482, 482, 482, 482]",2621440,482,482,-0.8304864168167114,0.012861596420407295,0.1,formal,formal/partials/NOG-FO__m8__seed620__cfg3b041462a1df.json
NOG-FO,NOG-opt,504,504,252,8,y_bar,0.1,0.1,0.1,2,1.0,0.13898977637290955,9.701618432998657,9.701618432998657,7.197613952681422,10.751226138323545,620,100620,200620,288791310,sfo,4048,4048,506,"[506, 506, 506, 506, 506, 506, 506, 506]",2752512,506,506,-0.8306649923324585,0.01150258257985115,0.1,formal,formal/partials/NOG-FO__m8__seed620__cfg3b041462a1df.json
NOG-FO,NOG-opt,528,528,264,8,y_bar,0.1,0.1,0.1,2,1.0,0.14623844623565674,9.85500130429864,9.85500130429864,7.289268292486668,11.53742733411491,620,100620,200620,288791310,sfo,4240,4240,530,"[530, 530, 530, 530, 530, 530, 530, 530]",2883584,530,530,-0.8310575485229492,0.010052253492176533,0.1,formal,formal/partials/NOG-FO__m8__seed620__cfg3b041462a1df.json
NOG-FO,NOG-opt,552,552,276,8,y_bar,0.1,0.1,0.1,2,1.0,0.14561687409877777,10.143770482391119,10.143770482391119,7.5126611441373825,12.160106617957354,620,100620,200620,288791310,sfo,4432,4432,554,"[554, 554, 554, 554, 554, 554, 554, 554]",3014656,554,554,-0.831003725528717,0.010540843941271305,0.1,formal,formal/partials/NOG-FO__m8__seed620__cfg3b041462a1df.json
NOG-FO,NOG-opt,576,576,288,8,y_bar,0.1,0.1,0.1,2,1.0,0.10578064620494843,10.491423370316625,10.491423370316625,7.781182350590825,12.732871606945992,620,100620,200620,288791310,sfo,4624,4624,578,"[578, 578, 578, 578, 578, 578, 578, 578]",3145728,578,578,-0.8306707143783569,0.012332212179899216,0.1,formal,formal/partials/NOG-FO__m8__seed620__cfg3b041462a1df.json
NOG-FO,NOG-opt,600,600,300,8,y_bar,0.1,0.1,0.1,2,1.0,0.16784830391407013,10.921101700514555,10.921101700514555,8.139285616576672,13.259308386594057,620,100620,200620,288791310,sfo,4816,4816,602,"[602, 602, 602, 602, 602, 602, 602, 602]",3276800,602,602,-0.8307586312294006,0.012085892260074615,0.1,formal,formal/partials/NOG-FO__m8__seed620__cfg3b041462a1df.json
