epsilon,formal_seed,opt_hit,nonopt_hit,opt_capped_depth,nonopt_capped_depth,opt_capped_work,nonopt_capped_work,depth_ratio_nonopt_over_opt,work_ratio_nonopt_over_opt
0.2,620,True,True,146.0,74.0,1168.0,592.0,0.5068493150684932,0.5068493150684932
0.2,621,True,True,146.0,74.0,1168.0,592.0,0.5068493150684932,0.5068493150684932
0.2,622,True,True,146.0,74.0,1168.0,592.0,0.5068493150684932,0.5068493150684932
0.2,623,True,True,146.0,74.0,1168.0,592.0,0.5068493150684932,0.5068493150684932
0.2,624,True,True,146.0,74.0,1168.0,592.0,0.5068493150684932,0.5068493150684932
0.2,625,True,True,146.0,74.0,1168.0,592.0,0.5068493150684932,0.5068493150684932
0.2,626,True,True,146.0,74.0,1168.0,592.0,0.5068493150684932,0.5068493150684932
0.2,627,True,True,146.0,74.0,1168.0,592.0,0.5068493150684932,0.5068493150684932
0.2,628,True,True,146.0,74.0,1168.0,592.0,0.5068493150684932,0.5068493150684932
0.2,629,True,True,146.0,74.0,1168.0,592.0,0.5068493150684932,0.5068493150684932
0.2,630,True,True,146.0,74.0,1168.0,592.0,0.5068493150684932,0.5068493150684932
0.2,631,True,True,146.0,74.0,1168.0,592.0,0.5068493150684932,0.5068493150684932
0.2,632,True,True,146.0,74.0,1168.0,592.0,0.5068493150684932,0.5068493150684932
0.2,633,True,True,146.0,74.0,1168.0,592.0,0.5068493150684932,0.5068493150684932
0.2,634,True,True,146.0,74.0,1168.0,592.0,0.5068493150684932,0.5068493150684932
0.2,635,True,True,146.0,74.0,1168.0,592.0,0.5068493150684932,0.5068493150684932
0.2,636,True,True,146.0,74.0,1168.0,592.0,0.5068493150684932,0.5068493150684932
0.2,637,True,True,146.0,74.0,1168.0,592.0,0.5068493150684932,0.5068493150684932
0.2,638,True,True,146.0,74.0,1168.0,592.0,0.5068493150684932,0.5068493150684932
0.2,639,True,True,146.0,74.0,1168.0,592.0,0.5068493150684932,0.5068493150684932
0.1,620,True,True,266.0,146.0,2128.0,1168.0,0.5488721804511278,0.5488721804511278
0.1,621,True,True,266.0,146.0,2128.0,1168.0,0.5488721804511278,0.5488721804511278
0.1,622,True,True,266.0,146.0,2128.0,1168.0,0.5488721804511278,0.5488721804511278
0.1,623,True,True,266.0,146.0,2128.0,1168.0,0.5488721804511278,0.5488721804511278
0.1,624,True,True,290.0,146.0,2320.0,1168.0,0.503448275862069,0.503448275862069
0.1,625,True,True,266.0,146.0,2128.0,1168.0,0.5488721804511278,0.5488721804511278
0.1,626,True,True,266.0,146.0,2128.0,1168.0,0.5488721804511278,0.5488721804511278
0.1,627,True,True,266.0,146.0,2128.0,1168.0,0.5488721804511278,0.5488721804511278
0.1,628,True,True,266.0,146.0,2128.0,1168.0,0.5488721804511278,0.5488721804511278
0.1,629,True,True,266.0,146.0,2128.0,1168.0,0.5488721804511278,0.5488721804511278
0.1,630,True,True,266.0,146.0,2128.0,1168.0,0.5488721804511278,0.5488721804511278
0.1,631,True,True,266.0,146.0,2128.0,1168.0,0.5488721804511278,0.5488721804511278
0.1,632,True,True,266.0,146.0,2128.0,1168.0,0.5488721804511278,0.5488721804511278
0.1,633,True,True,266.0,146.0,2128.0,1168.0,0.5488721804511278,0.5488721804511278
0.1,634,True,True,266.0,146.0,2128.0,1168.0,0.5488721804511278,0.5488721804511278
0.1,635,True,True,266.0,146.0,2128.0,1168.0,0.5488721804511278,0.5488721804511278
0.1,636,True,True,266.0,146.0,2128.0,1168.0,0.5488721804511278,0.5488721804511278
0.1,637,True,True,266.0,146.0,2128.0,1168.0,0.5488721804511278,0.5488721804511278
0.1,638,True,True,266.0,146.0,2128.0,1168.0,0.5488721804511278,0.5488721804511278
0.1,639,True,True,266.0,146.0,2128.0,1168.0,0.5488721804511278,0.5488721804511278
0.05,620,True,True,362.0,194.0,2896.0,1552.0,0.5359116022099447,0.5359116022099447
0.05,621,True,True,362.0,170.0,2896.0,1360.0,0.4696132596685083,0.4696132596685083
0.05,622,True,True,362.0,170.0,2896.0,1360.0,0.4696132596685083,0.4696132596685083
0.05,623,True,True,362.0,194.0,2896.0,1552.0,0.5359116022099447,0.5359116022099447
0.05,624,True,True,362.0,194.0,2896.0,1552.0,0.5359116022099447,0.5359116022099447
0.05,625,True,True,362.0,194.0,2896.0,1552.0,0.5359116022099447,0.5359116022099447
0.05,626,True,True,362.0,194.0,2896.0,1552.0,0.5359116022099447,0.5359116022099447
0.05,627,True,True,362.0,194.0,2896.0,1552.0,0.5359116022099447,0.5359116022099447
0.05,628,True,True,362.0,194.0,2896.0,1552.0,0.5359116022099447,0.5359116022099447
0.05,629,True,True,362.0,194.0,2896.0,1552.0,0.5359116022099447,0.5359116022099447
0.05,630,True,True,362.0,170.0,2896.0,1360.0,0.4696132596685083,0.4696132596685083
0.05,631,True,True,338.0,170.0,2704.0,1360.0,0.5029585798816568,0.5029585798816568
0.05,632,True,True,362.0,170.0,2896.0,1360.0,0.4696132596685083,0.4696132596685083
0.05,633,True,True,362.0,194.0,2896.0,1552.0,0.5359116022099447,0.5359116022099447
0.05,634,True,True,362.0,170.0,2896.0,1360.0,0.4696132596685083,0.4696132596685083
0.05,635,True,True,338.0,170.0,2704.0,1360.0,0.5029585798816568,0.5029585798816568
0.05,636,True,True,338.0,170.0,2704.0,1360.0,0.5029585798816568,0.5029585798816568
0.05,637,True,True,362.0,194.0,2896.0,1552.0,0.5359116022099447,0.5359116022099447
0.05,638,True,True,362.0,194.0,2896.0,1552.0,0.5359116022099447,0.5359116022099447
0.05,639,True,True,362.0,170.0,2896.0,1360.0,0.4696132596685083,0.4696132596685083
0.03,620,True,True,410.0,218.0,3280.0,1744.0,0.5317073170731708,0.5317073170731708
0.03,621,True,True,434.0,218.0,3472.0,1744.0,0.5023041474654378,0.5023041474654378
0.03,622,True,True,434.0,218.0,3472.0,1744.0,0.5023041474654378,0.5023041474654378
0.03,623,True,True,410.0,218.0,3280.0,1744.0,0.5317073170731708,0.5317073170731708
0.03,624,True,True,434.0,218.0,3472.0,1744.0,0.5023041474654378,0.5023041474654378
0.03,625,True,True,434.0,194.0,3472.0,1552.0,0.4470046082949309,0.4470046082949309
0.03,626,True,True,434.0,194.0,3472.0,1552.0,0.4470046082949309,0.4470046082949309
0.03,627,True,True,410.0,194.0,3280.0,1552.0,0.47317073170731705,0.47317073170731705
0.03,628,True,True,434.0,218.0,3472.0,1744.0,0.5023041474654378,0.5023041474654378
0.03,629,True,True,434.0,194.0,3472.0,1552.0,0.4470046082949309,0.4470046082949309
0.03,630,True,True,410.0,194.0,3280.0,1552.0,0.47317073170731705,0.47317073170731705
0.03,631,True,True,410.0,194.0,3280.0,1552.0,0.47317073170731705,0.47317073170731705
0.03,632,True,True,434.0,194.0,3472.0,1552.0,0.4470046082949309,0.4470046082949309
0.03,633,True,True,410.0,218.0,3280.0,1744.0,0.5317073170731708,0.5317073170731708
0.03,634,True,True,410.0,218.0,3280.0,1744.0,0.5317073170731708,0.5317073170731708
0.03,635,True,True,410.0,218.0,3280.0,1744.0,0.5317073170731708,0.5317073170731708
0.03,636,True,True,386.0,194.0,3088.0,1552.0,0.5025906735751295,0.5025906735751295
0.03,637,True,True,410.0,194.0,3280.0,1552.0,0.47317073170731705,0.47317073170731705
0.03,638,True,True,410.0,218.0,3280.0,1744.0,0.5317073170731708,0.5317073170731708
0.03,639,True,True,410.0,194.0,3280.0,1552.0,0.47317073170731705,0.47317073170731705
0.02,620,True,True,458.0,242.0,3664.0,1936.0,0.5283842794759825,0.5283842794759825
0.02,621,True,True,506.0,242.0,4048.0,1936.0,0.4782608695652174,0.4782608695652174
0.02,622,True,True,458.0,218.0,3664.0,1744.0,0.4759825327510917,0.4759825327510917
0.02,623,True,True,482.0,242.0,3856.0,1936.0,0.5020746887966805,0.5020746887966805
0.02,624,True,True,458.0,266.0,3664.0,2128.0,0.5807860262008734,0.5807860262008734
0.02,625,True,True,482.0,218.0,3856.0,1744.0,0.45228215767634855,0.45228215767634855
0.02,626,True,True,482.0,218.0,3856.0,1744.0,0.45228215767634855,0.45228215767634855
0.02,627,True,True,434.0,242.0,3472.0,1936.0,0.5576036866359447,0.5576036866359447
0.02,628,True,True,482.0,242.0,3856.0,1936.0,0.5020746887966805,0.5020746887966805
0.02,629,True,True,482.0,218.0,3856.0,1744.0,0.45228215767634855,0.45228215767634855
0.02,630,True,True,458.0,218.0,3664.0,1744.0,0.4759825327510917,0.4759825327510917
0.02,631,True,True,434.0,218.0,3472.0,1744.0,0.5023041474654378,0.5023041474654378
0.02,632,True,True,458.0,218.0,3664.0,1744.0,0.4759825327510917,0.4759825327510917
0.02,633,True,True,458.0,242.0,3664.0,1936.0,0.5283842794759825,0.5283842794759825
0.02,634,True,True,458.0,242.0,3664.0,1936.0,0.5283842794759825,0.5283842794759825
0.02,635,True,True,458.0,218.0,3664.0,1744.0,0.4759825327510917,0.4759825327510917
0.02,636,True,True,458.0,218.0,3664.0,1744.0,0.4759825327510917,0.4759825327510917
0.02,637,True,True,458.0,218.0,3664.0,1744.0,0.4759825327510917,0.4759825327510917
0.02,638,True,True,458.0,242.0,3664.0,1936.0,0.5283842794759825,0.5283842794759825
0.02,639,True,True,458.0,218.0,3664.0,1744.0,0.4759825327510917,0.4759825327510917
0.015,620,True,True,482.0,266.0,3856.0,2128.0,0.5518672199170125,0.5518672199170125
0.015,621,True,True,554.0,290.0,4432.0,2320.0,0.5234657039711191,0.5234657039711191
0.015,622,True,True,506.0,242.0,4048.0,1936.0,0.4782608695652174,0.4782608695652174
0.015,623,True,True,506.0,266.0,4048.0,2128.0,0.525691699604743,0.525691699604743
0.015,624,True,True,554.0,290.0,4432.0,2320.0,0.5234657039711191,0.5234657039711191
0.015,625,True,True,530.0,242.0,4240.0,1936.0,0.45660377358490567,0.45660377358490567
0.015,626,True,True,530.0,242.0,4240.0,1936.0,0.45660377358490567,0.45660377358490567
0.015,627,True,True,482.0,242.0,3856.0,1936.0,0.5020746887966805,0.5020746887966805
0.015,628,True,True,554.0,242.0,4432.0,1936.0,0.4368231046931408,0.4368231046931408
0.015,629,True,True,530.0,338.0,4240.0,2704.0,0.6377358490566037,0.6377358490566037
0.015,630,True,True,530.0,242.0,4240.0,1936.0,0.45660377358490567,0.45660377358490567
0.015,631,True,True,506.0,242.0,4048.0,1936.0,0.4782608695652174,0.4782608695652174
0.015,632,True,True,530.0,266.0,4240.0,2128.0,0.5018867924528302,0.5018867924528302
0.015,633,True,True,482.0,338.0,3856.0,2704.0,0.7012448132780082,0.7012448132780082
0.015,634,True,True,482.0,314.0,3856.0,2512.0,0.6514522821576764,0.6514522821576764
0.015,635,True,True,482.0,266.0,3856.0,2128.0,0.5518672199170125,0.5518672199170125
0.015,636,True,True,530.0,242.0,4240.0,1936.0,0.45660377358490567,0.45660377358490567
0.015,637,True,True,506.0,290.0,4048.0,2320.0,0.5731225296442688,0.5731225296442688
0.015,638,True,True,506.0,266.0,4048.0,2128.0,0.525691699604743,0.525691699604743
0.015,639,True,True,482.0,338.0,3856.0,2704.0,0.7012448132780082,0.7012448132780082
0.01,620,True,False,698.0,962.0,5584.0,7696.0,1.3782234957020056,1.3782234957020056
0.01,621,True,False,698.0,962.0,5584.0,7696.0,1.3782234957020056,1.3782234957020056
0.01,622,True,False,698.0,962.0,5584.0,7696.0,1.3782234957020056,1.3782234957020056
0.01,623,True,False,698.0,962.0,5584.0,7696.0,1.3782234957020056,1.3782234957020056
0.01,624,True,False,626.0,962.0,5008.0,7696.0,1.536741214057508,1.536741214057508
0.01,625,True,False,602.0,962.0,4816.0,7696.0,1.5980066445182723,1.5980066445182723
0.01,626,True,False,650.0,962.0,5200.0,7696.0,1.48,1.48
0.01,627,True,False,674.0,962.0,5392.0,7696.0,1.427299703264095,1.427299703264095
0.01,628,True,False,674.0,962.0,5392.0,7696.0,1.427299703264095,1.427299703264095
0.01,629,True,False,626.0,962.0,5008.0,7696.0,1.536741214057508,1.536741214057508
0.01,630,True,False,674.0,962.0,5392.0,7696.0,1.427299703264095,1.427299703264095
0.01,631,True,False,554.0,962.0,4432.0,7696.0,1.736462093862816,1.736462093862816
0.01,632,True,False,626.0,962.0,5008.0,7696.0,1.536741214057508,1.536741214057508
0.01,633,True,False,650.0,962.0,5200.0,7696.0,1.48,1.48
0.01,634,True,False,722.0,962.0,5776.0,7696.0,1.332409972299169,1.332409972299169
0.01,635,True,False,722.0,962.0,5776.0,7696.0,1.332409972299169,1.332409972299169
0.01,636,True,False,602.0,962.0,4816.0,7696.0,1.5980066445182723,1.5980066445182723
0.01,637,True,False,650.0,962.0,5200.0,7696.0,1.48,1.48
0.01,638,True,False,602.0,962.0,4816.0,7696.0,1.5980066445182723,1.5980066445182723
0.01,639,True,False,626.0,962.0,5008.0,7696.0,1.536741214057508,1.536741214057508
0.009,620,False,False,962.0,962.0,7696.0,7696.0,1.0,1.0
0.009,621,True,False,890.0,962.0,7120.0,7696.0,1.0808988764044944,1.0808988764044944
