method,base_method,iteration,round,block_id,worker_count,eval_point,delta,target_delta,smoothing_delta,M,lr_or_eta,block_oracle_norm,time_sec,training_time,communication_time,evaluation_time,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,evaluation_delta,stage,source_partial
NOG-FO,NOG-opt,24,24,12,8,y_bar,0.1,0.1,0.1,2,1.0,0.3295676112174988,0.2291435394436121,0.2291435394436121,0.1578075997531414,0.6072417106479406,600,100600,200600,434535038,sfo,208,208,26,"[26, 26, 26, 26, 26, 26, 26, 26]",131072,26,26,-0.0904885083436966,0.2481885850429535,0.1,pilot,pilot/partials/NOG-FO__m8__seed600__cfg14235d9e4fc1.json
NOG-FO,NOG-opt,48,48,24,8,y_bar,0.1,0.1,0.1,2,1.0,0.39210471510887146,0.3995865471661091,0.3995865471661091,0.26749252155423164,1.2057449202984571,600,100600,200600,434535038,sfo,400,400,50,"[50, 50, 50, 50, 50, 50, 50, 50]",262144,50,50,-0.18657878041267395,0.24302725493907928,0.1,pilot,pilot/partials/NOG-FO__m8__seed600__cfg14235d9e4fc1.json
NOG-FO,NOG-opt,72,72,36,8,y_bar,0.1,0.1,0.1,2,1.0,0.3128504753112793,0.5949439741671085,0.5949439741671085,0.40104056522250175,1.8214489482343197,600,100600,200600,434535038,sfo,592,592,74,"[74, 74, 74, 74, 74, 74, 74, 74]",393216,74,74,-0.2738959789276123,0.23515518009662628,0.1,pilot,pilot/partials/NOG-FO__m8__seed600__cfg14235d9e4fc1.json
NOG-FO,NOG-opt,96,96,48,8,y_bar,0.1,0.1,0.1,2,1.0,0.30903658270835876,0.7837598267942667,0.7837598267942667,0.5271682869642973,2.372716234996915,600,100600,200600,434535038,sfo,784,784,98,"[98, 98, 98, 98, 98, 98, 98, 98]",524288,98,98,-0.3604642152786255,0.22397856414318085,0.1,pilot,pilot/partials/NOG-FO__m8__seed600__cfg14235d9e4fc1.json
NOG-FO,NOG-opt,120,120,60,8,y_bar,0.1,0.1,0.1,2,1.0,0.29919493198394775,0.9752095956355333,0.9752095956355333,0.6303162723779678,3.0232052989304066,600,100600,200600,434535038,sfo,976,976,122,"[122, 122, 122, 122, 122, 122, 122, 122]",655360,122,122,-0.44113796949386597,0.21019096672534943,0.1,pilot,pilot/partials/NOG-FO__m8__seed600__cfg14235d9e4fc1.json
NOG-FO,NOG-opt,144,144,72,8,y_bar,0.1,0.1,0.1,2,1.0,0.2913302183151245,1.1540909223258495,1.1540909223258495,0.7487917430698872,3.6855751648545265,600,100600,200600,434535038,sfo,1168,1168,146,"[146, 146, 146, 146, 146, 146, 146, 146]",786432,146,146,-0.5196629762649536,0.19310788810253143,0.1,pilot,pilot/partials/NOG-FO__m8__seed600__cfg14235d9e4fc1.json
NOG-FO,NOG-opt,168,168,84,8,y_bar,0.1,0.1,0.1,2,1.0,0.24349361658096313,1.3110377248376608,1.3110377248376608,0.8526777848601341,4.305534780025482,600,100600,200600,434535038,sfo,1360,1360,170,"[170, 170, 170, 170, 170, 170, 170, 170]",917504,170,170,-0.5864061117172241,0.17488104104995728,0.1,pilot,pilot/partials/NOG-FO__m8__seed600__cfg14235d9e4fc1.json
NOG-FO,NOG-opt,192,192,96,8,y_bar,0.1,0.1,0.1,2,1.0,0.2415163218975067,1.518151430413127,1.518151430413127,1.005461310967803,4.98139657638967,600,100600,200600,434535038,sfo,1552,1552,194,"[194, 194, 194, 194, 194, 194, 194, 194]",1048576,194,194,-0.6438465714454651,0.15580105781555176,0.1,pilot,pilot/partials/NOG-FO__m8__seed600__cfg14235d9e4fc1.json
NOG-FO,NOG-opt,216,216,108,8,y_bar,0.1,0.1,0.1,2,1.0,0.2316482663154602,1.7111716605722904,1.7111716605722904,1.136575611308217,5.651394547894597,600,100600,200600,434535038,sfo,1744,1744,218,"[218, 218, 218, 218, 218, 218, 218, 218]",1179648,218,218,-0.6918506622314453,0.1364576816558838,0.1,pilot,pilot/partials/NOG-FO__m8__seed600__cfg14235d9e4fc1.json
NOG-FO,NOG-opt,240,240,120,8,y_bar,0.1,0.1,0.1,2,1.0,0.17562684416770935,1.9071715157479048,1.9071715157479048,1.2690887153148651,6.292860813438892,600,100600,200600,434535038,sfo,1936,1936,242,"[242, 242, 242, 242, 242, 242, 242, 242]",1310720,242,242,-0.7319859266281128,0.11664712429046631,0.1,pilot,pilot/partials/NOG-FO__m8__seed600__cfg14235d9e4fc1.json
NOG-FO,NOG-opt,264,264,132,8,y_bar,0.1,0.1,0.1,2,1.0,0.17884257435798645,2.0993203204125166,2.0993203204125166,1.3968669530004263,6.983897430822253,600,100600,200600,434535038,sfo,2128,2128,266,"[266, 266, 266, 266, 266, 266, 266, 266]",1441792,266,266,-0.7650598883628845,0.09670218825340271,0.1,pilot,pilot/partials/NOG-FO__m8__seed600__cfg14235d9e4fc1.json
NOG-FO,NOG-opt,288,288,144,8,y_bar,0.1,0.1,0.1,2,1.0,0.15283358097076416,2.261750405654311,2.261750405654311,1.496612386777997,7.621125567704439,600,100600,200600,434535038,sfo,2320,2320,290,"[290, 290, 290, 290, 290, 290, 290, 290]",1572864,290,290,-0.7870611548423767,0.08048145473003387,0.1,pilot,pilot/partials/NOG-FO__m8__seed600__cfg14235d9e4fc1.json
NOG-FO,NOG-opt,312,312,156,8,y_bar,0.1,0.1,0.1,2,1.0,0.1735803633928299,2.4653261434286833,2.4653261434286833,1.6337585374712944,8.315360862761736,600,100600,200600,434535038,sfo,2512,2512,314,"[314, 314, 314, 314, 314, 314, 314, 314]",1703936,314,314,-0.8043043613433838,0.06474520266056061,0.1,pilot,pilot/partials/NOG-FO__m8__seed600__cfg14235d9e4fc1.json
NOG-FO,NOG-opt,336,336,168,8,y_bar,0.1,0.1,0.1,2,1.0,0.1484375149011612,2.648704120889306,2.648704120889306,1.7333745174109936,9.016352746635675,600,100600,200600,434535038,sfo,2704,2704,338,"[338, 338, 338, 338, 338, 338, 338, 338]",1835008,338,338,-0.8152875304222107,0.05228787288069725,0.1,pilot,pilot/partials/NOG-FO__m8__seed600__cfg14235d9e4fc1.json
NOG-FO,NOG-opt,360,360,180,8,y_bar,0.1,0.1,0.1,2,1.0,0.12198814749717712,2.822571447119117,2.822571447119117,1.8516608532518148,9.781855320557952,600,100600,200600,434535038,sfo,2896,2896,362,"[362, 362, 362, 362, 362, 362, 362, 362]",1966080,362,362,-0.8242216110229492,0.03938717022538185,0.1,pilot,pilot/partials/NOG-FO__m8__seed600__cfg14235d9e4fc1.json
NOG-FO,NOG-opt,384,384,192,8,y_bar,0.1,0.1,0.1,2,1.0,0.13098035752773285,3.1289872527122498,3.1289872527122498,2.095479369163513,10.40622896142304,600,100600,200600,434535038,sfo,3088,3088,386,"[386, 386, 386, 386, 386, 386, 386, 386]",2097152,386,386,-0.8272340297698975,0.034022439271211624,0.1,pilot,pilot/partials/NOG-FO__m8__seed600__cfg14235d9e4fc1.json
NOG-FO,NOG-opt,408,408,204,8,y_bar,0.1,0.1,0.1,2,1.0,0.15490682423114777,3.488678837195039,3.488678837195039,2.390275778248906,10.99034227617085,600,100600,200600,434535038,sfo,3280,3280,410,"[410, 410, 410, 410, 410, 410, 410, 410]",2228224,410,410,-0.8307042717933655,0.026906078681349754,0.1,pilot,pilot/partials/NOG-FO__m8__seed600__cfg14235d9e4fc1.json
NOG-FO,NOG-opt,432,432,216,8,y_bar,0.1,0.1,0.1,2,1.0,0.11633060872554779,3.9998948127031326,3.9998948127031326,2.6909843012690544,11.455307656899095,600,100600,200600,434535038,sfo,3472,3472,434,"[434, 434, 434, 434, 434, 434, 434, 434]",2359296,434,434,-0.8321912288665771,0.02315656654536724,0.1,pilot,pilot/partials/NOG-FO__m8__seed600__cfg14235d9e4fc1.json
NOG-FO,NOG-opt,456,456,228,8,y_bar,0.1,0.1,0.1,2,1.0,0.13689474761486053,4.533491710200906,4.533491710200906,3.1588075160980225,11.863802555948496,600,100600,200600,434535038,sfo,3664,3664,458,"[458, 458, 458, 458, 458, 458, 458, 458]",2490368,458,458,-0.8332531452178955,0.020231135189533234,0.1,pilot,pilot/partials/NOG-FO__m8__seed600__cfg14235d9e4fc1.json
