stage,method,formal_seed,epsilon,hit,hit_iteration,hit_depth,hit_work,hit_epsilon,max_depth,max_work
formal,NOG-FO,620,0.2,True,144.0,146.0,1168.0,0.19093765318393707,962.0,7696.0
formal,NOG-FO,620,0.1,True,264.0,266.0,2128.0,0.09600622951984406,962.0,7696.0
formal,NOG-FO,620,0.05,True,360.0,362.0,2896.0,0.0439666211605072,962.0,7696.0
formal,NOG-FO,620,0.03,True,408.0,410.0,3280.0,0.027655942365527153,962.0,7696.0
formal,NOG-FO,620,0.02,True,456.0,458.0,3664.0,0.01743774488568306,962.0,7696.0
formal,NOG-FO,620,0.015,True,480.0,482.0,3856.0,0.012861596420407295,962.0,7696.0
formal,NOG-FO,620,0.01,True,696.0,698.0,5584.0,0.009311297908425331,962.0,7696.0
formal,NOG-FO,620,0.009,False,,,,0.009362982586026192,962.0,7696.0
formal,NOG-FO,620,0.008,False,,,,0.009362982586026192,962.0,7696.0
formal,NOG-FO,621,0.2,True,144.0,146.0,1168.0,0.1908951997756958,962.0,7696.0
formal,NOG-FO,621,0.1,True,264.0,266.0,2128.0,0.09841734170913696,962.0,7696.0
formal,NOG-FO,621,0.05,True,360.0,362.0,2896.0,0.04422212019562721,962.0,7696.0
formal,NOG-FO,621,0.03,True,432.0,434.0,3472.0,0.02629278600215912,962.0,7696.0
formal,NOG-FO,621,0.02,True,504.0,506.0,4048.0,0.018921727314591408,962.0,7696.0
formal,NOG-FO,621,0.015,True,552.0,554.0,4432.0,0.014625254087150097,962.0,7696.0
formal,NOG-FO,621,0.01,True,696.0,698.0,5584.0,0.00976633932441473,962.0,7696.0
formal,NOG-FO,621,0.009,True,888.0,890.0,7120.0,0.00891690980643034,962.0,7696.0
formal,NOG-FO,621,0.008,False,,,,0.010312973521649837,962.0,7696.0
formal,NOG-FO,622,0.2,True,144.0,146.0,1168.0,0.19406422972679138,962.0,7696.0
formal,NOG-FO,622,0.1,True,264.0,266.0,2128.0,0.09668715298175812,962.0,7696.0
formal,NOG-FO,622,0.05,True,360.0,362.0,2896.0,0.04183202609419823,962.0,7696.0
formal,NOG-FO,622,0.03,True,432.0,434.0,3472.0,0.024440836161375046,962.0,7696.0
formal,NOG-FO,622,0.02,True,456.0,458.0,3664.0,0.019570212811231613,962.0,7696.0
formal,NOG-FO,622,0.015,True,504.0,506.0,4048.0,0.013039863668382168,962.0,7696.0
formal,NOG-FO,622,0.01,True,696.0,698.0,5584.0,0.009495171718299389,962.0,7696.0
formal,NOG-FO,622,0.009,False,,,,0.008953351527452469,962.0,7696.0
formal,NOG-FO,622,0.008,False,,,,0.008953351527452469,962.0,7696.0
formal,NOG-FO,623,0.2,True,144.0,146.0,1168.0,0.19531135261058807,962.0,7696.0
formal,NOG-FO,623,0.1,True,264.0,266.0,2128.0,0.09792182594537735,962.0,7696.0
formal,NOG-FO,623,0.05,True,360.0,362.0,2896.0,0.04322203993797302,962.0,7696.0
formal,NOG-FO,623,0.03,True,408.0,410.0,3280.0,0.028617633506655693,962.0,7696.0
formal,NOG-FO,623,0.02,True,480.0,482.0,3856.0,0.015684081241488457,962.0,7696.0
formal,NOG-FO,623,0.015,True,504.0,506.0,4048.0,0.013336849398911,962.0,7696.0
formal,NOG-FO,623,0.01,True,696.0,698.0,5584.0,0.009914403781294823,962.0,7696.0
formal,NOG-FO,623,0.009,False,,,,0.010626636445522308,962.0,7696.0
formal,NOG-FO,623,0.008,False,,,,0.010626636445522308,962.0,7696.0
formal,NOG-FO,624,0.2,True,144.0,146.0,1168.0,0.19272741675376892,962.0,7696.0
formal,NOG-FO,624,0.1,True,288.0,290.0,2320.0,0.08438780158758163,962.0,7696.0
formal,NOG-FO,624,0.05,True,360.0,362.0,2896.0,0.045456837862730026,962.0,7696.0
formal,NOG-FO,624,0.03,True,432.0,434.0,3472.0,0.024435406550765038,962.0,7696.0
formal,NOG-FO,624,0.02,True,456.0,458.0,3664.0,0.01984304189682007,962.0,7696.0
