stage,method,epsilon,hit_count,seed_count,hit_depth_mean,hit_depth_ci_low,hit_depth_ci_high,hit_work_mean,hit_work_ci_low,hit_work_ci_high,capped_depth_mean,capped_depth_ci_low,capped_depth_ci_high,capped_work_mean,capped_work_ci_low,capped_work_ci_high
formal,NOG-FO,0.008,1,20,866.0,866.0,866.0,6928.0,6928.0,6928.0,957.2,947.1536000000001,967.2464,7657.6,7577.228800000001,7737.9712
formal,NOG-FO,0.009,8,20,770.0,697.7795375257123,842.2204624742877,6160.0,5582.236300205698,6737.763699794302,885.2,831.1967574194603,939.2032425805398,7081.6,6649.574059355682,7513.625940644319
formal,NOG-FO,0.01,20,20,653.6,632.2650120795367,674.9349879204633,5228.8,5058.120096636294,5399.479903363706,653.6,632.2650120795367,674.9349879204633,5228.8,5058.120096636294,5399.479903363706
formal,NOG-FO,0.015,20,20,513.2,501.0587008745054,525.3412991254946,4105.6,4008.4696069960432,4202.730393003957,513.2,501.0587008745054,525.3412991254946,4105.6,4008.4696069960432,4202.730393003957
formal,NOG-FO,0.02,20,20,464.0,455.95379710605516,472.04620289394484,3712.0,3647.6303768484413,3776.3696231515587,464.0,455.95379710605516,472.04620289394484,3712.0,3647.6303768484413,3776.3696231515587
formal,NOG-FO,0.03,20,20,418.4,411.80508318810695,424.994916811893,3347.2,3294.4406655048556,3399.959334495144,418.4,411.80508318810695,424.994916811893,3347.2,3294.4406655048556,3399.959334495144
formal,NOG-FO,0.05,20,20,358.4,354.2851049603461,362.5148950396539,2867.2,2834.2808396827686,2900.119160317231,358.4,354.2851049603461,362.5148950396539,2867.2,2834.2808396827686,2900.119160317231
formal,NOG-FO,0.1,20,20,267.2,264.6884,269.7116,2137.6,2117.5072,2157.6928,267.2,264.6884,269.7116,2137.6,2117.5072,2157.6928
formal,NOG-FO,0.2,20,20,146.0,146.0,146.0,1168.0,1168.0,1168.0,146.0,146.0,146.0,1168.0,1168.0,1168.0
formal,NOG-FO-NONOPT,0.008,0,20,,,,,,,962.0,962.0,962.0,7696.0,7696.0,7696.0
formal,NOG-FO-NONOPT,0.009,0,20,,,,,,,962.0,962.0,962.0,7696.0,7696.0,7696.0
formal,NOG-FO-NONOPT,0.01,0,20,,,,,,,962.0,962.0,962.0,7696.0,7696.0,7696.0
formal,NOG-FO-NONOPT,0.015,20,20,273.2,256.861894417876,289.538105582124,2185.6,2054.895155343008,2316.304844656992,273.2,256.861894417876,289.538105582124,2185.6,2054.895155343008,2316.304844656992
formal,NOG-FO-NONOPT,0.02,20,20,230.0,223.18230306520326,236.81769693479674,1840.0,1785.458424521626,1894.541575478374,230.0,223.18230306520326,236.81769693479674,1840.0,1785.458424521626,1894.541575478374
formal,NOG-FO-NONOPT,0.03,20,20,206.0,200.23799442810696,211.76200557189304,1648.0,1601.9039554248557,1694.0960445751443,206.0,200.23799442810696,211.76200557189304,1648.0,1601.9039554248557,1694.0960445751443
formal,NOG-FO-NONOPT,0.05,20,20,183.2,177.46687684342808,188.9331231565719,1465.6,1419.7350147474247,1511.4649852525752,183.2,177.46687684342808,188.9331231565719,1465.6,1419.7350147474247,1511.4649852525752
formal,NOG-FO-NONOPT,0.1,20,20,146.0,146.0,146.0,1168.0,1168.0,1168.0,146.0,146.0,146.0,1168.0,1168.0,1168.0
formal,NOG-FO-NONOPT,0.2,20,20,74.0,74.0,74.0,592.0,592.0,592.0,74.0,74.0,74.0,592.0,592.0,592.0
pilot,NOG-FO,0.008,0,5,,,,,,,962.0,962.0,962.0,7696.0,7696.0,7696.0
pilot,NOG-FO,0.009,2,5,794.0,184.11200000000008,1403.888,6352.0,1472.8960000000006,11231.104,894.8,773.0401969620515,1016.5598030379484,7158.4,6184.321575696412,8132.478424303587
pilot,NOG-FO,0.01,5,5,630.8,591.9518660957826,669.6481339042173,5046.4,4735.614928766261,5357.185071233738,630.8,591.9518660957826,669.6481339042173,5046.4,4735.614928766261,5357.185071233738
pilot,NOG-FO,0.015,5,5,520.4,504.0805195376813,536.7194804623186,4163.2,4032.6441563014505,4293.755843698549,520.4,504.0805195376813,536.7194804623186,4163.2,4032.6441563014505,4293.755843698549
pilot,NOG-FO,0.02,5,5,477.2,452.2715818263573,502.1284181736427,3817.6,3618.1726546108584,4017.0273453891414,477.2,452.2715818263573,502.1284181736427,3817.6,3618.1726546108584,4017.0273453891414
pilot,NOG-FO,0.03,5,5,419.6,403.28051953768136,435.9194804623187,3356.8,3226.244156301451,3487.3558436985495,419.6,403.28051953768136,435.9194804623187,3356.8,3226.244156301451,3487.3558436985495
pilot,NOG-FO,0.05,5,5,362.0,362.0,362.0,2896.0,2896.0,2896.0,362.0,362.0,362.0,2896.0,2896.0,2896.0
pilot,NOG-FO,0.1,5,5,266.0,266.0,266.0,2128.0,2128.0,2128.0,266.0,266.0,266.0,2128.0,2128.0,2128.0
pilot,NOG-FO,0.2,5,5,146.0,146.0,146.0,1168.0,1168.0,1168.0,146.0,146.0,146.0,1168.0,1168.0,1168.0
pilot,NOG-FO-NONOPT,0.008,0,5,,,,,,,962.0,962.0,962.0,7696.0,7696.0,7696.0
pilot,NOG-FO-NONOPT,0.009,0,5,,,,,,,962.0,962.0,962.0,7696.0,7696.0,7696.0
pilot,NOG-FO-NONOPT,0.01,0,5,,,,,,,962.0,962.0,962.0,7696.0,7696.0,7696.0
pilot,NOG-FO-NONOPT,0.015,5,5,270.8,231.9518660957827,309.64813390421733,2166.4,1855.6149287662615,2477.1850712337387,270.8,231.9518660957827,309.64813390421733,2166.4,1855.6149287662615,2477.1850712337387
pilot,NOG-FO-NONOPT,0.02,5,5,232.4,216.08051953768137,248.71948046231864,1859.2,1728.644156301451,1989.7558436985491,232.4,216.08051953768137,248.71948046231864,1859.2,1728.644156301451,1989.7558436985491
pilot,NOG-FO-NONOPT,0.03,5,5,203.6,187.28051953768136,219.91948046231863,1628.8,1498.2441563014509,1759.355843698549,203.6,187.28051953768136,219.91948046231863,1628.8,1498.2441563014509,1759.355843698549
pilot,NOG-FO-NONOPT,0.05,5,5,184.4,168.08051953768137,200.71948046231864,1475.2,1344.644156301451,1605.7558436985491,184.4,168.08051953768137,200.71948046231864,1475.2,1344.644156301451,1605.7558436985491
pilot,NOG-FO-NONOPT,0.1,5,5,146.0,146.0,146.0,1168.0,1168.0,1168.0,146.0,146.0,146.0,1168.0,1168.0,1168.0
pilot,NOG-FO-NONOPT,0.2,5,5,74.0,74.0,74.0,592.0,592.0,592.0,74.0,74.0,74.0,592.0,592.0,592.0
